No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,ACB,"22,600","22,600","22,650","22,700","22,450","22,574",50,0.22,5.56,125.62,0.05,0.99,5.61,126.60,"131,470.16"
2,27/08/2026,ACB,"22,250","22,250","22,600","22,650","22,250","22,502",350,1.57,7.43,167.28,0.00,0.00,7.43,167.28,"131,179.94"
3,26/08/2026,ACB,"22,200","22,250","22,250","22,450","22,150","22,291",50,0.23,7.44,165.91,0.05,0.99,7.49,166.90,"129,148.39"
4,25/08/2026,ACB,"22,500","22,500","22,200","22,700","22,200","22,430",-300,-1.33,7.78,174.42,0.00,0.00,7.78,174.42,"128,858.17"
5,24/08/2026,ACB,"22,750","22,750","22,500","22,750","22,450","22,552",-250,-1.10,6.38,143.90,0.00,0.00,6.38,143.90,"130,599.49"
6,21/08/2026,ACB,"21,950","21,950","22,750","22,750","21,900","22,399",800,3.64,12.17,272.65,2.40,49.20,14.57,321.84,"132,050.60"
7,20/08/2026,ACB,"21,800","21,850","21,950","22,100","21,850","22,005",150,0.69,7.59,167.12,0.00,0.00,7.59,167.12,"127,407.06"
8,19/08/2026,ACB,"21,650","21,650","21,800","21,900","21,600","21,737",150,0.69,6.25,135.78,0.05,1.01,6.30,136.79,"126,536.40"
9,18/08/2026,ACB,"21,850","21,850","21,650","22,100","21,550","21,794",-200,-0.92,7.32,159.47,0.00,0.00,7.32,159.47,"125,665.74"
10,17/08/2026,ACB,"22,150","22,150","21,850","22,300","21,850","22,036",-300,-1.35,8.43,185.75,0.04,0.91,8.47,186.66,"126,826.62"
11,14/08/2026,ACB,"22,200","22,200","22,150","22,300","22,100","22,176",-50,-0.23,7.12,158.03,0.00,0.00,7.12,158.03,"128,567.95"
12,13/08/2026,ACB,"22,750","22,750","22,200","22,800","22,200","22,464",-550,-2.42,11.82,265.58,0.75,15.97,12.57,281.55,"128,858.17"
13,12/08/2026,ACB,"22,650","22,650","22,750","22,800","22,600","22,728",100,0.44,10.99,249.94,0.00,0.00,10.99,249.94,"132,050.60"
14,11/08/2026,ACB,"22,650","22,650","22,650","22,750","22,500","22,636",0,0.00,9.76,220.83,0.13,2.94,9.89,223.77,"131,470.16"
15,10/08/2026,ACB,"22,400","22,400","22,650","22,800","22,350","22,641",250,1.12,12.23,277.08,0.00,0.00,12.23,277.08,"131,470.16"
16,07/08/2026,ACB,"22,150","22,050","22,400","22,500","22,050","22,332",250,1.13,9.53,212.78,0.35,7.73,9.87,220.52,"130,019.05"
17,06/08/2026,ACB,"22,450","22,400","22,150","22,500","22,150","22,270",-300,-1.34,8.17,181.87,0.00,0.00,8.17,181.87,"128,567.95"
18,05/08/2026,ACB,"22,450","22,450","22,450","22,550","22,250","22,346",0,0.00,11.22,250.92,0.35,7.75,11.57,258.68,"130,309.27"
19,04/08/2026,ACB,"22,550","22,600","22,450","22,650","22,250","22,436",-100,-0.44,10.50,235.51,0.16,3.40,10.65,238.91,"130,309.27"
20,03/08/2026,ACB,"21,900","22,000","22,550","22,550","21,950","22,292",650,2.97,9.51,212.40,0.00,0.00,9.51,212.40,"130,889.72"
21,31/07/2026,ACB,"22,350","22,600","21,900","22,600","21,800","22,123",-450,-2.01,15.17,335.24,0.00,0.00,15.17,335.24,"127,116.84"
22,30/07/2026,ACB,"22,300","22,200","22,350","22,550","22,150","22,320",50,0.22,12.07,269.71,0.84,18.75,12.91,288.46,"129,728.83"
23,29/07/2026,ACB,"22,500","22,350","22,300","22,550","22,100","22,287",-200,-0.89,11.70,261.37,0.00,0.00,11.70,261.37,"129,438.61"
24,28/07/2026,ACB,"22,300","22,150","22,500","22,650","22,100","22,374",200,0.90,15.65,350.28,0.99,21.94,16.64,372.22,"130,599.49"
25,27/07/2026,ACB,"22,500","22,500","22,300","22,600","22,300","22,486",-200,-0.89,18.91,425.23,0.00,0.00,18.91,425.23,"129,438.61"
26,24/07/2026,ACB,"22,500","22,100","22,500","22,650","22,100","22,416",0,0.00,13.45,302.06,0.10,2.10,13.55,304.15,"130,599.49"
27,23/07/2026,ACB,"22,400","22,400","22,500","22,750","21,650","22,199",100,0.45,27.17,602.23,0.00,0.00,27.17,602.23,"130,599.49"
28,22/07/2026,ACB,"22,850","22,950","22,400","23,100","22,400","22,649",-450,-1.97,30.71,695.05,0.18,3.80,30.89,698.85,"130,019.05"
29,21/07/2026,ACB,"22,850","22,600","22,850","23,150","22,600","22,914",0,0.00,16.45,376.88,0.00,0.00,16.45,376.88,"132,631.04"
30,20/07/2026,ACB,"23,550","23,500","22,850","23,500","22,650","23,073",-700,-2.97,22.38,515.76,0.10,2.19,22.48,517.95,"132,631.04"
31,17/07/2026,ACB,"23,750","23,800","23,550","23,850","23,350","23,525",-200,-0.84,10.24,240.80,0.00,0.00,10.24,240.80,"136,694.14"
32,16/07/2026,ACB,"23,100","22,950","23,750","23,750","22,950","23,524",650,2.81,45.57,"1,071.96",0.00,0.00,45.57,"1,071.96","137,855.02"
33,15/07/2026,ACB,"22,850","22,850","23,100","23,300","22,750","22,996",250,1.09,23.29,536.33,0.39,8.34,23.69,544.66,"134,082.15"
34,14/07/2026,ACB,"22,450","22,350","22,850","23,100","22,300","22,905",400,1.78,18.29,416.65,0.00,0.00,18.29,416.65,"132,631.04"
35,13/07/2026,ACB,"22,550","22,500","22,450","22,650","22,300","22,477",-100,-0.44,15.41,346.42,0.00,0.00,15.41,346.42,"130,309.27"
36,10/07/2026,ACB,"22,800","22,800","22,550","22,850","22,550","22,667",-250,-1.10,7.37,167.06,1.44,32.79,8.81,199.85,"130,889.72"
37,09/07/2026,ACB,"22,700","22,600","22,800","23,200","22,450","22,933",100,0.44,18.93,433.93,0.00,0.00,18.93,433.93,"132,340.82"
38,08/07/2026,ACB,"22,600","22,600","22,700","22,850","22,550","22,701",100,0.44,9.27,210.48,0.00,0.00,9.27,210.48,"131,760.38"
39,07/07/2026,ACB,"22,200","22,200","22,600","22,600","22,150","22,336",400,1.80,11.13,248.51,0.00,0.00,11.13,248.51,"131,179.94"
40,06/07/2026,ACB,"22,650","22,650","22,200","22,700","22,050","22,460",-450,-1.99,12.79,286.48,2.00,45.20,14.79,331.68,"128,858.17"
41,03/07/2026,ACB,"22,650","22,550","22,650","22,650","22,450","22,547",0,0.00,10.68,240.91,0.00,0.00,10.68,240.91,"131,470.16"
42,02/07/2026,ACB,"22,650","22,650","22,650","23,000","22,550","22,699",0,0.00,10.20,231.59,2.32,51.28,12.51,282.86,"131,470.16"
43,01/07/2026,ACB,"22,650","22,650","22,650","22,800","22,450","22,601",0,0.00,10.67,241.26,2.00,45.00,12.67,286.26,"131,470.16"
44,30/06/2026,ACB,"22,900","22,950","22,650","22,950","22,600","22,754",-250,-1.09,6.79,154.36,0.00,0.00,6.79,154.36,"131,470.16"
45,29/06/2026,ACB,"22,600","22,600","22,900","23,000","22,600","22,854",300,1.33,13.11,299.75,2.00,45.20,15.11,344.95,"117,629.44"
