No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,BID,"36,950","36,950","36,850","37,200","36,700","36,927",-100,-0.27,3.12,115.09,0.03,1.03,3.15,116.13,"268,270.40"
2,27/08/2026,BID,"36,900","36,900","36,950","37,400","36,800","36,961",50,0.14,3.10,114.48,0.06,2.17,3.15,116.65,"268,998.41"
3,26/08/2026,BID,"36,700","36,500","36,900","36,950","36,500","36,722",200,0.54,3.77,138.54,0.00,0.00,3.77,138.54,"268,634.41"
4,25/08/2026,BID,"36,900","36,950","36,700","37,350","36,650","36,960",-200,-0.54,4.03,149.05,0.00,0.00,4.03,149.05,"267,178.39"
5,24/08/2026,BID,"36,900","37,600","36,900","37,750","36,850","37,145",0,0.00,3.92,145.72,0.00,0.00,3.92,145.72,"268,634.41"
6,21/08/2026,BID,"35,850","36,050","36,900","36,950","35,800","36,434","1,050",2.93,4.54,165.56,0.00,0.00,4.54,165.56,"268,634.41"
7,20/08/2026,BID,"35,700","35,900","35,850","36,100","35,550","35,845",150,0.42,2.15,77.08,0.00,0.00,2.15,77.08,"260,990.34"
8,19/08/2026,BID,"36,000","36,000","35,700","36,000","35,500","35,673",-300,-0.83,2.17,77.34,0.00,0.00,2.17,77.34,"259,898.33"
9,18/08/2026,BID,"35,900","36,000","36,000","36,400","35,900","36,126",100,0.28,2.49,90.11,0.00,0.00,2.49,90.11,"262,082.35"
10,17/08/2026,BID,"35,800","36,000","35,900","36,200","35,600","35,862",100,0.28,2.59,92.80,0.00,0.00,2.59,92.80,"261,354.34"
11,14/08/2026,BID,"38,850","38,700","38,250","38,900","37,950","38,427",-600,-1.54,4.74,181.89,0.00,0.00,4.74,181.89,"278,462.49"
12,13/08/2026,BID,"39,250","39,100","38,850","39,600","38,850","39,207",-400,-1.02,5.66,221.94,0.00,0.00,5.66,221.94,"282,830.53"
13,12/08/2026,BID,"39,100","39,100","39,250","39,500","38,950","39,239",150,0.38,2.70,105.94,0.00,0.00,2.70,105.94,"285,742.56"
