No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,BSR,"26,500","26,550","26,600","26,950","26,500","26,738",100,0.38,5.99,159.96,0.00,0.00,5.99,159.96,"133,194.17"
2,27/08/2026,BSR,"26,850","26,900","26,500","26,900","26,400","26,567",-350,-1.30,6.28,166.89,0.00,0.00,6.28,166.89,"132,693.44"
3,26/08/2026,BSR,"26,700","26,650","26,850","27,400","26,650","26,985",150,0.56,7.54,203.49,0.02,0.56,7.56,204.05,"134,446.00"
4,25/08/2026,BSR,"27,400","27,200","26,700","27,300","26,600","26,855",-700,-2.55,10.59,284.50,0.20,5.35,10.79,289.85,"133,694.90"
5,24/08/2026,BSR,"26,850","27,000","27,400","27,900","26,850","27,390",550,2.05,14.14,386.90,0.14,3.69,14.27,390.59,"137,200.01"
6,21/08/2026,BSR,"27,000","27,200","26,850","27,200","26,700","26,931",-150,-0.56,8.85,238.50,0.00,0.00,8.85,238.50,"134,446.00"
7,20/08/2026,BSR,"26,700","26,850","27,000","27,050","26,350","26,719",300,1.12,8.28,221.25,0.00,0.00,8.28,221.25,"135,197.09"
8,19/08/2026,BSR,"27,200","27,150","26,700","27,450","26,550","26,862",-500,-1.84,7.31,196.47,0.00,0.00,7.31,196.47,"133,694.90"
9,18/08/2026,BSR,"26,000","26,200","27,200","27,650","26,200","27,177","1,200",4.62,20.59,559.71,0.00,0.00,20.59,559.71,"136,198.55"
10,17/08/2026,BSR,"25,350","25,400","26,000","26,200","24,900","25,561",650,2.56,7.17,183.68,0.00,0.00,7.17,183.68,"130,189.79"
11,14/08/2026,BSR,"26,500","26,450","25,350","26,700","25,350","25,903","-1,150",-4.34,9.79,253.29,0.00,0.00,9.79,253.29,"126,935.05"
12,13/08/2026,BSR,"26,500","26,600","26,500","27,200","26,250","26,726",0,0.00,9.70,259.27,0.00,0.00,9.70,259.27,"132,693.44"
13,12/08/2026,BSR,"26,050","26,150","26,500","26,750","25,900","26,365",450,1.73,7.41,195.42,0.00,0.00,7.41,195.42,"132,693.44"
14,11/08/2026,BSR,"26,600","26,950","26,050","27,150","26,050","26,385",-550,-2.07,8.48,223.62,0.00,0.00,8.48,223.62,"130,440.16"
15,10/08/2026,BSR,"26,200","26,700","26,900","27,550","26,050","26,794",700,2.67,13.08,350.70,0.00,0.00,13.08,350.70,"134,696.36"
16,07/08/2026,BSR,"25,050","25,250","26,200","26,700","25,100","26,203","1,150",4.59,19.09,500.05,0.00,0.00,19.09,500.05,"131,191.25"
17,06/08/2026,BSR,"25,150","25,400","25,050","25,800","24,900","25,308",-100,-0.40,4.80,121.40,0.00,0.00,4.80,121.40,"125,432.86"
18,05/08/2026,BSR,"25,000","25,000","25,150","25,200","24,350","24,602",150,0.60,10.60,261.31,0.00,0.00,10.60,261.31,"125,933.59"
19,04/08/2026,BSR,"25,500","25,550","25,000","25,550","24,900","25,059",-500,-1.96,5.82,145.88,0.07,1.77,5.89,147.66,"125,182.49"
20,03/08/2026,BSR,"25,350","25,000","25,500","25,700","24,950","25,400",150,0.59,5.60,142.16,0.00,0.00,5.60,142.16,"127,686.14"
21,31/07/2026,BSR,"25,700","26,300","25,350","26,450","25,350","25,844",-350,-1.36,11.09,286.47,0.00,0.00,11.09,286.47,"126,935.05"
22,30/07/2026,BSR,"24,800","25,100","25,700","25,700","24,750","25,395",900,3.63,7.28,184.94,0.00,0.00,7.28,184.94,"128,687.60"
23,29/07/2026,BSR,"24,250","24,500","24,800","25,100","24,250","24,735",550,2.27,7.13,176.55,0.00,0.00,7.13,176.55,"124,181.03"
24,28/07/2026,BSR,"23,700","23,500","24,250","24,400","23,500","24,138",550,2.32,7.22,174.29,0.00,0.00,7.22,174.29,"121,427.02"
25,27/07/2026,BSR,"24,000","23,650","23,700","24,700","23,300","23,969",-300,-1.25,8.55,204.83,0.00,0.00,8.55,204.83,"118,673.00"
26,24/07/2026,BSR,"23,350","23,700","24,000","24,750","23,650","24,196",650,2.78,10.13,245.09,0.00,0.00,10.13,245.09,"120,175.19"
27,23/07/2026,BSR,"23,000","23,500","23,350","23,650","22,950","23,306",350,1.52,5.80,135.20,0.00,0.00,5.80,135.20,"116,920.45"
28,22/07/2026,BSR,"23,050","23,150","23,000","23,700","22,600","23,065",-50,-0.22,7.63,176.12,0.00,0.00,7.63,176.12,"115,167.89"
29,21/07/2026,BSR,"24,650","24,150","23,050","24,700","22,950","23,578","-1,600",-6.49,14.60,343.66,0.00,0.00,14.60,343.66,"115,418.26"
30,20/07/2026,BSR,"24,900","25,500","24,650","25,550","24,500","25,045",-250,-1.00,8.08,202.36,0.00,0.00,8.08,202.36,"123,429.94"
31,17/07/2026,BSR,"26,000","26,050","24,900","26,050","24,800","25,132","-1,100",-4.23,7.35,184.53,0.00,0.00,7.35,184.53,"124,681.76"
32,16/07/2026,BSR,"26,300","26,300","26,000","26,550","24,650","25,521",-300,-1.14,9.47,241.21,0.00,0.00,9.47,241.21,"130,189.79"
33,15/07/2026,BSR,"27,200","27,100","26,300","27,150","26,050","26,469",-900,-3.31,9.27,245.40,0.00,0.00,9.27,245.40,"131,691.98"
34,14/07/2026,BSR,"25,750","26,350","27,200","27,450","26,200","27,051","1,450",5.63,18.61,499.49,0.00,0.00,18.61,499.49,"136,198.55"
35,13/07/2026,BSR,"25,500","26,200","25,750","26,550","25,450","25,979",250,0.98,8.51,221.15,0.00,0.00,8.51,221.15,"128,937.97"
36,10/07/2026,BSR,"26,350","26,450","25,500","26,450","25,500","25,828",-850,-3.23,7.83,202.30,0.00,0.00,7.83,202.30,"127,686.14"
37,09/07/2026,BSR,"25,100","25,300","26,350","26,650","25,300","26,184","1,250",4.98,21.21,554.90,0.02,0.50,21.23,555.40,"131,942.35"
38,08/07/2026,BSR,"24,250","25,000","25,100","25,600","24,850","25,139",850,3.51,12.72,320.06,0.00,0.00,12.72,320.06,"125,683.22"
39,07/07/2026,BSR,"23,500","23,900","24,250","24,250","23,350","23,803",750,3.19,6.98,166.31,0.00,0.00,6.98,166.31,"121,427.02"
40,06/07/2026,BSR,"24,700","24,700","23,500","24,850","23,500","24,079","-1,200",-4.86,10.58,254.34,0.02,0.52,10.60,254.86,"117,671.54"
41,03/07/2026,BSR,"24,900","24,900","24,700","25,350","24,550","24,878",-200,-0.80,4.94,122.89,0.00,0.00,4.94,122.89,"123,680.30"
42,02/07/2026,BSR,"25,450","25,300","24,900","25,400","24,900","25,044",-550,-2.16,5.27,132.07,0.07,1.82,5.34,133.89,"124,681.76"
43,01/07/2026,BSR,"24,150","24,250","25,450","25,800","24,250","25,253","1,300",5.38,11.72,296.14,0.00,0.00,11.72,296.14,"127,435.78"
44,30/06/2026,BSR,"24,400","24,600","24,150","24,650","24,100","24,301",-250,-1.02,6.22,151.18,0.00,0.00,6.22,151.18,"120,926.29"
45,29/06/2026,BSR,"24,250","24,500","24,400","24,850","24,150","24,414",150,0.62,9.41,229.77,0.00,0.00,9.41,229.77,"122,178.11"
46,26/06/2026,BSR,"24,600","24,700","24,250","24,900","24,250","24,476",-350,-1.42,5.81,142.33,0.00,0.00,5.81,142.33,"121,427.02"
47,25/06/2026,BSR,"25,550","25,450","24,600","25,450","24,600","24,798",-950,-3.72,8.79,217.94,0.00,0.00,8.79,217.94,"123,179.57"
48,24/06/2026,BSR,"25,100","25,300","25,550","25,750","24,300","24,946",450,1.79,13.36,333.29,0.00,0.00,13.36,333.29,"127,936.51"
49,23/06/2026,BSR,"26,400","26,550","25,100","26,550","25,100","25,687","-1,300",-4.92,15.25,391.03,0.00,0.00,15.25,391.03,"125,683.22"
50,22/06/2026,BSR,"26,050","26,400","26,400","26,850","26,250","26,508",350,1.34,6.72,178.28,0.00,0.00,6.72,178.28,"132,192.71"
51,19/06/2026,BSR,"26,400","26,600","26,050","26,650","26,000","26,214",-350,-1.33,7.75,203.17,0.11,3.16,7.86,206.33,"130,440.16"
52,18/06/2026,BSR,"26,350","26,300","26,400","27,000","26,300","26,556",50,0.19,7.94,210.98,0.00,0.00,7.94,210.98,"132,192.71"
53,17/06/2026,BSR,"26,800","26,450","26,350","27,100","26,300","26,504",-450,-1.68,8.23,218.22,0.00,0.00,8.23,218.22,"131,942.35"
54,16/06/2026,BSR,"26,500","26,450","26,800","27,000","26,200","26,509",300,1.13,6.80,180.32,0.00,0.00,6.80,180.32,"134,195.63"
55,15/06/2026,BSR,"28,100","26,800","26,500","27,800","26,200","26,732","-1,600",-5.69,14.67,392.00,0.10,3.00,14.77,395.00,"132,693.44"
56,12/06/2026,BSR,"28,050","28,000","28,100","28,600","27,750","28,128",50,0.18,6.63,186.60,0.18,4.93,6.81,191.54,"140,705.12"
57,11/06/2026,BSR,"27,950","28,300","28,050","28,700","28,050","28,333",100,0.36,4.47,126.72,0.12,3.21,4.59,129.93,"140,454.76"
58,10/06/2026,BSR,"28,050","28,150","27,950","28,450","27,900","28,048",-100,-0.36,4.45,124.93,0.20,5.55,4.66,130.49,"139,954.03"
59,09/06/2026,BSR,"28,600","28,800","28,050","28,800","28,050","28,261",-550,-1.92,5.08,143.57,0.12,3.22,5.19,146.79,"140,454.76"
60,08/06/2026,BSR,"28,500","28,450","28,600","29,100","28,300","28,668",100,0.35,7.42,212.75,0.14,4.02,7.57,216.77,"143,208.77"
61,05/06/2026,BSR,"28,900","28,800","28,500","29,400","28,300","28,681",-400,-1.38,6.09,175.02,0.02,0.61,6.11,175.63,"142,708.04"
62,04/06/2026,BSR,"27,850","28,300","28,900","29,500","28,250","28,871","1,050",3.77,7.15,206.53,0.25,7.01,7.40,213.55,"144,710.96"
63,03/06/2026,BSR,"27,700","28,000","27,850","28,350","27,700","27,991",150,0.54,4.90,137.10,0.00,0.00,4.90,137.10,"139,453.30"
64,02/06/2026,BSR,"28,600","28,900","27,700","29,100","27,450","28,341",-900,-3.15,10.55,298.81,0.00,0.00,10.55,298.81,"138,702.20"
65,01/06/2026,BSR,"29,750","29,800","28,600","29,850","28,500","29,096","-1,150",-3.87,9.00,261.84,0.00,0.00,9.00,261.84,"143,208.77"
66,29/05/2026,BSR,"28,500","28,400","29,750","29,950","28,000","28,923","1,250",4.39,14.39,417.76,0.00,0.00,14.39,417.76,"148,967.17"
67,28/05/2026,BSR,"28,250","28,250","28,500","29,250","27,500","28,483",250,0.88,14.15,403.73,0.00,0.00,14.15,403.73,"142,708.04"
68,27/05/2026,BSR,"28,500","28,800","28,250","29,150","28,200","28,544",-250,-0.88,7.03,200.55,0.00,0.00,7.03,200.55,"141,456.22"
69,26/05/2026,BSR,"28,200","28,700","28,500","29,250","28,300","28,613",300,1.06,7.75,221.91,0.00,0.00,7.75,221.91,"142,708.04"
70,25/05/2026,BSR,"29,700","28,500","28,200","29,200","28,050","28,401","-1,500",-5.05,15.12,429.23,0.00,0.00,15.12,429.23,"141,205.85"
71,22/05/2026,BSR,"30,700","30,950","29,700","31,100","29,600","30,162","-1,000",-3.26,12.25,370.00,0.00,0.00,12.25,370.00,"148,716.80"
72,21/05/2026,BSR,"31,800","31,500","30,700","31,550","30,350","30,766","-1,100",-3.46,8.31,255.76,0.00,0.00,8.31,255.76,"153,724.10"
73,20/05/2026,BSR,"31,150","30,350","31,800","32,300","29,000","30,509",650,2.09,27.30,832.24,0.00,0.00,27.30,832.24,"159,232.13"
74,19/05/2026,BSR,"33,450","33,450","31,150","33,850","31,150","32,045","-2,300",-6.88,31.73,"1,012.03",0.00,0.00,31.73,"1,012.03","155,977.39"
75,18/05/2026,BSR,"31,750","32,000","33,450","33,950","31,950","32,968","1,700",5.35,20.89,689.28,0.00,0.00,20.89,689.28,"167,494.17"
76,15/05/2026,BSR,"30,250","29,900","31,750","31,900","29,900","30,916","1,500",4.96,19.69,608.92,0.50,15.48,20.19,624.40,"158,981.77"
77,14/05/2026,BSR,"30,200","30,500","30,250","31,100","29,650","30,389",50,0.17,15.95,485.00,0.00,0.00,15.95,485.00,"151,470.82"
78,13/05/2026,BSR,"29,100","29,300","30,200","31,100","28,600","30,267","1,100",3.78,31.37,951.17,0.00,0.00,31.37,951.17,"151,220.45"
79,12/05/2026,BSR,"27,750","28,200","29,100","29,450","27,550","28,560","1,350",4.86,27.10,774.18,0.00,0.00,27.10,774.18,"145,712.42"
80,11/05/2026,BSR,"25,950","26,350","27,750","27,750","25,800","27,138","1,800",6.94,27.08,737.15,0.00,0.00,27.08,737.15,"138,952.57"
81,08/05/2026,BSR,"25,500","26,300","25,950","26,400","25,550","25,988",450,1.76,10.02,260.49,0.00,0.00,10.02,260.49,"129,939.43"
82,07/05/2026,BSR,"26,700","26,500","25,500","26,650","25,450","25,869","-1,200",-4.49,15.91,411.25,0.00,0.00,15.91,411.25,"127,686.14"
83,06/05/2026,BSR,"26,750","26,650","26,700","27,500","26,100","26,961",-50,-0.19,19.35,521.96,0.00,0.00,19.35,521.96,"133,694.90"
84,05/05/2026,BSR,"25,250","25,950","26,750","27,000","25,500","26,239","1,500",5.94,24.54,643.87,0.20,5.00,24.74,648.87,"133,945.27"
85,04/05/2026,BSR,"23,600","25,250","25,250","25,250","24,750","25,189","1,650",6.99,8.11,204.40,0.00,0.00,8.11,204.40,"126,434.32"
86,29/04/2026,BSR,"23,400","23,200","23,600","23,900","23,150","23,499",200,0.85,9.69,227.76,0.00,0.00,9.69,227.76,"118,172.27"
87,28/04/2026,BSR,"25,000","24,800","23,400","25,000","23,300","23,859","-1,600",-6.40,20.26,482.39,0.00,0.00,20.26,482.39,"117,170.81"
