No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,CTG,"31,900","32,050","31,950","32,350","31,800","32,072",50,0.16,7.72,247.56,0.00,0.00,7.72,247.56,"248,153.88"
2,27/08/2026,CTG,"31,850","31,850","31,900","32,200","31,750","31,889",50,0.16,6.37,203.04,0.61,18.99,6.98,222.02,"247,765.53"
3,26/08/2026,CTG,"31,500","31,400","31,850","31,850","31,150","31,428",350,1.11,12.13,381.64,0.17,5.53,12.31,387.17,"247,377.19"
4,25/08/2026,CTG,"31,800","31,800","31,500","31,900","31,350","31,608",-300,-0.94,7.93,250.54,3.02,96.10,10.95,346.64,"244,658.76"
5,24/08/2026,CTG,"32,150","32,250","31,800","32,350","31,800","31,951",-350,-1.09,7.22,230.70,0.12,3.77,7.34,234.47,"246,988.84"
6,21/08/2026,CTG,"31,400","31,400","32,150","32,250","31,200","31,767",750,2.39,6.43,204.67,0.02,0.70,6.45,205.36,"249,707.27"
7,20/08/2026,CTG,"31,000","31,200","31,400","31,400","31,150","31,299",400,1.29,2.81,87.90,1.58,49.60,4.39,137.50,"243,882.06"
8,19/08/2026,CTG,"31,550","31,550","31,000","31,550","30,900","31,143",-550,-1.74,5.84,181.67,0.00,0.00,5.84,181.67,"240,775.28"
9,18/08/2026,CTG,"31,500","31,500","31,550","31,900","31,400","31,613",50,0.16,4.29,135.60,0.93,30.11,5.21,165.71,"245,047.10"
10,17/08/2026,CTG,"31,450","31,450","31,500","31,700","31,200","31,428",50,0.16,4.27,134.13,0.00,0.00,4.27,134.13,"244,658.76"
11,14/08/2026,CTG,"32,150","32,150","31,450","32,150","31,350","31,682",-700,-2.18,7.92,250.95,2.73,91.43,10.65,342.38,"244,270.41"
12,13/08/2026,CTG,"32,200","32,350","32,150","32,800","32,150","32,473",-50,-0.16,8.77,284.84,0.50,15.29,9.27,300.13,"249,707.27"
13,12/08/2026,CTG,"32,300","32,350","32,200","32,450","32,100","32,259",-100,-0.31,5.08,163.81,2.71,90.63,7.78,254.44,"250,095.62"
14,11/08/2026,CTG,"32,800","32,500","32,300","32,800","32,300","32,535",-500,-1.52,7.73,251.39,0.10,3.20,7.82,254.60,"250,872.31"
