No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,FPT,"72,200","72,200","73,200","74,000","72,200","73,573","1,000",1.39,10.20,749.76,3.31,252.19,13.50,"1,001.94","125,488.69"
2,27/08/2026,FPT,"72,600","72,600","72,200","72,700","72,200","72,376",-400,-0.55,3.54,256.37,0.02,1.78,3.57,258.16,"123,774.37"
3,26/08/2026,FPT,"70,700","70,700","72,600","72,900","70,700","72,236","1,900",2.69,10.16,733.77,1.27,95.90,11.43,829.67,"124,460.10"
4,25/08/2026,FPT,"71,400","71,400","70,700","72,000","70,700","71,217",-700,-0.98,4.69,333.93,1.65,122.23,6.34,456.17,"121,202.88"
5,24/08/2026,FPT,"72,000","72,500","71,400","72,700","71,400","71,849",-600,-0.83,4.61,331.44,0.00,0.00,4.61,331.44,"122,402.91"
6,21/08/2026,FPT,"69,800","69,900","72,000","72,000","69,500","71,151","2,200",3.15,7.04,500.72,0.90,66.84,7.93,567.56,"123,431.50"
7,20/08/2026,FPT,"68,900","69,100","69,800","70,300","69,100","69,993",900,1.31,4.47,312.72,0.54,38.10,5.01,350.82,"119,659.98"
8,19/08/2026,FPT,"69,000","69,000","68,900","69,200","68,600","68,839",-100,-0.14,1.82,125.36,2.62,193.27,4.44,318.62,"118,117.09"
9,18/08/2026,FPT,"68,800","68,800","69,000","69,300","68,200","68,785",200,0.29,3.38,232.83,1.27,92.37,4.65,325.20,"118,288.52"
10,17/08/2026,FPT,"68,300","68,400","68,800","69,400","68,400","68,897",500,0.73,4.10,282.81,5.08,347.81,9.19,630.62,"117,945.66"
51,19/06/2026,FPT,"71,600","71,600","71,500","71,800","70,800","71,164",-100,-0.14,14.30,"1,018.03",0.32,24.46,14.62,"1,042.49","121,800.76"
52,18/06/2026,FPT,"72,300","72,300","71,600","72,300","71,500","71,728",-700,-0.97,13.67,980.13,2.00,153.91,15.67,"1,134.04","121,971.11"
53,17/06/2026,FPT,"73,200","73,300","72,300","73,400","72,200","72,670",-900,-1.23,10.65,774.09,1.10,80.18,11.76,854.27,"123,163.56"
54,16/06/2026,FPT,"73,600","73,700","73,200","74,200","73,100","73,448",-400,-0.54,5.82,427.59,4.07,284.57,9.89,712.17,"124,696.72"
55,15/06/2026,FPT,"73,500","74,400","73,600","75,200","73,500","73,964",100,0.14,6.42,475.27,1.33,98.52,7.75,573.79,"125,378.12"
56,12/06/2026,FPT,"73,100","73,600","73,500","74,300","73,500","73,871",400,0.55,5.69,420.32,0.89,65.84,6.58,486.16,"125,207.77"
57,11/06/2026,FPT,"74,200","73,900","73,100","73,900","73,100","73,374","-1,100",-1.48,3.51,257.33,0.40,29.32,3.91,286.65,"124,526.37"
58,10/06/2026,FPT,"73,700","73,500","74,200","74,500","73,500","73,967",500,0.68,4.74,350.32,0.49,36.32,5.23,386.64,"126,400.23"
59,09/06/2026,FPT,"72,900","73,400","73,700","74,200","72,600","73,441",800,1.10,7.77,571.15,3.23,250.81,11.01,821.96,"125,548.47"
60,08/06/2026,FPT,"75,000","73,700","72,900","74,500","72,800","73,474","-2,100",-2.80,10.91,801.65,2.79,210.00,13.70,"1,011.65","124,185.67"
61,05/06/2026,FPT,"76,100","76,000","75,000","76,000","74,300","74,905","-1,100",-1.45,11.22,840.24,1.08,80.75,12.29,920.98,"127,763.03"
62,04/06/2026,FPT,"76,500","76,700","76,100","77,200","75,800","76,390",-400,-0.52,11.30,863.32,0.78,59.39,12.08,922.71,"129,636.89"
63,03/06/2026,FPT,"74,800","75,100","76,500","77,700","75,000","76,883","1,700",2.27,25.28,"1,942.21",2.46,197.04,27.74,"2,139.25","130,318.29"
64,02/06/2026,FPT,"72,900","73,000","74,800","75,600","73,000","74,824","1,900",2.61,17.37,"1,299.67",2.05,160.17,19.42,"1,459.84","127,422.33"
65,01/06/2026,FPT,"71,600","72,200","72,900","73,400","72,100","72,638","1,300",1.82,5.97,434.00,1.03,78.75,7.00,512.74,"124,185.67"
66,29/05/2026,FPT,"71,200","71,200","71,600","72,500","70,800","71,821",400,0.56,5.45,391.45,2.80,211.88,8.25,603.33,"121,971.11"
67,28/05/2026,FPT,"72,600","72,800","71,200","73,100","71,200","71,862","-1,400",-1.93,10.65,764.71,0.00,0.00,10.65,764.71,"121,289.71"
68,27/05/2026,FPT,"74,500","74,500","73,600","75,300","73,100","73,887",-900,-1.21,9.18,678.54,0.30,22.12,9.47,700.66,"125,378.12"
69,26/05/2026,FPT,"73,500","73,600","74,500","74,600","73,600","74,132","1,000",1.36,5.10,378.41,0.38,29.63,5.49,408.04,"126,911.28"
70,25/05/2026,FPT,"75,100","74,600","73,500","75,600","73,500","74,153","-1,600",-2.13,10.44,774.18,0.35,26.15,10.79,800.33,"125,207.77"
71,22/05/2026,FPT,"76,500","76,800","75,100","77,600","75,100","76,408","-1,400",-1.83,11.67,891.66,0.87,70.84,12.53,962.50,"127,933.38"
72,21/05/2026,FPT,"77,700","77,700","76,500","77,900","75,700","76,756","-1,200",-1.54,11.81,906.39,0.68,54.74,12.49,961.13,"130,318.29"
73,20/05/2026,FPT,"74,500","74,800","77,700","78,500","72,800","75,914","3,200",4.30,25.98,"1,971.40",0.96,74.14,26.93,"2,045.54","132,362.50"
74,19/05/2026,FPT,"74,900","75,000","74,500","75,800","74,300","75,008",-400,-0.53,11.28,846.37,1.83,140.68,13.11,987.06,"126,911.28"
75,18/05/2026,FPT,"72,900","72,900","74,900","75,300","72,000","74,004","2,000",2.74,18.32,"1,358.42",0.75,57.34,19.07,"1,415.75","127,592.68"
76,15/05/2026,FPT,"73,900","74,200","72,900","74,200","72,700","73,087","-1,000",-1.35,6.39,466.65,0.00,0.00,6.39,466.65,"124,185.67"
77,14/05/2026,FPT,"70,700","71,100","73,900","75,300","71,000","73,671","3,200",4.53,21.57,"1,588.63",1.32,97.76,22.88,"1,686.39","125,889.18"
78,13/05/2026,FPT,"70,600","70,600","70,700","71,500","70,000","70,554",100,0.14,11.52,812.48,0.62,46.59,12.14,859.06,"120,437.95"
79,12/05/2026,FPT,"70,000","70,100","70,600","71,500","70,000","70,700",600,0.86,8.53,603.83,0.60,42.25,9.13,646.09,"120,267.60"
80,11/05/2026,FPT,"71,900","71,700","70,000","71,700","70,000","70,557","-1,900",-2.64,16.91,"1,192.87",0.10,7.98,17.01,"1,200.86","119,245.50"
81,08/05/2026,FPT,"73,000","73,200","71,900","73,300","71,900","72,326","-1,100",-1.51,13.44,971.99,2.70,210.02,16.14,"1,182.01","122,482.16"
82,07/05/2026,FPT,"73,300","73,900","73,000","74,300","73,000","73,363",-300,-0.41,10.19,747.69,0.77,57.01,10.96,804.70,"124,356.02"
83,06/05/2026,FPT,"74,300","74,200","73,300","74,200","73,000","73,323","-1,000",-1.35,9.46,693.57,1.70,129.05,11.15,822.62,"124,867.07"
84,05/05/2026,FPT,"73,700","73,700","74,300","74,500","72,800","73,351",600,0.81,6.84,502.03,6.25,474.84,13.09,976.87,"126,570.58"
85,04/05/2026,FPT,"75,500","74,900","73,700","75,100","73,600","74,299","-1,800",-2.38,8.29,615.69,1.74,136.78,10.02,752.47,"125,548.47"
86,29/04/2026,FPT,"74,400","73,400","75,500","75,500","73,400","74,167","1,100",1.48,9.16,683.12,1.54,122.24,10.71,805.35,"128,614.79"
87,28/04/2026,FPT,"73,400","73,400","74,400","74,400","72,900","73,354","1,000",1.36,9.50,698.34,0.32,23.59,9.82,721.93,"126,740.93"
88,24/04/2026,FPT,"74,300","74,000","73,400","74,100","73,200","73,608",-900,-1.21,10.46,769.85,0.79,62.65,11.25,832.50,"125,037.42"
89,23/04/2026,FPT,"74,600","75,000","74,300","76,000","74,100","74,561",-300,-0.40,7.97,594.33,0.00,0.00,7.97,594.33,"126,570.58"
90,22/04/2026,FPT,"75,100","75,500","74,600","75,500","74,100","74,509",-500,-0.67,8.15,606.90,0.36,28.08,8.51,634.98,"127,081.63"
91,21/04/2026,FPT,"76,900","77,000","75,100","77,400","75,100","75,856","-1,800",-2.34,7.12,540.03,1.14,91.51,8.26,631.54,"127,933.38"
92,20/04/2026,FPT,"76,000","76,300","76,900","77,000","76,100","76,615",900,1.18,6.88,526.99,0.00,0.00,6.88,526.99,"130,999.70"
93,17/04/2026,FPT,"74,100","75,000","76,000","78,000","74,900","76,567","1,900",2.56,12.35,946.07,0.34,23.59,12.69,969.66,"129,466.54"
94,16/04/2026,FPT,"75,100","75,600","74,100","75,600","74,000","74,433","-1,000",-1.33,11.32,842.16,1.19,94.12,12.50,936.28,"126,229.88"
95,15/04/2026,FPT,"76,200","76,900","75,100","77,000","75,000","75,789","-1,100",-1.44,10.05,761.32,1.73,138.10,11.78,899.42,"127,933.38"
96,14/04/2026,FPT,"76,000","77,000","76,200","77,200","76,000","76,461",200,0.26,7.09,542.21,0.02,1.56,7.11,543.76,"129,807.24"
97,13/04/2026,FPT,"77,700","76,900","76,000","77,000","75,900","76,350","-1,700",-2.19,9.56,729.84,0.34,26.30,9.90,756.14,"129,466.54"
98,10/04/2026,FPT,"78,300","78,600","77,700","79,000","77,300","77,946",-600,-0.77,6.10,475.22,0.00,0.00,6.10,475.22,"132,362.50"
99,09/04/2026,FPT,"79,100","79,100","78,300","79,200","78,100","78,576",-800,-1.01,6.27,492.62,0.22,16.37,6.49,509.00,"133,384.61"
100,08/04/2026,FPT,"74,000","76,000","79,100","79,100","75,100","77,360","5,100",6.89,14.61,"1,129.47",1.93,152.60,16.54,"1,282.08","134,747.41"
101,07/04/2026,FPT,"73,900","74,500","74,000","74,500","73,800","74,031",100,0.14,4.71,348.89,0.36,27.32,5.08,376.21,"126,059.53"
102,06/04/2026,FPT,"74,000","74,000","73,900","74,500","73,500","73,940",-100,-0.14,4.59,339.59,0.02,1.49,4.61,341.08,"125,889.18"
103,03/04/2026,FPT,"74,700","74,700","74,000","75,500","73,900","74,477",-700,-0.94,6.33,471.57,0.02,1.53,6.35,473.10,"126,059.53"
104,02/04/2026,FPT,"75,300","75,200","74,700","75,200","74,200","74,583",-600,-0.80,5.22,389.80,0.87,69.49,6.09,459.28,"127,251.98"
105,01/04/2026,FPT,"74,700","75,900","75,300","76,300","75,000","75,467",600,0.80,8.53,643.94,0.85,67.48,9.38,711.42,"128,274.09"
106,31/03/2026,FPT,"74,000","74,900","74,700","75,500","74,400","75,081",700,0.95,5.64,423.40,1.41,110.24,7.05,533.64,"127,251.98"
107,30/03/2026,FPT,"76,100","74,400","74,000","75,200","73,500","74,068","-2,100",-2.76,7.81,578.96,1.13,90.00,8.94,668.96,"126,059.53"
108,27/03/2026,FPT,"74,200","74,500","76,100","76,300","74,000","75,009","1,900",2.56,9.08,682.00,0.29,22.88,9.37,704.88,"129,636.89"
109,26/03/2026,FPT,"77,000","77,000","74,200","77,000","74,200","74,826","-2,800",-3.64,9.74,729.54,0.95,75.78,10.70,805.32,"126,400.23"
110,25/03/2026,FPT,"75,400","76,200","77,000","77,000","75,600","76,396","1,600",2.12,7.43,567.74,0.61,48.91,8.04,616.65,"131,170.05"
111,24/03/2026,FPT,"73,100","75,500","75,400","75,900","74,100","75,085","2,300",3.15,5.19,389.52,1.19,92.94,6.38,482.46,"128,444.44"
112,23/03/2026,FPT,"74,600","73,700","73,100","76,100","71,600","73,410","-1,500",-2.01,13.16,964.27,0.00,0.00,13.16,964.27,"124,526.37"
113,20/03/2026,FPT,"76,800","76,500","74,600","76,500","73,600","74,298","-2,200",-2.86,21.42,"1,590.45",1.65,134.41,23.07,"1,724.86","127,081.63"
114,19/03/2026,FPT,"78,600","77,700","76,800","77,800","76,600","77,175","-1,800",-2.29,11.60,895.45,0.00,0.00,11.60,895.45,"130,829.35"
115,18/03/2026,FPT,"79,400","80,000","78,600","80,200","78,100","79,046",-800,-1.01,6.35,502.20,1.03,80.55,7.38,582.74,"133,895.66"
116,17/03/2026,FPT,"78,200","79,400","79,400","81,300","79,100","80,076","1,200",1.53,9.22,738.08,1.84,152.30,11.06,890.38,"135,258.47"
117,16/03/2026,FPT,"77,000","77,100","78,200","79,300","77,100","78,430","1,200",1.56,8.66,678.96,0.65,52.89,9.31,731.85,"133,214.26"
118,13/03/2026,FPT,"77,700","77,100","77,000","78,500","76,300","77,293",-700,-0.90,9.03,697.76,1.58,130.71,10.60,828.47,"131,170.05"
119,12/03/2026,FPT,"80,200","78,800","77,700","79,200","77,500","78,255","-2,500",-3.12,12.72,995.54,0.18,15.44,12.91,"1,010.97","132,362.50"
120,11/03/2026,FPT,"79,500","80,000","80,200","81,000","78,300","79,583",700,0.88,10.65,848.10,5.74,485.15,16.39,"1,333.25","136,621.27"
121,10/03/2026,FPT,"75,900","76,400","79,500","79,600","76,400","78,294","3,600",4.74,21.10,"1,652.38",1.81,145.47,22.91,"1,797.85","135,428.82"
122,09/03/2026,FPT,"81,600","76,000","75,900","76,700","75,900","75,954","-5,700",-6.99,17.63,"1,339.33",0.88,77.17,18.52,"1,416.50","129,296.19"
123,06/03/2026,FPT,"84,400","84,400","81,600","84,600","81,500","82,723","-2,800",-3.32,23.71,"1,960.39",2.21,186.68,25.92,"2,147.06","139,006.18"
124,05/03/2026,FPT,"85,100","86,500","84,400","86,800","84,400","85,287",-700,-0.82,15.91,"1,356.55",1.34,120.58,17.25,"1,477.13","143,776.00"
125,04/03/2026,FPT,"87,000","86,900","85,100","87,000","84,200","85,352","-1,900",-2.18,23.76,"2,026.99",2.67,243.13,26.42,"2,270.12","144,968.46"
126,03/03/2026,FPT,"89,600","90,100","87,000","90,900","87,000","88,387","-2,600",-2.90,16.50,"1,458.73",1.58,150.60,18.08,"1,609.34","148,205.12"
127,02/03/2026,FPT,"92,900","90,100","89,600","91,500","89,300","90,438","-3,300",-3.55,17.25,"1,559.65",1.16,115.36,18.41,"1,675.00","152,634.24"
128,27/02/2026,FPT,"90,500","91,000","92,900","93,500","90,300","91,878","2,400",2.65,18.71,"1,721.11",0.80,67.36,19.51,"1,788.47","158,255.81"
129,26/02/2026,FPT,"89,100","90,000","90,500","92,200","89,900","90,664","1,400",1.57,17.53,"1,589.64",0.64,60.74,18.17,"1,650.38","154,167.39"
130,25/02/2026,FPT,"92,500","92,200","89,100","92,500","89,000","90,076","-3,400",-3.68,47.73,"4,299.38",0.38,35.08,48.11,"4,334.46","151,782.48"
131,24/02/2026,FPT,"94,500","94,000","92,500","94,000","92,500","93,012","-2,000",-2.12,28.54,"2,653.34",1.15,115.61,29.69,"2,768.95","157,574.41"
132,23/02/2026,FPT,"96,300","96,800","94,500","96,800","93,100","94,417","-1,800",-1.87,22.66,"2,139.82",0.00,0.00,22.66,"2,139.82","160,981.42"
133,13/02/2026,FPT,"98,800","98,100","96,300","98,500","96,300","97,173","-2,500",-2.53,18.51,"1,796.67",0.28,27.01,18.79,"1,823.68","164,047.74"
134,12/02/2026,FPT,"98,600","99,000","98,800","99,200","98,400","98,677",200,0.20,4.13,407.10,1.24,130.89,5.37,537.99,"168,306.50"
135,11/02/2026,FPT,"97,800","98,200","98,600","99,500","97,400","98,562",800,0.82,5.51,543.02,0.94,98.53,6.45,641.56,"167,965.80"
136,10/02/2026,FPT,"99,000","99,900","97,800","99,900","97,300","98,276","-1,200",-1.21,6.11,600.57,1.16,121.19,7.27,721.75,"166,603.00"
137,09/02/2026,FPT,"97,600","98,800","99,000","99,400","97,900","98,654","1,400",1.43,5.11,504.23,1.40,146.26,6.51,650.49,"168,647.20"
138,06/02/2026,FPT,"99,000","98,000","97,600","100,000","96,700","98,212","-1,400",-1.41,9.77,958.75,1.00,105.90,10.77,"1,064.65","166,262.30"
139,05/02/2026,FPT,"101,900","101,200","99,000","101,900","99,000","99,659","-2,900",-2.85,18.09,"1,803.61",0.00,0.00,18.09,"1,803.61","168,647.20"
140,04/02/2026,FPT,"103,900","103,100","101,900","103,500","101,500","102,244","-2,000",-1.92,11.64,"1,189.35",4.00,441.34,15.64,"1,630.70","173,587.38"
141,03/02/2026,FPT,"104,300","104,900","103,900","105,400","102,900","103,790",-400,-0.38,9.10,944.94,0.44,46.19,9.54,991.13,"176,994.39"
142,02/02/2026,FPT,"104,500","103,300","104,300","104,300","101,600","102,774",-200,-0.19,9.33,959.45,1.73,190.80,11.06,"1,150.25","177,675.79"
143,30/01/2026,FPT,"106,100","106,400","104,500","106,400","103,900","104,840","-1,600",-1.51,10.83,"1,134.70",1.29,140.93,12.13,"1,275.64","178,016.49"
144,29/01/2026,FPT,"104,500","105,000","106,100","107,200","103,700","105,740","1,600",1.53,14.25,"1,505.22",0.20,22.36,14.45,"1,527.58","180,742.11"
145,28/01/2026,FPT,"102,100","102,400","104,500","105,800","102,300","104,467","2,400",2.35,11.95,"1,248.33",2.13,228.36,14.08,"1,476.69","178,016.49"
146,27/01/2026,FPT,"98,500","99,600","102,100","102,500","99,100","101,140","3,600",3.65,10.59,"1,070.98",0.80,80.52,11.38,"1,151.50","173,928.08"
147,26/01/2026,FPT,"101,000","100,200","98,500","101,600","98,000","99,489","-2,500",-2.48,11.18,"1,112.30",1.11,114.59,12.29,"1,226.90","167,795.45"
148,23/01/2026,FPT,"103,500","103,600","101,000","104,600","101,000","102,412","-2,500",-2.42,9.42,964.21,0.20,20.40,9.61,984.62,"172,054.22"
149,22/01/2026,FPT,"105,000","105,500","103,500","105,800","103,500","104,770","-1,500",-1.43,8.10,848.17,0.00,0.00,8.10,848.17,"176,312.99"
150,21/01/2026,FPT,"104,100","103,200","105,000","106,500","101,100","103,244",900,0.86,14.52,"1,500.35",1.93,206.38,16.45,"1,706.74","178,868.25"
151,20/01/2026,FPT,"105,800","106,100","104,100","107,000","104,000","105,054","-1,700",-1.61,12.21,"1,282.98",1.38,149.71,13.59,"1,432.70","177,335.09"
152,19/01/2026,FPT,"105,300","108,700","105,800","108,700","105,500","107,128",500,0.47,14.71,"1,576.84",0.35,37.60,15.06,"1,614.44","180,231.05"
153,16/01/2026,FPT,"98,500","99,500","105,300","105,300","99,500","103,322","6,800",6.90,23.87,"2,472.60",0.02,2.04,23.89,"2,474.64","179,379.30"
154,15/01/2026,FPT,"99,800","99,800","98,500","101,700","98,400","99,567","-1,300",-1.30,7.40,737.42,2.83,293.18,10.23,"1,030.60","167,795.45"
155,14/01/2026,FPT,"98,900","99,000","99,800","101,100","97,800","99,291",900,0.91,11.90,"1,181.26",2.43,247.96,14.33,"1,429.22","170,010.01"
156,13/01/2026,FPT,"99,500","99,700","98,900","101,700","97,900","98,526",-600,-0.60,9.41,937.39,0.00,0.00,9.41,937.39,"168,476.85"
157,12/01/2026,FPT,"97,400","98,000","99,500","99,500","98,000","98,978","2,100",2.16,9.08,898.45,0.00,0.00,9.08,898.45,"169,498.96"
158,09/01/2026,FPT,"96,500","96,100","97,400","99,900","96,000","98,240",900,0.93,10.05,986.34,0.25,24.35,10.29,"1,010.69","165,921.59"
159,08/01/2026,FPT,"97,500","98,100","96,500","98,100","96,500","97,007","-1,000",-1.03,5.58,540.88,0.41,41.23,5.99,582.11,"164,388.44"
160,07/01/2026,FPT,"94,000","94,100","97,500","97,600","94,000","96,343","3,500",3.72,11.43,"1,099.66",0.54,51.66,11.96,"1,151.32","166,091.94"
161,06/01/2026,FPT,"95,000","94,700","94,000","94,800","93,600","94,106","-1,000",-1.05,5.40,508.20,0.18,16.95,5.58,525.15,"160,129.67"
162,05/01/2026,FPT,"95,800","95,700","95,000","95,700","93,200","94,282",-800,-0.84,7.03,663.18,0.10,9.43,7.13,672.62,"161,833.18"
