No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,GAS,"84,300","85,200","84,200","86,400","84,200","85,156",-100,-0.12,1.56,132.84,0.00,0.00,1.56,132.84,"203,170.37"
2,27/08/2026,GAS,"84,100","84,100","84,300","85,400","82,700","84,033",200,0.24,1.56,131.49,0.00,0.00,1.56,131.49,"203,411.66"
3,26/08/2026,GAS,"83,500","83,000","84,100","86,600","83,000","85,018",600,0.72,1.59,134.95,0.00,0.00,1.59,134.95,"202,929.07"
4,25/08/2026,GAS,"85,000","84,200","83,500","85,400","82,100","83,275","-1,500",-1.76,2.13,177.01,0.00,0.00,2.13,177.01,"201,481.30"
5,24/08/2026,GAS,"83,500","83,800","85,000","87,600","82,000","85,312","1,500",1.80,2.69,229.64,0.00,0.00,2.69,229.64,"205,100.73"
6,21/08/2026,GAS,"83,500","83,800","83,500","83,800","82,000","82,765",0,0.00,1.36,112.62,0.00,0.00,1.36,112.62,"201,481.30"
7,20/08/2026,GAS,"83,700","83,900","83,500","84,400","82,200","82,979",-200,-0.24,1.11,92.33,0.00,0.00,1.11,92.33,"201,481.30"
8,19/08/2026,GAS,"83,500","83,400","83,700","84,500","82,500","83,552",200,0.24,1.94,162.32,0.00,0.00,1.94,162.32,"201,963.89"
9,18/08/2026,GAS,"79,100","79,500","83,500","84,600","79,300","83,219","4,400",5.56,3.64,302.08,0.00,0.00,3.64,302.08,"201,481.30"
10,17/08/2026,GAS,"76,000","76,200","79,100","79,200","76,200","78,342","3,100",4.08,1.11,86.93,0.00,0.00,1.11,86.93,"190,864.33"
11,14/08/2026,GAS,"77,900","77,800","76,000","79,200","74,900","76,619","-1,900",-2.44,1.67,127.80,0.00,0.00,1.67,127.80,"183,384.18"
