No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,GVR,"32,950","33,250","32,350","33,250","32,350","32,760",-600,-1.82,2.21,72.37,0.00,0.00,2.21,72.37,"129,400.00"
2,27/08/2026,GVR,"33,400","33,450","32,950","33,550","32,850","33,040",-450,-1.35,2.06,67.95,0.00,0.00,2.06,67.95,"131,800.00"
3,26/08/2026,GVR,"32,500","32,500","33,400","34,250","32,500","33,536",900,2.77,4.78,160.28,0.00,0.00,4.78,160.28,"133,600.00"
4,25/08/2026,GVR,"32,200","32,200","32,500","32,500","31,750","32,077",300,0.93,2.61,83.84,0.00,0.00,2.61,83.84,"130,000.00"
5,24/08/2026,GVR,"32,100","32,300","32,200","33,300","32,100","32,656",100,0.31,3.39,110.95,0.00,0.00,3.39,110.95,"128,800.00"
6,21/08/2026,GVR,"31,450","31,250","32,100","32,250","31,200","31,858",650,2.07,2.20,70.19,0.00,0.00,2.20,70.19,"128,400.00"
7,20/08/2026,GVR,"31,700","31,950","31,450","31,950","31,200","31,458",-250,-0.79,1.41,44.22,0.00,0.00,1.41,44.22,"125,800.00"
8,19/08/2026,GVR,"32,000","32,300","31,700","32,300","31,450","31,740",-300,-0.94,1.51,48.07,0.00,0.00,1.51,48.07,"126,800.00"
9,18/08/2026,GVR,"31,350","31,600","32,000","32,900","31,350","32,169",650,2.07,3.42,109.96,0.00,0.00,3.42,109.96,"128,000.00"
10,17/08/2026,GVR,"31,200","31,200","31,350","32,100","30,900","31,413",150,0.48,1.80,56.46,0.00,0.00,1.80,56.46,"125,400.00"
11,14/08/2026,GVR,"32,650","32,250","31,200","32,600","31,200","31,728","-1,450",-4.44,3.66,116.21,0.00,0.00,3.66,116.21,"124,800.00"
12,13/08/2026,GVR,"32,250","32,000","32,650","32,900","31,850","32,502",400,1.24,4.97,161.59,0.00,0.00,4.97,161.59,"130,600.00"
13,12/08/2026,GVR,"31,400","31,400","32,250","32,650","31,300","31,915",850,2.71,3.73,119.21,0.00,0.00,3.73,119.21,"129,000.00"
14,11/08/2026,GVR,"31,800","31,800","31,400","32,200","31,250","31,583",-400,-1.26,2.51,79.36,0.00,0.00,2.51,79.36,"125,600.00"
15,10/08/2026,GVR,"29,750","31,800","31,800","31,800","31,100","31,575","2,050",6.89,6.12,193.39,0.00,0.00,6.12,193.39,"127,200.00"
16,07/08/2026,GVR,"27,850","28,250","29,750","29,750","28,200","29,437","1,900",6.82,2.13,62.78,0.00,0.00,2.13,62.78,"119,000.00"
17,06/08/2026,GVR,"28,150","28,150","27,850","28,300","27,750","27,955",-300,-1.07,1.14,31.83,0.00,0.00,1.14,31.83,"111,400.00"
18,05/08/2026,GVR,"28,500","28,650","28,150","28,750","28,050","28,263",-350,-1.23,1.30,36.76,0.00,0.00,1.30,36.76,"112,600.00"
19,04/08/2026,GVR,"28,200","28,300","28,500","28,600","28,050","28,303",300,1.06,1.40,39.72,0.00,0.00,1.40,39.72,"114,000.00"
20,03/08/2026,GVR,"27,500","27,700","28,200","28,500","27,650","28,232",700,2.55,1.80,50.97,0.00,0.00,1.80,50.97,"112,800.00"
21,31/07/2026,GVR,"27,550","27,900","27,500","28,400","27,500","27,855",-50,-0.18,2.22,61.73,0.00,0.00,2.22,61.73,"110,000.00"
22,30/07/2026,GVR,"26,750","26,750","27,550","27,900","26,750","27,422",800,2.99,1.63,44.66,0.00,0.00,1.63,44.66,"110,200.00"
23,29/07/2026,GVR,"26,350","26,500","26,750","26,750","26,300","26,560",400,1.52,1.24,32.95,0.00,0.00,1.24,32.95,"107,000.00"
