No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,HDB,"27,800","27,850","27,800","27,850","27,500","27,650",0,0.00,8.50,235.29,11.80,320.55,20.30,555.84,"139,146.68"
2,27/08/2026,HDB,"27,750","27,850","27,800","28,050","27,600","27,733",50,0.18,11.71,325.22,4.63,128.16,16.34,453.39,"139,146.68"
3,26/08/2026,HDB,"27,000","27,000","27,750","27,800","26,850","27,243",750,2.78,13.49,368.04,9.64,260.23,23.13,628.26,"138,896.42"
4,25/08/2026,HDB,"27,400","27,400","27,000","27,500","27,000","27,267",-400,-1.46,11.43,311.79,5.46,149.46,16.89,461.25,"135,142.46"
5,24/08/2026,HDB,"27,300","27,650","27,400","28,000","27,350","27,667",100,0.37,14.30,395.45,0.77,20.94,15.07,416.39,"137,144.57"
6,21/08/2026,HDB,"26,850","26,900","27,300","27,300","26,550","27,003",450,1.68,13.43,361.91,2.30,60.05,15.73,421.96,"136,644.04"
7,20/08/2026,HDB,"26,700","26,800","26,850","27,000","26,700","26,841",150,0.56,8.93,239.41,3.16,83.77,12.09,323.17,"134,391.67"
8,19/08/2026,HDB,"26,950","27,000","26,700","27,000","26,400","26,658",-250,-0.93,7.07,188.82,52.55,"1,387.28",59.62,"1,576.10","133,640.88"
9,18/08/2026,HDB,"26,850","26,850","26,950","27,200","26,600","26,843",100,0.37,8.43,226.46,0.93,24.86,9.36,251.33,"134,892.20"
10,17/08/2026,HDB,"26,450","26,400","26,850","27,000","26,200","26,754",400,1.51,7.34,196.30,3.07,81.28,10.42,277.58,"134,391.67"
11,14/08/2026,HDB,"26,700","26,750","26,450","26,900","26,200","26,528",-250,-0.94,8.26,219.59,1.86,50.14,10.13,269.73,"132,389.56"
12,13/08/2026,HDB,"27,200","27,300","26,700","27,600","26,700","27,087",-500,-1.84,10.39,281.90,0.72,20.16,11.11,302.06,"133,640.88"
13,12/08/2026,HDB,"26,900","26,900","27,200","27,400","26,650","27,082",300,1.12,12.86,348.08,1.86,50.14,14.72,398.22,"136,143.52"
14,11/08/2026,HDB,"26,950","26,950","26,900","27,100","26,800","26,945",-50,-0.19,8.30,223.47,3.66,93.42,11.96,316.89,"134,641.93"
15,10/08/2026,HDB,"26,550","26,650","26,950","27,000","26,350","26,720",400,1.51,10.62,283.65,0.40,10.62,11.02,294.27,"134,892.20"
16,07/08/2026,HDB,"26,550","26,500","26,550","26,900","26,300","26,636",0,0.00,9.86,262.44,2.30,60.95,12.17,323.38,"132,890.09"
17,06/08/2026,HDB,"26,550","26,550","26,550","26,650","26,250","26,448",0,0.00,7.70,203.84,0.47,12.48,8.17,216.32,"132,890.09"
18,05/08/2026,HDB,"26,700","26,750","26,550","26,750","26,200","26,370",-150,-0.56,9.38,247.62,6.40,169.77,15.78,417.39,"132,890.09"
19,04/08/2026,HDB,"26,000","26,100","26,700","26,750","25,900","26,386",700,2.69,11.28,297.53,19.83,517.11,31.10,814.64,"133,640.88"
20,03/08/2026,HDB,"25,200","25,300","26,000","26,000","25,250","25,649",800,3.17,7.65,196.00,11.84,295.28,19.49,491.28,"130,137.18"
21,31/07/2026,HDB,"25,700","25,700","25,200","25,800","25,200","25,416",-500,-1.95,8.86,225.28,4.40,113.54,13.26,338.82,"126,132.96"
22,30/07/2026,HDB,"25,500","25,400","25,700","25,900","25,150","25,602",200,0.78,8.99,230.06,10.90,282.51,19.89,512.57,"128,635.60"
23,29/07/2026,HDB,"25,100","25,050","25,500","25,550","24,500","24,793",400,1.59,12.88,321.85,2.66,67.35,15.55,389.20,"127,634.55"
24,28/07/2026,HDB,"25,300","25,150","25,100","25,300","24,450","24,909",-200,-0.79,11.49,286.40,4.21,105.09,15.70,391.49,"125,632.44"
25,27/07/2026,HDB,"25,850","25,800","25,300","26,000","25,300","25,526",-550,-2.13,9.00,230.05,11.71,304.35,20.70,534.40,"126,633.49"
26,24/07/2026,HDB,"25,950","25,750","25,850","25,850","25,450","25,612",-100,-0.39,7.79,199.73,3.85,99.91,11.64,299.64,"129,386.39"
27,23/07/2026,HDB,"25,800","25,800","25,950","25,950","25,150","25,543",150,0.58,11.63,297.28,0.77,20.50,12.39,317.78,"129,886.92"
28,22/07/2026,HDB,"26,950","27,000","25,800","27,100","25,400","26,184","-1,150",-4.27,20.86,546.35,3.24,87.28,24.10,633.63,"129,136.13"
29,21/07/2026,HDB,"26,850","26,850","26,950","27,000","26,600","26,873",100,0.37,11.35,304.52,1.31,36.04,12.66,340.56,"134,892.20"
30,20/07/2026,HDB,"27,250","27,150","26,850","27,250","26,500","26,749",-400,-1.47,15.27,408.64,5.67,154.37,20.94,563.01,"134,391.67"
31,17/07/2026,HDB,"27,150","27,100","27,250","27,400","26,850","27,090",100,0.37,9.88,267.72,1.41,38.28,11.29,306.00,"136,393.78"
32,16/07/2026,HDB,"26,350","26,300","27,150","27,150","26,050","26,650",800,3.04,13.61,360.93,2.22,58.52,15.83,419.45,"135,893.25"
33,15/07/2026,HDB,"26,800","27,000","26,350","27,000","26,250","26,515",-450,-1.68,8.38,222.54,4.70,125.90,13.08,348.44,"131,889.03"
34,14/07/2026,HDB,"26,700","26,550","26,800","26,800","26,250","26,666",100,0.37,9.63,255.47,2.38,64.75,12.01,320.22,"134,141.41"
35,13/07/2026,HDB,"27,000","26,800","26,700","26,850","26,000","26,384",-300,-1.11,15.62,412.55,6.89,187.64,22.50,600.18,"133,640.88"
