No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,HPG,"22,200","22,250","22,100","22,350","22,050","22,203",-100,-0.45,17.13,380.20,0.12,2.83,17.25,383.03,"186,589.52"
2,27/08/2026,HPG,"22,050","22,050","22,200","22,400","22,050","22,222",150,0.68,19.20,426.68,0.78,16.91,19.98,443.59,"187,433.81"
3,26/08/2026,HPG,"21,800","21,800","22,050","22,100","21,750","21,941",250,1.15,19.39,425.73,0.00,0.00,19.39,425.73,"186,167.37"
4,25/08/2026,HPG,"22,250","22,250","21,800","22,300","21,800","22,024",-450,-2.02,25.84,568.78,0.00,0.00,25.84,568.78,"184,056.63"
5,24/08/2026,HPG,"21,700","22,000","22,250","22,300","21,850","22,069",550,2.53,28.79,636.13,1.32,30.62,30.11,666.75,"187,855.96"
6,21/08/2026,HPG,"21,150","21,150","21,700","21,750","21,050","21,439",550,2.60,25.14,539.38,0.00,0.00,25.14,539.38,"183,212.33"
7,20/08/2026,HPG,"21,200","21,250","21,150","21,450","21,150","21,251",-50,-0.24,15.16,322.00,0.20,4.40,15.36,326.40,"178,568.70"
8,19/08/2026,HPG,"21,000","21,100","21,200","21,200","20,900","21,022",200,0.95,15.31,322.00,1.51,31.75,16.83,353.76,"178,990.85"
9,18/08/2026,HPG,"21,200","21,150","21,000","21,400","21,000","21,182",-200,-0.94,16.37,346.71,0.40,8.82,16.77,355.53,"177,302.25"
10,17/08/2026,HPG,"21,250","21,250","21,200","21,450","21,050","21,190",-50,-0.24,18.46,391.22,0.00,0.00,18.46,391.22,"178,990.85"
11,14/08/2026,HPG,"21,700","21,700","21,250","21,800","21,200","21,478",-450,-2.07,27.44,589.01,0.23,5.18,27.67,594.19,"179,413.00"
12,13/08/2026,HPG,"22,100","22,200","21,700","22,250","21,700","21,938",-400,-1.81,25.70,563.76,1.15,25.66,26.86,589.42,"183,212.33"
13,12/08/2026,HPG,"22,050","22,000","22,100","22,350","21,950","22,195",50,0.23,15.93,353.62,0.23,5.28,16.15,358.90,"186,589.52"
14,11/08/2026,HPG,"22,100","22,200","22,050","22,250","22,050","22,136",-50,-0.23,13.69,303.14,1.96,44.93,15.66,348.08,"186,167.37"
15,10/08/2026,HPG,"22,000","22,250","22,100","22,300","21,950","22,102",100,0.45,16.73,369.89,1.32,30.42,18.05,400.30,"186,589.52"
16,07/08/2026,HPG,"21,850","21,900","22,000","22,300","21,750","22,046",150,0.69,13.02,287.11,0.20,4.07,13.22,291.18,"185,745.22"
