No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,LPB,"49,400","49,700","49,950","50,500","49,350","49,849",550,1.11,3.03,151.08,0.00,0.00,3.03,151.08,"149,214.74"
2,27/08/2026,LPB,"49,600","49,300","49,400","49,800","49,100","49,353",-200,-0.40,1.85,91.08,2.55,127.25,4.39,218.33,"147,571.74"
3,26/08/2026,LPB,"49,800","50,000","49,600","50,200","48,700","49,420",-200,-0.40,4.10,202.91,0.00,0.00,4.10,202.91,"148,169.19"
4,25/08/2026,LPB,"49,100","49,150","49,800","50,600","49,100","50,021",700,1.43,3.21,160.83,4.63,230.00,7.84,390.83,"148,766.65"
5,24/08/2026,LPB,"50,000","51,000","49,100","51,000","48,500","49,565",-900,-1.80,3.94,195.17,0.85,43.99,4.78,239.16,"146,675.55"
6,21/08/2026,LPB,"50,000","49,800","50,000","50,500","48,500","49,723",0,0.00,3.87,192.46,0.00,0.00,3.87,192.46,"149,364.11"
7,20/08/2026,LPB,"50,700","51,000","50,000","51,300","49,650","50,347",-700,-1.38,2.73,137.23,0.00,0.00,2.73,137.23,"149,364.11"
8,19/08/2026,LPB,"50,000","50,300","50,700","51,300","50,000","50,750",700,1.40,1.26,63.67,0.00,0.00,1.26,63.67,"151,455.20"
9,18/08/2026,LPB,"50,900","51,100","50,000","51,500","50,000","50,615",-900,-1.77,3.18,160.67,0.00,0.00,3.18,160.67,"149,364.11"
10,17/08/2026,LPB,"52,400","52,900","50,900","52,900","50,100","51,568","-1,500",-2.86,4.56,235.54,0.00,0.00,4.56,235.54,"152,052.66"
11,14/08/2026,LPB,"53,800","53,700","52,400","54,000","52,000","52,880","-1,400",-2.60,4.37,231.18,0.00,0.00,4.37,231.18,"156,533.58"
12,13/08/2026,LPB,"53,800","53,800","53,800","54,400","52,500","53,665",0,0.00,4.13,221.17,1.20,67.20,5.33,288.37,"160,715.78"
13,12/08/2026,LPB,"53,700","53,700","53,800","54,500","53,300","54,162",100,0.19,2.83,153.08,0.00,0.00,2.83,153.08,"160,715.78"
14,11/08/2026,LPB,"52,300","52,800","53,700","53,800","52,300","53,183","1,400",2.68,2.58,137.51,0.03,1.37,2.61,138.88,"160,417.05"
15,10/08/2026,LPB,"52,900","52,900","52,300","53,100","52,000","52,607",-600,-1.13,1.78,93.41,0.00,0.00,1.78,93.41,"156,234.85"
16,07/08/2026,LPB,"52,000","52,000","52,900","53,400","51,900","52,525",900,1.73,1.65,86.90,8.01,391.39,9.67,478.29,"158,027.22"
17,06/08/2026,LPB,"53,000","53,200","52,000","53,300","51,300","52,352","-1,000",-1.89,3.55,185.64,0.40,20.00,3.95,205.64,"155,338.67"
18,05/08/2026,LPB,"53,800","54,300","53,000","54,300","52,800","53,535",-800,-1.49,2.72,145.54,0.87,47.96,3.59,193.50,"158,325.95"
19,04/08/2026,LPB,"53,000","53,200","53,800","53,800","52,500","53,056",800,1.51,2.65,141.06,1.00,50.00,3.65,191.06,"160,715.78"
20,03/08/2026,LPB,"51,800","52,100","53,000","54,000","52,100","53,199","1,200",2.32,2.57,136.49,0.00,0.00,2.57,136.49,"158,325.95"
21,31/07/2026,LPB,"52,600","52,100","51,800","53,500","51,800","52,757",-800,-1.52,3.62,189.91,0.50,26.49,4.12,216.40,"154,741.21"
22,30/07/2026,LPB,"52,600","52,100","52,600","53,800","51,700","52,725",0,0.00,3.83,202.51,2.00,98.00,5.83,300.51,"157,131.04"
23,29/07/2026,LPB,"53,500","52,800","52,600","53,400","52,200","52,606",-900,-1.68,3.26,171.46,0.00,0.00,3.26,171.46,"157,131.04"
24,28/07/2026,LPB,"54,000","54,100","53,500","54,800","53,500","54,411",-500,-0.93,2.57,139.71,0.00,0.00,2.57,139.71,"159,819.59"
25,27/07/2026,LPB,"52,400","53,500","54,000","56,000","53,200","54,683","1,600",3.05,5.56,304.52,0.00,0.00,5.56,304.52,"161,313.23"
26,24/07/2026,LPB,"53,300","53,000","52,400","53,800","51,900","52,488",-900,-1.69,2.24,117.40,0.00,0.00,2.24,117.40,"156,533.58"
27,23/07/2026,LPB,"54,400","54,900","53,300","55,000","53,300","54,294","-1,100",-2.02,2.90,157.13,18.51,944.01,21.40,"1,101.14","159,222.14"
28,22/07/2026,LPB,"54,600","54,800","54,400","55,300","53,500","54,290",-200,-0.37,4.20,228.19,0.00,0.00,4.20,228.19,"162,508.15"
29,21/07/2026,LPB,"53,500","53,800","54,600","56,000","53,300","54,669","1,100",2.06,6.31,345.16,129.80,"6,490.19",136.11,"6,835.35","163,105.60"
