No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,MBB,"21,050","21,050","21,050","21,050","20,850","20,986",0,0.00,8.68,182.22,0.00,0.00,8.68,182.22,"169,557.75"
2,27/08/2026,MBB,"21,050","21,050","21,050","21,200","20,850","20,995",0,0.00,7.61,159.84,1.20,25.20,8.81,185.04,"169,557.75"
3,26/08/2026,MBB,"20,650","20,650","21,050","21,200","20,500","20,805",400,1.94,18.75,391.22,0.00,0.00,18.75,391.22,"169,557.75"
4,25/08/2026,MBB,"20,750","20,750","20,650","20,950","20,650","20,793",-100,-0.48,10.21,212.36,0.44,9.21,10.66,221.56,"166,335.75"
5,24/08/2026,MBB,"20,850","21,050","20,750","21,200","20,750","20,912",-100,-0.48,11.07,231.55,0.03,0.62,11.10,232.18,"167,141.25"
6,21/08/2026,MBB,"20,300","20,300","20,850","20,850","20,100","20,491",550,2.71,15.70,321.88,2.90,56.22,18.60,378.10,"167,946.75"
7,20/08/2026,MBB,"19,950","20,000","20,300","20,350","20,000","20,198",350,1.75,10.90,220.36,1.11,22.42,12.01,242.79,"163,516.50"
8,19/08/2026,MBB,"19,950","19,950","19,950","20,000","19,850","19,925",0,0.00,5.05,100.54,0.00,0.00,5.05,100.54,"160,697.25"
9,18/08/2026,MBB,"19,900","19,900","19,950","20,050","19,850","19,934",50,0.25,7.08,141.18,0.00,0.00,7.08,141.18,"160,697.25"
10,17/08/2026,MBB,"20,000","20,000","19,900","20,200","19,900","19,997",-100,-0.50,7.66,153.12,0.30,5.58,7.96,158.70,"160,294.50"
11,14/08/2026,MBB,"20,150","20,150","20,000","20,250","20,000","20,084",-150,-0.74,11.90,239.21,0.15,3.07,12.05,242.27,"161,100.00"
12,13/08/2026,MBB,"20,450","20,500","20,150","20,550","20,150","20,366",-300,-1.47,11.66,237.59,0.75,15.11,12.41,252.70,"162,308.25"
13,12/08/2026,MBB,"20,350","20,400","20,450","20,500","20,350","20,417",100,0.49,8.94,182.49,0.03,0.65,8.97,183.14,"164,724.75"
14,11/08/2026,MBB,"20,200","20,500","20,350","20,550","20,350","20,462",150,0.74,18.72,382.89,0.37,7.36,19.08,390.25,"163,919.25"
15,10/08/2026,MBB,"24,150","24,150","24,250","24,450","23,950","24,247",100,0.41,28.45,690.18,0.00,0.00,28.45,690.18,"195,333.75"
