No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,MCH,"142,000","143,000","143,000","143,500","140,900","141,758","1,000",0.70,0.44,62.98,0.36,51.45,0.80,114.44,"186,958.91"
2,27/08/2026,MCH,"141,900","141,600","142,000","142,200","140,800","141,544",100,0.07,0.25,34.96,0.00,0.00,0.25,34.96,"185,651.50"
3,26/08/2026,MCH,"141,800","142,100","141,900","142,300","140,600","141,745",100,0.07,0.39,55.50,1.08,153.29,1.47,208.79,"185,520.76"
4,25/08/2026,MCH,"139,700","139,800","141,800","142,500","139,800","141,606","2,100",1.50,0.80,113.35,0.00,0.00,0.80,113.35,"185,390.02"
5,24/08/2026,MCH,"139,500","140,300","139,700","140,800","139,300","139,948",200,0.14,0.28,39.02,0.02,2.60,0.30,41.62,"182,644.47"
6,21/08/2026,MCH,"138,000","137,200","139,500","140,000","136,700","138,627","1,500",1.09,0.46,64.37,0.00,0.00,0.46,64.37,"182,382.99"
7,20/08/2026,MCH,"136,600","136,500","138,000","138,500","136,500","137,784","1,400",1.02,0.55,76.26,0.00,0.00,0.55,76.26,"180,421.88"
8,19/08/2026,MCH,"135,900","134,500","136,600","136,600","134,500","135,233",700,0.52,0.20,26.97,0.00,0.00,0.20,26.97,"178,591.52"
9,18/08/2026,MCH,"136,900","137,300","135,900","137,300","134,000","135,395","-1,000",-0.73,0.33,44.98,0.00,0.00,0.33,44.98,"177,676.33"
10,17/08/2026,MCH,"136,800","136,800","136,900","137,600","135,400","136,403",100,0.07,0.25,33.48,0.00,0.00,0.25,33.48,"178,983.74"
11,14/08/2026,MCH,"136,900","136,900","136,800","138,900","135,000","136,347",-100,-0.07,0.32,43.78,0.00,0.00,0.32,43.78,"178,853.00"
12,13/08/2026,MCH,"136,200","136,800","136,900","138,100","136,200","137,062",700,0.51,0.29,40.01,0.00,0.00,0.29,40.01,"178,983.74"
13,12/08/2026,MCH,"136,000","136,000","136,200","138,200","135,400","137,041",200,0.15,0.26,35.92,0.00,0.00,0.26,35.92,"178,068.55"
14,11/08/2026,MCH,"136,000","136,200","136,000","137,000","135,500","136,035",0,0.00,0.19,25.24,0.00,0.00,0.19,25.24,"177,807.07"
15,10/08/2026,MCH,"134,900","135,000","136,000","136,000","133,500","134,988","1,100",0.82,0.22,29.26,0.00,0.00,0.22,29.26,"177,807.07"
16,07/08/2026,MCH,"136,900","136,900","136,900","137,000","135,000","135,993",0,0.00,0.28,38.00,0.00,0.00,0.28,38.00,"178,983.74"
17,06/08/2026,MCH,"137,000","137,000","136,900","137,200","136,000","136,765",-100,-0.07,0.08,10.72,0.00,0.00,0.08,10.72,"178,983.74"
18,05/08/2026,MCH,"138,000","138,000","137,000","138,000","137,000","137,099","-1,000",-0.72,0.23,31.07,0.42,54.44,0.65,85.51,"179,114.48"
19,04/08/2026,MCH,"137,700","137,600","138,000","138,100","135,300","136,582",300,0.22,0.25,33.92,1.58,222.54,1.83,256.46,"180,421.88"
20,03/08/2026,MCH,"141,000","140,900","137,700","141,000","136,800","137,802","-3,300",-2.34,0.44,61.10,0.78,102.72,1.22,163.82,"180,029.66"
21,31/07/2026,MCH,"142,900","143,000","141,000","143,600","139,900","141,007","-1,900",-1.33,1.49,210.54,0.00,0.00,1.49,210.54,"184,344.10"
22,30/07/2026,MCH,"138,900","138,900","142,900","142,900","137,000","139,335","4,000",2.88,1.00,139.39,0.10,14.29,1.10,153.68,"186,828.17"
23,29/07/2026,MCH,"138,900","139,000","138,900","139,600","137,000","138,459",0,0.00,0.71,98.81,0.18,26.75,0.89,125.56,"181,598.55"
24,28/07/2026,MCH,"137,500","137,500","138,900","139,400","135,500","138,024","1,400",1.02,0.81,111.36,1.45,199.93,2.26,311.28,"181,598.55"
