No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,MSN,"70,200","70,500","70,200","70,600","69,800","70,193",0,0.00,3.34,234.05,0.24,16.65,3.58,250.71,"107,753.57"
2,27/08/2026,MSN,"70,100","70,300","70,200","71,100","69,600","70,460",100,0.14,4.81,338.89,0.04,2.81,4.85,341.69,"107,753.57"
3,26/08/2026,MSN,"69,500","69,500","70,100","70,300","69,100","69,721",600,0.86,3.82,266.57,2.21,153.60,6.03,420.17,"107,600.07"
4,25/08/2026,MSN,"70,000","70,000","69,500","70,500","69,000","69,592",-500,-0.71,4.64,323.05,1.22,85.09,5.86,408.14,"106,679.10"
5,24/08/2026,MSN,"69,800","70,700","70,000","70,800","69,500","70,025",200,0.29,4.72,330.43,0.98,68.01,5.69,398.44,"107,446.58"
6,21/08/2026,MSN,"68,100","68,200","69,800","70,200","67,900","69,302","1,700",2.50,7.44,515.38,0.00,0.00,7.44,515.38,"107,139.59"
7,20/08/2026,MSN,"66,400","66,500","68,100","68,900","66,300","67,769","1,700",2.56,7.13,484.05,0.74,50.35,7.87,534.40,"104,530.17"
8,19/08/2026,MSN,"66,800","66,700","66,400","66,800","65,500","65,934",-400,-0.60,3.51,231.38,0.00,0.00,3.51,231.38,"101,920.75"
9,18/08/2026,MSN,"66,900","66,900","66,800","67,300","66,100","66,605",-100,-0.15,2.28,152.20,0.74,50.60,3.02,202.80,"102,534.73"
10,17/08/2026,MSN,"66,300","66,300","66,900","66,900","65,900","66,267",600,0.90,3.31,219.49,0.20,14.10,3.51,233.59,"102,688.23"
11,14/08/2026,MSN,"67,600","67,400","66,300","67,900","65,800","66,754","-1,300",-1.92,6.33,421.78,0.00,0.00,6.33,421.78,"101,767.26"
12,13/08/2026,MSN,"67,200","67,500","67,600","68,300","67,400","67,898",400,0.60,5.68,385.68,0.00,0.00,5.68,385.68,"103,762.69"
13,12/08/2026,MSN,"67,100","67,200","67,200","67,800","66,900","67,340",100,0.15,2.04,137.34,0.00,0.00,2.04,137.34,"103,148.71"
14,11/08/2026,MSN,"67,700","67,800","67,100","68,200","67,100","67,695",-600,-0.89,2.88,194.71,0.15,10.14,3.03,204.85,"102,995.22"
15,10/08/2026,MSN,"67,400","67,400","67,700","68,100","66,900","67,661",300,0.45,3.06,206.94,0.46,32.89,3.52,239.82,"103,916.19"
16,07/08/2026,MSN,"66,500","66,300","67,400","67,800","66,200","67,016",900,1.35,3.17,212.50,0.00,0.00,3.17,212.50,"103,455.70"
17,06/08/2026,MSN,"67,200","67,500","66,500","67,500","66,400","66,741",-700,-1.04,2.29,152.60,0.00,0.00,2.29,152.60,"102,074.25"
18,05/08/2026,MSN,"68,400","68,800","67,200","69,400","67,000","67,858","-1,200",-1.75,4.18,284.25,0.04,2.74,4.22,286.99,"103,148.71"
19,04/08/2026,MSN,"68,200","68,400","68,400","68,600","67,700","68,186",200,0.29,3.12,212.61,0.04,2.92,3.16,215.53,"104,990.65"
20,03/08/2026,MSN,"66,100","66,500","68,200","68,300","66,400","67,741","2,100",3.18,4.35,294.54,0.03,1.81,4.37,296.35,"104,683.66"
21,31/07/2026,MSN,"67,900","67,900","66,100","67,900","66,100","66,905","-1,800",-2.65,3.74,249.67,0.08,5.43,3.82,255.10,"101,460.27"
22,30/07/2026,MSN,"66,300","66,000","67,900","68,100","65,900","67,052","1,600",2.41,4.86,325.69,0.00,0.00,4.86,325.69,"104,223.18"
23,29/07/2026,MSN,"65,700","65,800","66,300","66,600","65,100","65,788",600,0.91,3.69,243.25,0.00,0.00,3.69,243.25,"101,767.26"
24,28/07/2026,MSN,"63,900","63,200","65,700","66,400","63,200","64,826","1,800",2.82,5.57,361.99,0.00,0.00,5.57,361.99,"100,846.29"
25,27/07/2026,MSN,"63,900","65,000","63,900","65,100","63,500","64,414",0,0.00,4.61,296.51,0.00,0.00,4.61,296.51,"98,083.37"
26,24/07/2026,MSN,"64,000","63,900","63,900","64,000","62,800","63,354",-100,-0.16,3.34,212.34,0.00,0.00,3.34,212.34,"98,083.37"
27,23/07/2026,MSN,"63,900","63,900","64,000","64,600","61,700","63,052",100,0.16,5.07,320.10,0.00,0.00,5.07,320.10,"98,236.87"
28,22/07/2026,MSN,"64,900","65,500","63,900","67,000","63,500","64,807","-1,000",-1.54,9.08,588.96,0.25,17.35,9.33,606.31,"98,083.37"
29,21/07/2026,MSN,"64,800","64,500","64,900","66,100","64,500","65,277",100,0.15,4.69,306.34,0.12,8.32,4.81,314.65,"99,618.33"
30,20/07/2026,MSN,"68,000","67,800","64,800","67,800","64,600","66,028","-3,200",-4.71,6.39,420.38,0.00,0.00,6.39,420.38,"99,464.83"
31,17/07/2026,MSN,"68,000","67,800","68,000","68,200","67,400","67,793",0,0.00,2.75,186.64,0.00,0.00,2.75,186.64,"104,376.67"
32,16/07/2026,MSN,"68,000","67,500","68,000","68,000","66,700","67,399",0,0.00,3.44,231.87,0.00,0.00,3.44,231.87,"104,376.67"
33,15/07/2026,MSN,"68,400","68,400","68,000","68,500","67,400","67,906",-400,-0.58,2.63,178.84,0.10,6.37,2.73,185.21,"104,376.67"
34,14/07/2026,MSN,"67,900","67,300","68,400","68,400","67,100","68,192",500,0.74,2.36,160.52,0.00,0.00,2.36,160.52,"104,990.65"
35,13/07/2026,MSN,"68,800","68,300","67,900","68,500","66,700","67,710",-900,-1.31,5.49,371.61,0.03,2.21,5.52,373.81,"104,223.18"
36,10/07/2026,MSN,"68,900","68,600","68,800","69,100","68,100","68,504",-100,-0.15,2.70,185.17,0.13,9.24,2.83,194.40,"105,604.63"
37,09/07/2026,MSN,"69,000","68,800","68,900","69,600","68,600","68,837",-100,-0.14,2.30,158.27,0.00,0.00,2.30,158.27,"105,758.13"
38,08/07/2026,MSN,"68,600","68,400","69,000","69,700","67,500","68,140",400,0.58,10.94,745.81,0.00,0.00,10.94,745.81,"105,911.62"
39,07/07/2026,MSN,"70,500","70,400","68,600","70,400","68,300","68,929","-1,900",-2.70,9.70,667.78,0.00,0.00,9.70,667.78,"105,297.64"
40,06/07/2026,MSN,"71,800","71,600","70,500","71,800","69,200","70,774","-1,300",-1.81,4.68,330.94,0.00,0.00,4.68,330.94,"108,214.05"
41,03/07/2026,MSN,"72,400","72,100","71,800","72,400","71,500","71,750",-600,-0.83,2.72,195.28,0.00,0.00,2.72,195.28,"109,171.32"
42,02/07/2026,MSN,"72,500","72,800","72,400","73,100","71,900","72,373",-100,-0.14,3.05,220.84,0.00,0.00,3.05,220.84,"110,083.62"
43,01/07/2026,MSN,"72,100","72,000","72,500","72,800","71,900","72,395",400,0.55,2.28,164.96,4.30,313.27,6.58,478.24,"110,235.66"
44,30/06/2026,MSN,"72,100","72,200","72,100","72,700","71,600","72,028",0,0.00,2.68,193.34,0.00,0.00,2.68,193.34,"109,627.47"
45,29/06/2026,MSN,"71,400","71,600","72,100","72,100","71,400","71,832",700,0.98,2.19,157.27,6.61,484.58,8.79,641.85,"109,627.47"
46,26/06/2026,MSN,"71,500","71,400","71,400","71,500","70,900","71,141",-100,-0.14,1.95,138.75,2.32,169.04,4.27,307.80,"108,563.12"
47,25/06/2026,MSN,"71,500","71,700","71,500","71,700","71,200","71,400",0,0.00,1.09,78.06,2.30,168.10,3.40,246.16,"108,715.17"
48,24/06/2026,MSN,"71,500","71,400","71,500","71,600","70,600","70,944",0,0.00,2.09,148.16,6.94,506.27,9.03,654.43,"108,715.17"
49,23/06/2026,MSN,"71,500","71,800","71,500","72,300","70,700","71,367",0,0.00,3.92,280.15,0.00,0.00,3.92,280.15,"108,715.17"
50,22/06/2026,MSN,"72,000","72,600","71,500","72,600","71,500","71,906",-500,-0.69,1.68,120.73,9.82,711.96,11.50,832.70,"108,715.17"
51,19/06/2026,MSN,"72,100","72,200","72,000","72,600","72,000","72,165",-100,-0.14,2.20,158.90,0.50,36.95,2.70,195.84,"109,475.42"
52,18/06/2026,MSN,"72,500","72,500","72,100","73,200","72,100","72,721",-400,-0.55,2.96,214.54,0.07,5.09,3.03,219.63,"109,627.47"
53,17/06/2026,MSN,"73,000","73,100","72,500","73,300","72,500","72,878",-500,-0.68,2.46,179.50,0.45,32.99,2.91,212.49,"110,235.66"
54,16/06/2026,MSN,"72,200","72,500","73,000","73,200","72,200","72,625",800,1.11,2.00,145.24,0.25,17.73,2.24,162.98,"110,995.91"
55,15/06/2026,MSN,"71,100","72,100","72,200","72,800","71,900","72,434","1,100",1.55,2.83,204.92,0.00,0.00,2.83,204.92,"109,779.52"
56,12/06/2026,MSN,"71,000","72,000","71,100","72,200","71,100","71,703",100,0.14,2.52,181.04,0.30,21.45,2.82,202.49,"108,106.98"
57,11/06/2026,MSN,"71,900","71,500","71,000","71,800","71,000","71,397",-900,-1.25,1.78,126.82,0.00,0.00,1.78,126.82,"107,954.93"
58,10/06/2026,MSN,"72,400","72,200","71,900","72,300","71,600","71,961",-500,-0.69,1.53,109.96,7.97,570.96,9.50,680.92,"109,323.37"
59,09/06/2026,MSN,"70,800","71,300","72,400","72,500","70,900","71,557","1,600",2.26,3.42,244.93,1.34,99.80,4.76,344.73,"110,083.62"
60,08/06/2026,MSN,"73,100","72,400","70,800","72,700","70,800","71,802","-2,300",-3.15,5.81,416.70,9.45,700.71,15.26,"1,117.40","107,650.83"
61,05/06/2026,MSN,"74,000","74,300","73,100","74,300","73,000","73,497",-900,-1.22,2.86,210.31,1.36,101.58,4.22,311.89,"111,147.96"
62,04/06/2026,MSN,"75,100","74,900","74,000","74,900","73,900","74,238","-1,100",-1.46,1.88,139.48,9.34,700.79,11.22,840.27,"112,516.40"
