No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,MWG,"75,900","75,700","75,000","75,700","74,800","75,191",-900,-1.19,2.72,204.21,0.76,54.31,3.47,258.52,"110,682.42"
2,27/08/2026,MWG,"75,500","75,500","75,900","75,900","74,800","75,393",400,0.53,2.31,173.88,0.43,32.74,2.73,206.62,"112,010.61"
3,26/08/2026,MWG,"73,900","73,900","75,500","75,500","73,200","74,234","1,600",2.17,2.16,160.98,0.19,14.54,2.35,175.52,"111,420.31"
4,25/08/2026,MWG,"75,100","75,000","73,900","75,300","73,800","74,708","-1,200",-1.60,2.56,190.84,0.15,11.67,2.70,202.51,"109,059.08"
5,24/08/2026,MWG,"75,000","75,500","75,100","75,600","74,600","75,019",100,0.13,2.47,185.41,0.09,7.10,2.56,192.51,"110,830.00"
6,21/08/2026,MWG,"72,700","72,500","75,000","75,100","71,800","73,951","2,300",3.16,5.00,369.26,5.71,443.48,10.70,812.74,"110,682.42"
7,20/08/2026,MWG,"72,200","72,300","72,700","73,200","71,900","72,621",500,0.69,2.49,180.99,0.00,0.00,2.49,180.99,"107,288.16"
8,19/08/2026,MWG,"72,800","72,700","72,200","72,700","71,200","71,841",-600,-0.82,2.00,143.40,0.89,66.26,2.89,209.66,"106,550.28"
9,18/08/2026,MWG,"73,500","73,600","72,800","73,900","72,100","72,828",-700,-0.95,1.65,120.36,0.09,7.18,1.74,127.55,"107,435.74"
10,17/08/2026,MWG,"72,400","72,300","73,500","74,200","71,800","72,783","1,100",1.52,2.14,156.03,0.00,0.00,2.14,156.03,"108,468.77"
11,14/08/2026,MWG,"73,600","73,100","72,400","73,500","72,200","72,635","-1,200",-1.63,3.16,229.92,4.43,348.88,7.60,578.81,"106,845.43"
12,13/08/2026,MWG,"74,000","74,000","73,600","74,700","72,800","73,777",-400,-0.54,2.67,196.99,3.05,235.64,5.72,432.62,"108,616.35"
13,12/08/2026,MWG,"73,200","73,300","74,000","74,200","73,200","73,707",800,1.09,3.07,225.88,0.00,0.00,3.07,225.88,"109,206.66"
14,11/08/2026,MWG,"73,000","72,300","73,200","74,000","72,300","73,047",200,0.27,3.12,227.82,0.10,7.98,3.22,235.80,"108,026.05"
15,10/08/2026,MWG,"71,000","71,000","73,000","73,800","70,700","72,524","2,000",2.82,4.63,336.02,0.76,54.72,5.39,390.74,"107,730.89"
16,07/08/2026,MWG,"71,200","71,300","71,000","71,600","70,200","70,834",-200,-0.28,3.08,218.68,0.62,46.95,3.70,265.63,"104,779.36"
17,06/08/2026,MWG,"72,200","71,500","71,200","71,900","69,800","70,678","-1,000",-1.39,5.33,377.22,1.07,80.78,6.40,458.00,"105,074.51"
18,05/08/2026,MWG,"72,100","72,400","72,200","72,900","71,000","71,819",100,0.14,3.96,284.33,5.26,377.44,9.21,661.77,"106,550.28"
19,04/08/2026,MWG,"72,500","72,200","72,100","72,900","71,400","71,880",-400,-0.55,3.71,266.58,3.03,231.18,6.74,497.77,"106,402.70"
20,03/08/2026,MWG,"69,900","70,000","72,500","73,000","69,900","71,330","2,600",3.72,5.09,363.11,0.52,38.77,5.62,401.88,"106,993.01"
21,31/07/2026,MWG,"69,800","70,500","69,900","70,500","68,500","69,327",100,0.14,4.56,316.85,0.66,48.38,5.23,365.22,"103,156.02"
22,30/07/2026,MWG,"66,500","66,500","69,800","70,900","66,100","68,178","3,300",4.96,8.42,574.78,1.22,81.95,9.64,656.73,"103,008.44"
23,29/07/2026,MWG,"64,200","65,000","66,500","67,800","64,600","66,002","2,300",3.58,4.61,305.14,1.29,85.72,5.91,390.86,"98,138.42"
24,28/07/2026,MWG,"63,300","63,900","65,200","65,900","62,500","64,635","1,900",3.00,6.96,448.55,1.03,66.42,7.99,514.97,"96,219.92"
25,27/07/2026,MWG,"68,000","68,500","63,300","69,000","63,300","66,546","-4,700",-6.91,7.69,506.23,0.03,1.70,7.72,507.93,"93,415.97"
26,24/07/2026,MWG,"71,500","69,600","68,000","70,900","68,000","68,885","-3,500",-4.90,3.61,248.86,1.08,74.44,4.69,323.30,"100,352.06"
27,23/07/2026,MWG,"70,600","70,500","71,500","71,700","67,100","69,054",900,1.27,9.07,624.61,0.22,15.76,9.29,640.37,"105,517.24"
28,22/07/2026,MWG,"75,900","75,900","70,600","76,000","70,600","72,072","-5,300",-6.98,13.47,971.87,1.02,73.53,14.50,"1,045.40","104,189.05"
29,21/07/2026,MWG,"75,200","75,100","75,900","76,400","74,300","75,126",700,0.93,2.87,215.90,0.72,54.04,3.59,269.94,"112,010.61"
30,20/07/2026,MWG,"76,700","76,900","75,200","76,900","74,000","75,294","-1,500",-1.96,7.68,577.83,1.10,85.76,8.77,663.59,"110,977.58"
31,17/07/2026,MWG,"76,700","76,500","76,700","76,700","75,900","76,177",0,0.00,1.83,139.25,0.76,58.16,2.59,197.41,"112,628.08"
32,16/07/2026,MWG,"76,200","76,200","76,700","76,700","75,000","75,885",500,0.66,4.35,330.40,0.32,24.40,4.67,354.80,"112,628.08"
33,15/07/2026,MWG,"76,800","76,800","76,200","76,800","75,800","76,164",-600,-0.78,1.80,137.32,0.65,52.23,2.46,189.55,"111,893.87"
34,14/07/2026,MWG,"76,000","75,800","76,800","76,800","75,200","76,566",800,1.05,2.79,211.68,0.18,13.80,2.97,225.47,"112,774.93"
35,13/07/2026,MWG,"76,600","76,800","76,000","77,300","76,000","76,472",-600,-0.78,3.72,284.55,0.08,6.51,3.81,291.06,"111,600.19"
36,10/07/2026,MWG,"78,500","78,900","76,600","78,900","76,600","77,490","-1,900",-2.42,3.17,245.42,0.84,66.05,4.01,311.48,"112,481.24"
37,09/07/2026,MWG,"78,800","78,400","78,500","78,500","77,800","78,097",-300,-0.38,1.58,123.71,0.02,1.65,1.60,125.37,"115,271.25"
38,08/07/2026,MWG,"77,500","77,500","78,800","79,200","77,300","78,349","1,300",1.68,3.15,246.65,1.65,128.60,4.80,375.25,"115,711.77"
39,07/07/2026,MWG,"78,000","78,100","77,500","78,300","77,400","77,708",-500,-0.64,2.15,167.39,0.54,41.94,2.69,209.33,"113,802.82"
40,06/07/2026,MWG,"78,900","78,600","78,000","78,800","76,700","77,689",-900,-1.14,4.94,383.66,3.92,314.95,8.86,698.61,"114,537.04"
41,03/07/2026,MWG,"79,700","79,600","78,900","79,600","78,300","78,814",-800,-1.00,3.06,241.24,0.54,42.73,3.60,283.96,"115,858.62"
42,02/07/2026,MWG,"80,000","80,200","79,700","81,400","79,400","80,446",-300,-0.38,4.64,373.21,2.16,166.75,6.80,539.96,"117,033.36"
43,01/07/2026,MWG,"78,100","78,000","80,000","80,000","77,700","79,416","1,900",2.43,6.03,478.99,0.79,63.71,6.82,542.70,"117,473.88"
44,30/06/2026,MWG,"79,000","78,800","78,100","79,000","77,600","78,179",-900,-1.14,4.01,313.16,0.52,42.48,4.52,355.64,"114,683.88"
45,29/06/2026,MWG,"78,500","78,400","79,000","79,200","78,100","78,759",500,0.64,4.27,336.43,2.47,194.16,6.74,530.59,"116,005.46"
46,26/06/2026,MWG,"77,200","77,100","78,500","78,500","76,500","77,565","1,300",1.68,4.86,377.60,3.01,233.36,7.87,610.96,"115,271.25"
47,25/06/2026,MWG,"77,800","77,100","77,200","77,500","76,700","77,035",-600,-0.77,3.55,273.77,0.27,21.19,3.83,294.96,"113,362.30"
48,24/06/2026,MWG,"76,000","76,000","77,800","77,800","75,000","75,956","1,800",2.37,4.22,321.10,2.45,188.70,6.67,509.80,"114,243.35"
49,23/06/2026,MWG,"77,200","77,100","76,000","77,200","76,000","76,397","-1,200",-1.55,6.30,480.58,0.03,2.34,6.33,482.92,"111,600.19"
50,22/06/2026,MWG,"78,000","78,000","77,200","78,000","77,000","77,323",-800,-1.03,2.99,231.36,1.02,79.90,4.01,311.26,"113,362.30"
51,19/06/2026,MWG,"78,700","78,700","78,000","78,900","77,500","77,974",-700,-0.89,2.43,189.28,0.21,17.77,2.64,207.05,"114,537.04"
52,18/06/2026,MWG,"79,100","78,600","78,700","79,000","78,000","78,399",-400,-0.51,3.23,253.74,0.58,46.21,3.82,299.95,"115,564.93"
53,17/06/2026,MWG,"79,400","79,300","79,100","79,800","78,700","79,463",-300,-0.38,4.07,323.23,0.00,0.00,4.07,323.23,"116,152.30"
54,16/06/2026,MWG,"79,400","79,400","79,400","79,800","78,800","79,293",0,0.00,3.18,252.55,0.78,59.52,3.96,312.06,"116,592.83"
55,15/06/2026,MWG,"76,400","77,000","79,400","79,700","77,000","78,506","3,000",3.93,7.87,618.86,0.35,27.46,8.22,646.32,"116,592.83"
56,12/06/2026,MWG,"76,900","77,800","76,400","77,800","76,300","76,808",-500,-0.65,4.14,318.09,1.21,92.64,5.35,410.72,"112,187.56"
57,11/06/2026,MWG,"78,200","78,300","76,900","78,500","76,900","77,664","-1,300",-1.66,3.30,256.70,1.66,128.04,4.96,384.74,"112,921.77"
58,10/06/2026,MWG,"77,400","77,100","78,200","78,300","76,600","77,695",800,1.03,2.87,222.88,1.24,95.61,4.11,318.49,"114,830.72"
59,09/06/2026,MWG,"76,400","76,500","77,400","77,500","76,300","76,821","1,000",1.31,1.77,136.21,1.59,118.26,3.36,254.48,"113,655.98"
60,08/06/2026,MWG,"78,000","77,000","76,400","77,300","76,300","76,724","-1,600",-2.05,4.63,355.68,2.52,195.29,7.16,550.97,"112,187.56"
61,05/06/2026,MWG,"78,400","78,500","78,000","78,900","77,600","78,079",-400,-0.51,3.24,253.08,0.46,36.45,3.70,289.54,"114,537.04"
62,04/06/2026,MWG,"78,500","78,500","78,400","78,500","77,000","77,532",-100,-0.13,4.31,334.77,2.54,198.01,6.85,532.77,"115,124.40"
63,03/06/2026,MWG,"77,900","77,800","78,500","78,500","76,900","77,572",600,0.77,4.80,373.28,0.00,0.00,4.80,373.28,"115,271.25"
64,02/06/2026,MWG,"79,100","79,400","77,900","79,400","77,500","78,180","-1,200",-1.52,2.97,232.10,1.81,145.63,4.78,377.72,"114,390.19"
65,01/06/2026,MWG,"76,300","76,500","79,100","79,100","76,500","77,899","2,800",3.67,3.80,296.36,0.79,61.15,4.58,357.51,"116,152.30"
66,29/05/2026,MWG,"77,700","77,700","76,300","78,300","75,800","76,853","-1,400",-1.80,7.83,601.92,1.27,96.53,9.11,698.45,"112,040.72"
67,28/05/2026,MWG,"80,000","80,000","77,700","80,300","77,700","79,305","-2,300",-2.88,4.03,319.43,0.94,75.47,4.96,394.90,"114,096.51"
68,27/05/2026,MWG,"78,500","79,100","80,000","80,400","78,800","79,829","1,500",1.91,4.63,369.69,1.97,155.37,6.60,525.06,"117,473.88"
69,26/05/2026,MWG,"78,700","79,000","78,500","79,400","78,300","78,765",-200,-0.25,2.52,198.40,0.96,77.56,3.48,275.96,"115,271.25"
70,25/05/2026,MWG,"79,400","80,100","78,700","80,100","78,400","79,070",-700,-0.88,2.51,198.42,1.56,123.50,4.07,321.91,"115,564.93"
71,22/05/2026,MWG,"79,500","80,200","79,400","81,000","79,100","79,731",-100,-0.13,6.08,485.45,1.16,92.18,7.25,577.64,"116,592.83"
72,21/05/2026,MWG,"77,200","78,200","79,500","79,500","77,700","78,712","2,300",2.98,6.60,519.97,2.66,206.38,9.26,726.35,"116,739.67"
73,20/05/2026,MWG,"78,200","78,200","77,200","78,800","74,200","77,043","-1,000",-1.28,8.79,676.54,1.06,82.62,9.85,759.16,"113,362.30"
74,19/05/2026,MWG,"79,000","79,200","78,200","79,700","78,100","78,726",-800,-1.01,7.95,626.00,1.84,146.19,9.79,772.19,"114,830.72"
75,18/05/2026,MWG,"82,000","82,000","79,000","82,000","79,000","79,766","-3,000",-3.66,11.95,954.15,0.94,75.08,12.90,"1,029.23","116,005.46"
76,15/05/2026,MWG,"84,200","84,500","82,000","84,600","82,000","82,990","-2,200",-2.61,6.69,555.50,3.28,273.14,9.98,828.64,"120,410.73"
77,14/05/2026,MWG,"83,700","83,700","84,200","84,600","83,200","83,900",500,0.60,4.00,335.88,0.25,20.99,4.25,356.88,"123,641.26"
78,13/05/2026,MWG,"83,800","84,000","83,700","84,300","82,700","83,197",-100,-0.12,3.54,294.37,1.36,113.97,4.89,408.34,"122,907.05"
79,12/05/2026,MWG,"83,500","83,500","83,800","84,300","82,600","83,074",300,0.36,4.93,410.30,0.49,39.70,5.42,450.00,"123,053.89"
80,11/05/2026,MWG,"84,600","84,300","83,500","85,200","83,500","84,172","-1,100",-1.30,5.72,481.21,2.37,201.50,8.09,682.70,"122,613.36"
