No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,SAB,"45,750","45,950","45,600","46,100","45,600","45,819",-150,-0.33,0.56,25.85,0.00,0.00,0.56,25.85,"58,484.84"
2,27/08/2026,SAB,"46,150","46,100","45,750","46,250","45,650","45,784",-400,-0.87,0.38,17.51,0.02,0.98,0.40,18.49,"58,677.23"
3,26/08/2026,SAB,"46,100","46,100","46,150","46,650","45,750","46,135",50,0.11,0.49,22.61,0.14,6.47,0.63,29.08,"59,190.25"
4,25/08/2026,SAB,"46,100","45,850","46,100","46,350","45,600","45,917",0,0.00,0.63,28.96,0.00,0.00,0.63,28.96,"59,126.13"
5,24/08/2026,SAB,"46,800","46,900","46,100","46,900","45,650","46,020",-700,-1.50,1.18,54.51,0.14,6.64,1.32,61.15,"59,126.13"
6,21/08/2026,SAB,"46,800","47,000","46,800","47,000","46,400","46,723",0,0.00,0.65,30.20,0.00,0.00,0.65,30.20,"60,023.92"
7,20/08/2026,SAB,"45,900","45,950","46,800","47,200","45,900","46,766",900,1.96,1.65,76.97,0.00,0.00,1.65,76.97,"60,023.92"
8,19/08/2026,SAB,"46,300","46,200","45,900","46,550","45,650","46,004",-400,-0.86,0.45,20.49,0.00,0.00,0.45,20.49,"58,869.61"
9,18/08/2026,SAB,"45,750","45,850","46,300","46,300","45,500","46,005",550,1.20,0.91,41.77,0.02,0.94,0.93,42.70,"59,382.64"
10,17/08/2026,SAB,"45,300","45,300","45,750","45,900","45,050","45,500",450,0.99,0.64,29.31,0.04,1.93,0.69,31.24,"58,677.23"
11,14/08/2026,SAB,"45,850","45,850","45,300","46,500","45,300","45,867",-550,-1.20,0.81,37.26,0.02,0.92,0.83,38.18,"58,100.08"
12,13/08/2026,SAB,"46,300","46,250","45,850","46,300","45,550","45,971",-450,-0.97,0.69,31.59,0.12,5.54,0.81,37.13,"58,805.48"
13,12/08/2026,SAB,"45,650","45,900","46,300","46,350","45,350","45,778",650,1.42,0.97,44.23,0.00,0.00,0.97,44.23,"59,382.64"
14,11/08/2026,SAB,"46,500","46,050","45,650","46,350","45,650","45,958",-850,-1.83,0.55,25.24,0.04,1.98,0.59,27.22,"58,548.97"
15,10/08/2026,SAB,"44,750","45,100","46,500","46,550","44,850","46,053","1,750",3.91,2.43,111.91,0.00,0.00,2.43,111.91,"59,639.15"
16,07/08/2026,SAB,"43,700","43,700","44,750","45,300","43,700","44,677","1,050",2.40,0.78,34.99,0.94,39.66,1.72,74.66,"57,394.67"
17,06/08/2026,SAB,"44,400","44,350","43,700","44,400","43,700","43,944",-700,-1.58,0.58,25.52,0.02,0.90,0.60,26.42,"56,047.98"
18,05/08/2026,SAB,"45,100","45,000","44,400","45,100","44,400","44,622",-700,-1.55,0.49,21.78,2.91,129.73,3.40,151.52,"56,945.77"
19,04/08/2026,SAB,"44,800","44,650","45,100","45,150","44,250","44,657",300,0.67,0.64,28.75,0.14,6.52,0.78,35.28,"57,843.56"
20,03/08/2026,SAB,"43,550","43,900","44,800","44,800","43,550","44,195","1,250",2.87,1.23,54.36,0.00,0.00,1.23,54.36,"57,458.79"
21,31/07/2026,SAB,"43,400","43,950","43,550","44,000","43,550","43,780",150,0.35,0.52,22.70,0.04,1.80,0.56,24.50,"55,855.59"
22,30/07/2026,SAB,"43,000","43,500","43,400","44,000","43,000","43,356",400,0.93,0.68,29.41,0.00,0.00,0.68,29.41,"55,663.21"
23,29/07/2026,SAB,"43,150","43,400","43,000","43,400","42,950","43,100",-150,-0.35,0.55,23.61,0.00,0.00,0.55,23.61,"55,150.18"
24,28/07/2026,SAB,"43,600","43,000","43,150","43,500","42,700","43,250",-450,-1.03,0.57,24.50,0.00,0.00,0.57,24.50,"55,342.57"
25,27/07/2026,SAB,"46,500","46,700","46,600","47,150","46,450","46,722",100,0.22,0.89,41.69,0.13,5.58,1.02,47.27,"59,767.41"
26,24/07/2026,SAB,"47,000","46,900","46,500","46,900","46,050","46,303",-500,-1.06,0.62,28.61,0.00,0.00,0.62,28.61,"59,639.15"
27,23/07/2026,SAB,"46,950","47,250","47,000","47,250","45,000","46,406",50,0.11,0.88,40.64,0.00,0.00,0.88,40.64,"60,280.43"
28,22/07/2026,SAB,"47,000","47,300","46,950","47,300","46,900","47,057",-50,-0.11,0.52,24.39,0.00,0.00,0.52,24.39,"60,216.30"
29,21/07/2026,SAB,"47,300","47,100","47,000","47,550","47,000","47,292",-300,-0.63,0.49,23.25,0.00,0.00,0.49,23.25,"60,280.43"
30,20/07/2026,SAB,"46,900","47,050","47,300","47,900","46,800","47,195",400,0.85,0.61,28.75,0.03,1.14,0.63,29.89,"60,665.20"
31,17/07/2026,SAB,"46,350","46,300","46,900","46,900","46,050","46,517",550,1.19,0.34,15.90,0.00,0.00,0.34,15.90,"60,152.18"
32,16/07/2026,SAB,"46,050","46,100","46,350","46,600","45,750","46,148",300,0.65,0.52,23.76,0.07,3.38,0.59,27.14,"59,446.77"
33,15/07/2026,SAB,"46,800","46,950","46,050","46,950","46,000","46,338",-750,-1.60,0.31,14.45,0.00,0.00,0.31,14.45,"59,062.00"
34,14/07/2026,SAB,"46,150","46,150","46,800","46,900","45,900","46,736",650,1.41,0.40,18.55,0.15,6.92,0.55,25.47,"60,023.92"
35,13/07/2026,SAB,"47,150","47,150","46,150","47,200","45,900","46,574","-1,000",-2.12,0.90,41.86,0.00,0.00,0.90,41.86,"59,190.25"
36,10/07/2026,SAB,"47,150","47,200","47,150","47,400","46,800","47,117",0,0.00,0.38,17.81,0.00,0.00,0.38,17.81,"60,472.82"
37,09/07/2026,SAB,"47,200","47,200","47,150","47,650","47,100","47,337",-50,-0.11,0.30,14.30,0.00,0.00,0.30,14.30,"60,472.82"
38,08/07/2026,SAB,"47,250","47,250","47,200","47,400","47,050","47,250",-50,-0.11,0.49,22.95,0.00,0.00,0.49,22.95,"60,536.94"
39,07/07/2026,SAB,"47,150","47,150","47,250","47,450","47,000","47,197",100,0.21,0.40,18.83,0.00,0.00,0.40,18.83,"60,601.07"
40,06/07/2026,SAB,"47,900","47,900","47,150","48,150","46,800","47,594",-750,-1.57,0.86,41.05,0.00,0.00,0.86,41.05,"60,472.82"
41,03/07/2026,SAB,"48,600","48,800","47,900","48,800","47,900","48,371",-700,-1.44,0.80,38.67,0.00,0.00,0.80,38.67,"61,434.74"
42,02/07/2026,SAB,"48,350","48,350","48,600","48,800","48,200","48,503",250,0.52,0.65,31.56,0.00,0.00,0.65,31.56,"62,332.53"
43,01/07/2026,SAB,"48,500","48,500","48,350","48,600","48,100","48,303",-150,-0.31,0.37,18.02,0.00,0.00,0.37,18.02,"62,011.89"
44,30/06/2026,SAB,"48,000","48,100","48,500","48,700","48,100","48,478",500,1.04,0.65,31.66,0.00,0.00,0.65,31.66,"62,204.28"
45,29/06/2026,SAB,"48,700","48,750","48,000","48,950","47,800","48,523",-700,-1.44,0.75,36.52,0.09,4.42,0.85,40.94,"61,562.99"
46,26/06/2026,SAB,"48,600","48,650","48,700","48,900","48,500","48,631",100,0.21,0.49,23.61,0.00,0.00,0.49,23.61,"62,460.79"
47,25/06/2026,SAB,"47,800","47,950","48,600","48,950","47,950","48,437",800,1.67,0.64,31.12,0.00,0.00,0.64,31.12,"62,332.53"
48,24/06/2026,SAB,"47,800","47,800","47,800","48,050","47,500","47,739",0,0.00,0.27,12.72,0.12,5.50,0.38,18.22,"61,306.48"
49,23/06/2026,SAB,"48,200","48,950","47,800","48,950","47,600","48,034",-400,-0.83,0.60,28.93,0.00,0.00,0.60,28.93,"61,306.48"
50,22/06/2026,SAB,"48,150","48,100","48,200","48,400","48,050","48,172",50,0.10,0.31,14.97,0.22,10.87,0.53,25.84,"61,819.51"
