No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,SHB,"11,900","11,900","12,200","12,250","11,850","12,087",300,2.52,77.69,938.30,4.40,51.92,82.09,990.22,"65,193.19"
2,27/08/2026,SHB,"12,050","12,050","11,900","12,100","11,900","11,965",-150,-1.24,28.16,336.60,2.21,25.02,30.37,361.63,"63,590.08"
3,26/08/2026,SHB,"12,050","12,000","12,050","12,100","11,850","11,991",0,0.00,50.18,601.89,6.11,70.76,56.29,672.64,"64,391.63"
4,25/08/2026,SHB,"12,100","12,050","12,050","12,100","11,900","11,994",-50,-0.41,50.90,610.44,1.99,22.44,52.88,632.88,"64,391.63"
5,24/08/2026,SHB,"11,900","12,050","12,100","12,200","11,900","12,033",200,1.68,50.59,608.77,0.00,0.00,50.59,608.77,"64,658.82"
6,21/08/2026,SHB,"11,600","11,550","11,900","11,950","11,500","11,775",300,2.59,69.62,818.67,12.37,138.48,81.98,957.15,"63,590.08"
7,20/08/2026,SHB,"11,500","11,550","11,600","11,600","11,450","11,522",100,0.87,23.43,270.31,7.40,81.90,30.83,352.21,"61,986.96"
8,19/08/2026,SHB,"11,600","11,600","11,500","11,600","11,400","11,473",-100,-0.86,49.19,563.96,5.00,61.10,54.19,625.06,"61,452.59"
9,18/08/2026,SHB,"11,650","11,650","11,600","11,700","11,400","11,549",-50,-0.43,51.27,592.06,5.26,60.98,56.54,653.04,"61,986.96"
10,17/08/2026,SHB,"11,750","11,650","11,650","11,800","11,550","11,656",-100,-0.85,40.08,467.42,8.66,98.24,48.74,565.66,"62,254.15"
11,14/08/2026,SHB,"11,800","11,700","11,750","11,750","11,450","11,591",-50,-0.42,47.48,551.20,0.95,11.34,48.43,562.54,"62,788.52"
12,13/08/2026,SHB,"11,850","11,850","11,800","11,950","11,650","11,793",-50,-0.42,60.14,708.81,0.46,5.76,60.59,714.57,"63,055.71"
13,12/08/2026,SHB,"11,900","11,850","11,850","11,950","11,750","11,836",-50,-0.42,40.96,484.74,16.43,196.24,57.39,680.98,"63,322.89"
14,11/08/2026,SHB,"12,000","12,050","11,900","12,150","11,900","11,999",-100,-0.83,34.50,413.17,11.81,141.35,46.32,554.53,"63,590.08"
15,10/08/2026,SHB,"11,700","11,750","12,000","12,100","11,650","11,846",300,2.56,78.43,930.18,17.40,205.72,95.83,"1,135.90","64,124.45"
16,07/08/2026,SHB,"11,800","11,750","11,700","11,750","11,650","11,694",-100,-0.85,51.36,600.69,1.02,12.83,52.38,613.52,"62,521.33"
17,06/08/2026,SHB,"11,800","11,850","11,800","11,850","11,600","11,725",0,0.00,36.44,428.21,3.47,42.60,39.91,470.80,"63,055.71"
18,05/08/2026,SHB,"11,800","11,800","11,800","11,900","11,650","11,767",0,0.00,50.59,595.23,4.91,59.40,55.50,654.64,"63,055.71"
19,04/08/2026,SHB,"11,900","11,850","11,800","11,950","11,700","11,792",-100,-0.84,53.02,625.62,10.62,126.25,63.64,751.87,"63,055.71"
20,03/08/2026,SHB,"11,500","11,550","11,900","11,900","11,500","11,753",400,3.48,58.67,690.05,0.00,0.00,58.67,690.05,"63,590.08"
21,31/07/2026,SHB,"11,750","11,750","11,500","11,800","11,500","11,605",-250,-2.13,36.64,424.70,18.15,215.12,54.79,639.82,"61,452.59"
22,30/07/2026,SHB,"11,200","11,250","11,750","11,800","11,200","11,536",550,4.91,73.13,844.28,12.43,140.46,85.56,984.74,"62,788.52"
23,29/07/2026,SHB,"11,400","11,400","11,200","11,400","11,200","11,266",-200,-1.75,47.00,529.08,14.57,168.73,61.56,697.81,"59,849.48"
