No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,SSB,"16,000","16,000","17,100","17,100","16,000","16,880","1,100",6.88,4.91,82.78,0.45,7.70,5.36,90.47,"58,632.48"
2,27/08/2026,SSB,"16,000","15,850","16,000","16,050","15,750","15,903",0,0.00,2.16,34.31,0.00,0.00,2.16,34.31,"54,860.80"
3,26/08/2026,SSB,"15,850","15,900","16,000","16,000","15,700","15,871",150,0.95,2.05,32.45,12.52,198.44,14.57,230.89,"54,860.80"
4,25/08/2026,SSB,"15,500","15,550","15,850","16,050","15,500","15,778",350,2.26,2.26,35.66,8.27,129.01,10.53,164.67,"54,346.48"
5,24/08/2026,SSB,"15,300","15,500","15,500","15,500","15,200","15,392",200,1.31,2.27,35.04,0.00,0.00,2.27,35.04,"53,146.40"
6,21/08/2026,SSB,"15,100","15,000","15,300","15,300","14,850","15,067",200,1.32,2.24,33.77,0.00,0.00,2.24,33.77,"52,460.64"
7,20/08/2026,SSB,"15,050","15,100","15,100","15,100","14,900","15,022",50,0.33,2.56,38.42,0.00,0.00,2.56,38.42,"51,774.88"
8,19/08/2026,SSB,"15,050","15,100","15,050","15,100","14,750","14,884",0,0.00,2.40,35.77,0.00,0.00,2.40,35.77,"51,603.44"
9,18/08/2026,SSB,"15,200","15,250","15,050","15,300","14,850","14,988",-150,-0.99,1.91,28.76,0.00,0.00,1.91,28.76,"51,603.44"
10,17/08/2026,SSB,"15,050","15,050","15,200","15,250","15,000","15,121",150,1.00,2.07,31.24,0.00,0.00,2.07,31.24,"52,117.76"
11,14/08/2026,SSB,"15,200","15,150","15,050","15,350","14,800","15,016",-150,-0.99,2.41,36.28,0.00,0.00,2.41,36.28,"51,603.44"
12,13/08/2026,SSB,"15,450","15,450","15,200","15,500","15,200","15,343",-250,-1.62,1.89,28.98,0.00,0.00,1.89,28.98,"52,117.76"
13,12/08/2026,SSB,"15,400","15,450","15,450","15,550","15,300","15,475",50,0.32,1.95,30.12,0.00,0.00,1.95,30.12,"52,974.96"
14,11/08/2026,SSB,"15,250","15,250","15,400","15,450","15,250","15,348",150,0.98,1.90,29.18,0.00,0.00,1.90,29.18,"52,803.52"
15,10/08/2026,SSB,"15,050","15,050","15,250","15,300","14,800","15,122",200,1.33,2.23,33.79,0.00,0.00,2.23,33.79,"52,289.20"
16,07/08/2026,SSB,"15,200","15,200","15,050","15,200","15,050","15,101",-150,-0.99,2.03,30.62,0.00,0.00,2.03,30.62,"51,603.44"
17,06/08/2026,SSB,"15,350","15,300","15,200","15,300","15,050","15,156",-150,-0.98,2.11,31.96,34.30,555.66,36.41,587.62,"52,117.76"
18,05/08/2026,SSB,"15,450","15,400","15,350","15,400","15,150","15,281",-100,-0.65,2.16,33.00,0.00,0.00,2.16,33.00,"52,632.08"
19,04/08/2026,SSB,"15,550","15,500","15,450","15,500","15,200","15,313",-100,-0.64,2.21,33.93,0.13,1.99,2.34,35.92,"52,974.96"
20,03/08/2026,SSB,"15,550","15,550","15,550","15,550","15,400","15,475",0,0.00,2.22,34.34,0.00,0.00,2.22,34.34,"53,317.84"
21,31/07/2026,SSB,"15,550","15,650","15,550","15,650","15,350","15,469",0,0.00,2.15,33.27,11.53,184.55,13.68,217.82,"53,317.84"
22,30/07/2026,SSB,"15,400","15,300","15,550","15,550","15,050","15,316",150,0.97,2.20,33.67,0.00,0.00,2.20,33.67,"53,317.84"
23,29/07/2026,SSB,"15,550","15,400","15,400","15,500","14,950","15,232",-150,-0.96,2.06,31.47,0.00,0.00,2.06,31.47,"52,803.52"
24,28/07/2026,SSB,"15,550","15,400","15,550","15,550","15,350","15,494",0,0.00,2.08,32.24,0.00,0.00,2.08,32.24,"53,317.84"
25,27/07/2026,SSB,"15,400","15,450","15,550","15,550","15,300","15,494",150,0.97,1.84,28.59,0.00,0.00,1.84,28.59,"53,317.84"
26,24/07/2026,SSB,"15,650","15,450","15,400","15,600","15,250","15,392",-250,-1.60,1.96,30.19,0.00,0.00,1.96,30.19,"52,803.52"
27,23/07/2026,SSB,"15,650","15,600","15,650","15,800","15,350","15,608",0,0.00,2.32,36.17,15.23,243.66,17.55,279.83,"53,660.72"
28,22/07/2026,SSB,"15,650","15,650","15,650","15,750","15,050","15,548",0,0.00,2.77,43.15,0.00,0.00,2.77,43.15,"53,660.72"
29,21/07/2026,SSB,"15,750","15,800","15,650","15,800","15,500","15,664",-100,-0.63,2.20,34.43,2.14,33.39,4.34,67.82,"53,660.72"
30,20/07/2026,SSB,"15,950","15,900","15,750","15,900","15,250","15,695",-200,-1.25,2.32,36.47,0.00,0.00,2.32,36.47,"54,003.60"
31,17/07/2026,SSB,"16,000","16,000","15,950","16,050","15,450","15,716",-50,-0.31,2.33,36.66,3.89,62.24,6.22,98.90,"54,689.36"
32,16/07/2026,SSB,"15,800","15,800","16,000","16,000","15,650","15,855",200,1.27,2.06,32.51,24.00,386.40,26.06,418.91,"54,860.80"
33,15/07/2026,SSB,"15,900","15,900","15,800","15,900","15,600","15,739",-100,-0.63,2.09,32.94,0.00,0.00,2.09,32.94,"54,175.04"
34,14/07/2026,SSB,"15,650","15,650","15,900","15,900","15,250","15,636",250,1.60,2.12,32.94,0.00,0.00,2.12,32.94,"54,517.92"
35,13/07/2026,SSB,"16,250","16,200","15,650","16,250","15,450","15,850",-600,-3.69,2.49,39.54,5.16,84.62,7.65,124.17,"53,660.72"
36,10/07/2026,SSB,"15,950","15,700","16,250","16,250","15,650","15,939",300,1.88,2.25,35.81,0.00,0.00,2.25,35.81,"55,718.00"
37,09/07/2026,SSB,"16,400","16,350","15,950","16,400","15,850","16,101",-450,-2.74,2.24,36.15,20.22,325.52,22.46,361.67,"54,689.36"
38,08/07/2026,SSB,"16,400","16,400","16,400","16,400","16,250","16,326",0,0.00,2.28,37.15,0.00,0.00,2.28,37.15,"56,232.32"
39,07/07/2026,SSB,"16,400","16,400","16,400","16,400","16,150","16,337",0,0.00,2.17,35.41,0.00,0.00,2.17,35.41,"56,232.32"
40,06/07/2026,SSB,"16,500","16,500","16,400","16,500","16,050","16,408",-100,-0.61,2.43,39.81,0.00,0.00,2.43,39.81,"56,232.32"
41,03/07/2026,SSB,"16,500","16,500","16,500","16,500","16,350","16,428",0,0.00,2.09,34.35,0.00,0.00,2.09,34.35,"56,575.20"
42,02/07/2026,SSB,"16,500","16,450","16,500","16,550","16,300","16,407",0,0.00,2.23,36.61,0.00,0.00,2.23,36.61,"56,575.20"
43,01/07/2026,SSB,"16,200","16,200","16,500","16,500","15,900","16,206",300,1.85,3.21,52.02,28.20,459.66,31.41,511.68,"56,575.20"
44,30/06/2026,SSB,"16,150","16,150","16,200","16,200","15,700","15,982",50,0.31,2.97,47.45,0.00,0.00,2.97,47.45,"55,546.56"
45,29/06/2026,SSB,"16,100","16,350","16,150","16,350","16,000","16,135",50,0.31,2.06,33.19,0.00,0.00,2.06,33.19,"55,375.12"
46,26/06/2026,SSB,"15,200","15,200","16,100","16,250","15,100","15,788",900,5.92,3.32,52.44,0.00,0.00,3.32,52.44,"55,203.68"
47,25/06/2026,SSB,"15,150","15,100","15,200","15,200","15,000","15,092",50,0.33,2.24,33.74,0.00,0.00,2.24,33.74,"52,117.76"
48,24/06/2026,SSB,"15,150","15,150","15,150","15,200","14,900","15,050",0,0.00,2.43,36.59,0.00,0.00,2.43,36.59,"51,946.32"
49,23/06/2026,SSB,"14,950","15,000","15,150","15,150","14,850","15,020",200,1.34,2.08,31.25,0.00,0.00,2.08,31.25,"51,946.32"
50,22/06/2026,SSB,"14,900","14,850","14,950","15,000","14,750","14,853",50,0.34,2.66,39.42,0.00,0.00,2.66,39.42,"51,260.56"
51,19/06/2026,SSB,"14,850","14,850","14,900","14,900","14,700","14,805",50,0.34,2.34,34.57,0.10,1.54,2.44,36.11,"51,089.12"
52,18/06/2026,SSB,"14,900","14,900","14,850","14,900","14,650","14,769",-50,-0.34,2.49,36.80,0.00,0.00,2.49,36.80,"50,917.68"
53,17/06/2026,SSB,"14,850","14,850","14,900","14,900","14,700","14,824",50,0.34,1.90,28.20,0.00,0.00,1.90,28.20,"51,089.12"
54,16/06/2026,SSB,"14,850","14,850","14,850","14,900","14,650","14,765",0,0.00,2.12,31.23,11.36,168.70,13.48,199.92,"42,248.25"
55,15/06/2026,SSB,"14,550","14,650","14,850","14,850","14,500","14,641",300,2.06,2.32,33.93,31.43,458.88,33.75,492.81,"42,248.25"
56,12/06/2026,SSB,"14,500","14,550","14,550","14,700","14,400","14,559",50,0.34,2.18,31.77,0.17,2.44,2.35,34.20,"41,394.75"
57,11/06/2026,SSB,"14,400","14,350","14,500","14,500","14,350","14,448",100,0.69,2.11,30.47,0.00,0.00,2.11,30.47,"41,252.50"
58,10/06/2026,SSB,"14,350","14,350","14,400","14,500","14,300","14,416",50,0.35,2.27,32.73,0.17,2.44,2.44,35.17,"40,968.00"
59,09/06/2026,SSB,"14,300","14,250","14,350","14,350","14,150","14,281",50,0.35,2.41,34.39,30.20,434.88,32.61,469.27,"40,825.75"
60,08/06/2026,SSB,"14,350","14,350","14,300","14,350","14,100","14,180",-50,-0.35,2.64,37.38,0.17,2.45,2.81,39.82,"40,683.50"
61,05/06/2026,SSB,"14,350","14,350","14,350","14,350","14,050","14,178",0,0.00,2.98,42.30,0.09,1.20,3.07,43.50,"40,825.75"
62,04/06/2026,SSB,"14,400","14,450","14,350","14,450","14,150","14,243",-50,-0.35,2.97,42.23,3.61,52.32,6.58,94.55,"40,825.75"
63,03/06/2026,SSB,"14,400","14,400","14,400","14,500","14,200","14,389",0,0.00,3.46,49.80,0.00,0.00,3.46,49.80,"40,968.00"
64,02/06/2026,SSB,"14,200","14,200","14,400","14,450","14,200","14,309",200,1.41,2.90,41.44,1.56,22.16,4.46,63.60,"40,968.00"
65,01/06/2026,SSB,"14,000","14,000","14,200","14,250","13,950","14,112",200,1.43,2.87,40.50,0.00,0.00,2.87,40.50,"40,399.00"
66,29/05/2026,SSB,"14,450","14,500","14,000","14,500","14,000","14,117",-450,-3.11,2.36,33.32,0.00,0.00,2.36,33.32,"39,830.00"
67,28/05/2026,SSB,"14,850","14,850","14,450","14,950","14,300","14,699",-400,-2.69,1.86,27.24,0.00,0.00,1.86,27.24,"41,110.25"
68,27/05/2026,SSB,"17,450","17,450","17,900","17,900","17,250","17,542",450,2.58,3.94,69.19,18.31,320.40,22.25,389.59,"50,925.50"
69,26/05/2026,SSB,"17,200","17,150","17,450","17,450","17,100","17,267",250,1.45,2.12,36.54,11.43,192.23,13.54,228.77,"49,645.25"
70,25/05/2026,SSB,"16,700","16,700","17,200","17,200","16,700","17,034",500,2.99,1.90,32.27,0.00,0.00,1.90,32.27,"48,934.00"
71,22/05/2026,SSB,"16,550","16,550","16,700","16,700","16,500","16,602",150,0.91,1.85,30.61,0.00,0.00,1.85,30.61,"47,511.50"
72,21/05/2026,SSB,"16,450","16,450","16,550","16,550","16,350","16,454",100,0.61,2.09,34.43,0.00,0.00,2.09,34.43,"47,084.75"
73,20/05/2026,SSB,"16,500","16,450","16,450","16,500","16,350","16,412",-50,-0.30,1.88,30.81,0.00,0.00,1.88,30.81,"46,800.25"
74,19/05/2026,SSB,"16,550","16,600","16,500","16,600","16,400","16,487",-50,-0.30,1.99,32.78,0.07,1.20,2.06,33.98,"46,942.50"
