No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,SSI,"21,400","21,300","21,350","21,600","21,300","21,418",-50,-0.23,20.30,434.76,0.00,0.00,20.30,434.76,"53,398.44"
2,27/08/2026,SSI,"21,650","21,750","21,400","21,750","21,350","21,480",-250,-1.15,15.96,342.81,6.25,136.28,22.21,479.09,"53,523.49"
3,26/08/2026,SSI,"21,250","21,100","21,650","21,650","21,100","21,440",400,1.88,27.95,599.59,0.00,0.00,27.95,599.59,"54,148.77"
4,25/08/2026,SSI,"21,250","21,250","21,250","21,500","21,100","21,285",0,0.00,30.66,652.51,6.00,122.38,36.66,774.89,"53,148.33"
5,24/08/2026,SSI,"20,750","21,400","21,250","21,600","21,100","21,308",500,2.41,32.45,691.69,0.90,19.80,33.35,711.49,"53,148.33"
6,21/08/2026,SSI,"19,400","19,700","20,750","20,750","19,650","20,306","1,350",6.96,38.71,785.58,7.48,151.89,46.19,937.47,"51,897.78"
7,20/08/2026,SSI,"19,400","19,600","19,400","19,700","19,400","19,535",0,0.00,11.04,215.68,1.50,30.51,12.54,246.19,"48,521.30"
8,19/08/2026,SSI,"19,500","19,500","19,400","19,600","19,200","19,349",-100,-0.51,11.09,214.52,5.96,121.06,17.04,335.59,"48,521.30"
9,18/08/2026,SSI,"19,800","19,800","19,500","19,900","19,300","19,633",-300,-1.52,15.28,299.68,1.50,30.75,16.78,330.43,"48,771.41"
10,17/08/2026,SSI,"19,600","19,800","19,800","20,100","19,700","19,894",200,1.02,18.21,362.41,5.36,109.81,23.57,472.22,"49,521.74"
11,14/08/2026,SSI,"25,000","24,950","24,500","24,950","24,300","24,652",-500,-2.00,34.02,838.23,0.24,6.10,34.26,844.33,"61,276.89"
12,13/08/2026,SSI,"25,300","25,300","25,000","25,500","25,000","25,216",-300,-1.19,28.04,706.72,8.02,203.63,36.05,910.35,"62,527.44"
13,12/08/2026,SSI,"25,150","25,150","25,300","25,350","25,000","25,225",150,0.60,15.73,396.88,0.00,0.00,15.73,396.88,"63,277.77"
14,11/08/2026,SSI,"25,100","25,150","25,150","25,400","25,000","25,228",50,0.20,22.67,572.24,8.02,204.61,30.68,776.85,"62,902.61"
15,10/08/2026,SSI,"24,450","24,650","25,100","25,250","24,600","25,002",650,2.66,20.35,508.85,0.28,6.48,20.64,515.33,"62,777.55"
16,07/08/2026,SSI,"24,300","24,250","24,450","24,650","24,200","24,485",150,0.62,13.29,325.39,2.08,48.30,15.37,373.69,"61,151.84"
17,06/08/2026,SSI,"24,400","24,400","24,300","24,650","24,000","24,329",-100,-0.41,14.73,358.41,0.00,0.00,14.73,358.41,"60,776.68"
18,05/08/2026,SSI,"24,550","24,850","24,400","24,850","24,350","24,575",-150,-0.61,16.49,405.35,0.47,12.09,16.96,417.44,"61,026.79"
19,04/08/2026,SSI,"24,550","24,600","24,550","24,700","24,300","24,485",0,0.00,14.13,346.01,0.68,17.25,14.81,363.27,"61,401.95"
20,03/08/2026,SSI,"23,550","23,800","24,550","24,800","23,750","24,389","1,000",4.25,24.34,593.97,3.70,92.77,28.04,686.74,"61,401.95"
21,31/07/2026,SSI,"24,000","24,100","23,550","24,100","23,500","23,757",-450,-1.88,17.84,424.05,0.51,12.68,18.35,436.73,"58,900.85"
22,30/07/2026,SSI,"23,250","23,350","24,000","24,300","23,200","23,845",750,3.23,29.02,692.09,3.34,79.41,32.35,771.49,"60,026.35"
23,29/07/2026,SSI,"23,000","23,300","23,250","23,550","23,000","23,209",250,1.09,18.81,436.78,2.03,43.68,20.84,480.46,"58,150.52"
24,28/07/2026,SSI,"22,000","21,800","23,000","23,300","21,700","22,659","1,000",4.55,30.41,688.84,0.03,0.64,30.44,689.49,"57,525.25"
