No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,STB,"73,500","74,000","75,500","76,600","74,000","75,645","2,000",2.72,9.13,691.09,0.52,35.78,9.65,726.87,"142,333.79"
2,27/08/2026,STB,"74,600","74,300","73,500","75,500","73,500","74,858","-1,100",-1.47,2.71,202.38,1.25,87.50,3.96,289.88,"138,563.36"
3,26/08/2026,STB,"74,200","74,500","74,600","75,200","73,800","74,381",400,0.54,3.36,250.13,1.02,70.83,4.39,320.95,"140,637.09"
4,25/08/2026,STB,"74,900","75,200","74,200","75,400","74,100","74,733",-700,-0.93,3.35,250.21,1.61,112.36,4.96,362.57,"139,883.01"
5,24/08/2026,STB,"74,700","75,200","74,900","75,400","74,800","75,083",200,0.27,1.34,100.52,4.61,329.81,5.95,430.33,"141,202.66"
6,21/08/2026,STB,"74,500","74,600","74,700","75,400","74,100","74,756",200,0.27,1.95,146.18,1.00,70.21,2.95,216.39,"140,825.61"
7,20/08/2026,STB,"74,800","75,000","74,500","75,800","73,600","74,549",-300,-0.40,2.24,166.85,4.47,314.23,6.71,481.08,"140,448.57"
8,19/08/2026,STB,"75,200","75,300","74,800","76,000","74,100","75,361",-400,-0.53,4.93,372.66,0.00,0.00,4.93,372.66,"141,014.14"
9,18/08/2026,STB,"74,200","74,400","75,200","76,000","73,700","74,964","1,000",1.35,4.73,355.44,3.27,229.29,8.00,584.73,"141,768.22"
10,17/08/2026,STB,"72,300","72,500","74,200","75,000","72,500","74,050","1,900",2.63,3.94,292.50,0.00,0.00,3.94,292.50,"139,883.01"
11,14/08/2026,STB,"73,100","73,100","72,300","73,500","72,300","72,798",-800,-1.09,2.39,173.71,0.02,1.56,2.41,175.27,"136,301.10"
12,13/08/2026,STB,"74,100","74,700","73,100","74,800","73,100","73,694","-1,000",-1.35,2.35,173.43,1.13,78.25,3.49,251.68,"137,809.27"
13,12/08/2026,STB,"74,300","74,300","74,100","75,400","74,100","74,790",-200,-0.27,1.57,117.15,0.00,0.00,1.57,117.15,"139,694.48"
14,11/08/2026,STB,"74,600","74,900","74,300","75,300","74,200","74,660",-300,-0.40,1.54,114.97,0.00,0.00,1.54,114.97,"140,071.53"
15,10/08/2026,STB,"74,600","75,000","74,600","76,100","74,300","75,304",0,0.00,2.08,157.16,1.35,97.20,3.43,254.36,"140,637.09"
16,07/08/2026,STB,"72,200","72,500","74,600","76,100","72,400","74,583","2,400",3.32,6.08,454.59,0.00,0.00,6.08,454.59,"140,637.09"
17,06/08/2026,STB,"73,200","73,200","72,200","73,600","72,200","73,051","-1,000",-1.37,1.49,108.11,1.31,93.76,2.80,201.87,"136,112.57"
18,05/08/2026,STB,"74,100","74,500","73,200","74,900","73,200","74,047",-900,-1.21,2.75,203.56,1.89,131.33,4.64,334.89,"137,997.79"
19,04/08/2026,STB,"71,500","72,100","74,100","74,100","71,900","73,090","2,600",3.64,4.94,362.47,2.35,158.36,7.29,520.82,"139,694.48"
20,03/08/2026,STB,"71,300","71,800","71,500","72,500","71,300","71,996",200,0.28,3.07,220.95,0.00,0.00,3.07,220.95,"134,792.92"
21,31/07/2026,STB,"71,600","71,500","71,300","72,300","71,100","71,684",-300,-0.42,2.79,199.80,0.17,11.06,2.95,210.85,"134,415.88"
22,30/07/2026,STB,"71,500","71,700","71,600","73,000","71,000","72,217",100,0.14,2.42,174.62,1.02,68.46,3.44,243.08,"134,981.45"
23,29/07/2026,STB,"72,500","72,900","71,500","72,900","71,500","72,159","-1,000",-1.38,2.83,204.13,1.12,76.16,3.95,280.29,"134,792.92"
24,28/07/2026,STB,"72,500","72,400","72,500","73,600","71,800","72,496",0,0.00,1.78,129.07,0.00,0.00,1.78,129.07,"136,678.14"
25,27/07/2026,STB,"73,500","73,500","72,500","75,000","72,500","73,822","-1,000",-1.36,2.40,176.49,0.00,0.00,2.40,176.49,"136,678.14"
26,24/07/2026,STB,"72,000","73,000","73,500","74,000","71,700","73,060","1,500",2.08,6.11,447.49,0.74,50.18,6.84,497.67,"138,563.36"
27,23/07/2026,STB,"71,000","71,200","72,000","73,900","70,600","72,259","1,000",1.41,6.40,464.47,0.00,0.00,6.40,464.47,"135,735.53"
28,22/07/2026,STB,"72,700","72,900","71,000","73,700","71,000","72,268","-1,700",-2.34,8.58,620.54,0.14,10.18,8.72,630.71,"133,850.32"
29,21/07/2026,STB,"73,000","73,000","72,700","73,900","72,200","73,386",-300,-0.41,4.77,350.66,0.00,0.00,4.77,350.66,"137,055.18"
30,20/07/2026,STB,"73,500","72,700","73,000","73,800","69,000","72,440",-500,-0.68,5.19,375.58,0.00,0.00,5.19,375.58,"137,620.75"
31,17/07/2026,STB,"71,800","72,000","73,500","74,200","71,600","73,348","1,700",2.37,7.10,522.13,0.00,0.00,7.10,522.13,"138,563.36"
32,16/07/2026,STB,"69,800","69,500","71,800","72,500","69,500","71,494","2,000",2.87,7.25,518.12,1.33,86.90,8.58,605.02,"135,358.49"
33,15/07/2026,STB,"70,400","70,600","69,800","71,600","69,800","70,773",-600,-0.85,3.01,212.28,0.00,0.00,3.01,212.28,"131,588.06"
34,14/07/2026,STB,"68,500","68,300","70,400","71,100","68,300","70,709","1,900",2.77,4.38,306.74,0.00,0.00,4.38,306.74,"132,719.19"
35,13/07/2026,STB,"70,100","70,300","68,500","70,300","68,500","69,240","-1,600",-2.28,4.35,300.61,0.49,32.34,4.84,332.95,"129,137.28"
36,10/07/2026,STB,"71,000","71,200","70,100","71,800","70,100","70,881",-900,-1.27,2.15,151.88,0.28,19.60,2.42,171.48,"132,153.62"
