No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,TCB,"34,100","33,350","33,400","33,650","32,700","33,261",-700,-2.05,27.68,920.76,1.13,36.35,28.81,957.11,"236,680.43"
2,27/08/2026,TCB,"33,450","33,500","34,100","35,200","33,450","34,071",650,1.94,32.61,"1,111.63",0.00,0.00,32.61,"1,111.63","241,640.80"
3,26/08/2026,TCB,"31,300","31,250","33,450","33,450","31,000","32,308","2,150",6.87,39.17,"1,272.24",16.68,516.12,55.85,"1,788.36","237,034.74"
4,25/08/2026,TCB,"31,450","31,450","31,300","31,900","31,200","31,495",-150,-0.48,14.73,464.07,5.22,164.71,19.95,628.78,"221,799.32"
5,24/08/2026,TCB,"31,650","31,650","31,450","31,900","31,450","31,616",-200,-0.63,10.09,318.96,7.44,235.63,17.53,554.59,"222,862.26"
6,21/08/2026,TCB,"31,000","30,800","31,650","31,700","30,750","31,269",650,2.10,9.77,305.92,4.65,147.28,14.42,453.19,"224,279.51"
7,20/08/2026,TCB,"31,000","31,200","31,000","31,300","30,850","30,994",0,0.00,6.42,198.88,3.05,91.53,9.47,290.41,"219,673.45"
8,19/08/2026,TCB,"30,850","30,650","31,000","31,100","30,650","30,862",150,0.49,8.37,258.50,3.81,117.58,12.18,376.09,"219,673.45"
9,18/08/2026,TCB,"31,800","31,850","30,850","31,850","30,600","31,159",-950,-2.99,14.74,458.85,0.02,0.66,14.76,459.51,"218,610.52"
10,17/08/2026,TCB,"32,000","31,850","31,800","32,050","31,600","31,797",-200,-0.63,10.96,348.54,0.03,0.89,10.99,349.43,"225,342.45"
11,14/08/2026,TCB,"31,700","31,700","32,000","32,150","31,450","31,853",300,0.95,15.49,493.42,2.01,62.53,17.49,555.95,"226,759.69"
12,13/08/2026,TCB,"31,500","31,500","31,700","32,100","31,300","31,804",200,0.63,33.92,"1,079.35",1.76,55.36,35.68,"1,134.71","224,633.82"
13,12/08/2026,TCB,"31,000","31,000","31,500","31,500","30,900","31,168",500,1.61,15.31,477.74,2.13,66.60,17.43,544.33,"223,216.57"
14,11/08/2026,TCB,"31,350","31,150","31,000","31,550","30,700","31,127",-350,-1.12,18.02,560.82,1.95,61.40,19.97,622.22,"219,673.45"
15,10/08/2026,TCB,"29,700","29,700","31,350","31,350","29,500","30,525","1,650",5.56,34.81,"1,063.32",0.14,4.24,34.95,"1,067.56","222,153.64"
16,07/08/2026,TCB,"29,200","29,150","29,700","29,700","28,900","29,155",500,1.71,22.69,662.39,0.08,2.57,22.77,664.96,"210,461.34"
17,06/08/2026,TCB,"29,650","29,700","29,200","29,750","29,200","29,449",-450,-1.52,11.01,323.83,1.36,40.85,12.37,364.68,"206,918.22"
18,05/08/2026,TCB,"29,650","29,900","29,650","30,050","29,550","29,743",0,0.00,12.03,357.91,1.52,44.02,13.55,401.93,"210,107.03"
19,04/08/2026,TCB,"29,950","29,900","29,650","29,950","29,550","29,687",-300,-1.00,9.31,276.41,5.38,169.01,14.69,445.42,"210,107.03"
20,03/08/2026,TCB,"28,950","29,150","29,950","30,300","29,150","29,592","1,000",3.45,13.43,398.32,1.40,40.53,14.83,438.85,"212,232.90"
21,31/07/2026,TCB,"29,300","29,550","28,950","29,550","28,950","29,198",-350,-1.19,11.59,338.55,0.39,12.03,11.98,350.58,"205,146.66"
22,30/07/2026,TCB,"28,400","28,600","29,300","29,750","28,400","29,022",900,3.17,19.70,571.75,3.85,110.69,23.55,682.44,"207,626.84"
23,29/07/2026,TCB,"28,500","28,150","28,400","28,550","28,150","28,325",-100,-0.35,8.54,242.03,1.11,30.06,9.65,272.09,"201,249.23"
24,28/07/2026,TCB,"28,250","28,150","28,500","28,600","27,800","28,279",250,0.88,10.44,295.44,5.16,146.40,15.60,441.83,"201,957.85"
25,27/07/2026,TCB,"28,600","28,700","28,250","29,050","28,250","28,676",-350,-1.22,10.30,295.04,0.10,2.93,10.40,297.96,"200,186.29"
26,24/07/2026,TCB,"29,250","28,900","28,600","29,200","28,500","28,812",-650,-2.22,10.70,307.95,0.12,3.44,10.82,311.39,"202,666.48"
27,23/07/2026,TCB,"29,000","29,050","29,250","29,950","28,350","28,919",250,0.86,16.99,491.42,0.04,1.12,17.03,492.53,"207,272.53"
