No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,TCX,"40,800","40,800","40,800","41,450","40,450","40,865",0,0.00,1.65,67.38,0.00,0.00,1.65,67.38,"113,197.70"
2,27/08/2026,TCX,"41,750","41,650","40,800","42,050","40,800","41,244",-950,-2.28,2.05,84.61,0.00,0.00,2.05,84.61,"113,197.70"
3,26/08/2026,TCX,"40,300","40,400","41,750","42,500","40,100","41,269","1,450",3.60,3.63,150.11,0.00,0.00,3.63,150.11,"115,833.43"
4,25/08/2026,TCX,"40,800","40,800","40,300","41,050","40,100","40,501",-500,-1.23,2.03,82.12,0.00,0.00,2.03,82.12,"111,810.47"
5,24/08/2026,TCX,"41,000","41,400","40,800","41,550","40,750","41,115",-200,-0.49,1.80,74.08,0.40,16.50,2.20,90.58,"113,197.70"
6,21/08/2026,TCX,"39,500","39,300","41,000","41,300","39,300","40,574","1,500",3.80,3.65,148.58,0.00,0.00,3.65,148.58,"113,752.59"
7,20/08/2026,TCX,"39,450","39,900","39,500","40,000","39,500","39,704",50,0.13,0.64,25.60,0.00,0.00,0.64,25.60,"109,590.91"
8,19/08/2026,TCX,"39,800","39,750","39,450","39,850","39,200","39,460",-350,-0.88,0.70,27.78,0.00,0.00,0.70,27.78,"109,452.18"
9,18/08/2026,TCX,"39,200","39,400","39,800","40,200","39,250","39,735",600,1.53,1.35,53.70,0.37,14.76,1.72,68.46,"110,423.24"
10,17/08/2026,TCX,"39,150","39,150","39,200","39,500","38,800","39,099",50,0.13,0.95,37.16,0.00,0.00,0.95,37.16,"108,758.57"
11,14/08/2026,TCX,"40,000","39,800","39,150","40,000","39,000","39,478",-850,-2.13,1.58,62.50,0.37,14.84,1.95,77.34,"108,619.85"
12,13/08/2026,TCX,"40,500","40,800","40,000","40,800","40,000","40,474",-500,-1.23,1.89,76.38,0.00,0.00,1.89,76.38,"110,978.13"
13,12/08/2026,TCX,"40,800","40,800","40,500","41,000","40,300","40,770",-300,-0.74,1.38,56.40,0.37,14.54,1.75,70.94,"112,365.36"
14,11/08/2026,TCX,"40,000","40,050","40,800","40,900","39,900","40,631",800,2.00,2.64,107.26,0.16,6.43,2.80,113.69,"113,197.70"
15,10/08/2026,TCX,"39,300","39,600","40,000","40,350","39,400","39,930",700,1.78,1.76,70.16,0.37,14.62,2.13,84.78,"110,978.13"
16,07/08/2026,TCX,"39,400","39,400","39,300","40,000","39,250","39,420",-100,-0.25,1.35,53.11,1.00,38.50,2.35,91.61,"109,036.02"
17,06/08/2026,TCX,"39,600","39,600","39,400","39,900","39,250","39,507",-200,-0.51,1.09,43.05,0.00,0.00,1.09,43.05,"109,313.46"
18,05/08/2026,TCX,"40,650","40,950","39,600","40,950","39,600","40,179","-1,050",-2.58,2.46,98.94,0.77,31.13,3.23,130.07,"109,868.35"
19,04/08/2026,TCX,"40,900","41,000","40,650","41,000","39,800","40,274",-250,-0.61,1.25,50.48,0.53,21.89,1.79,72.37,"112,781.53"
20,03/08/2026,TCX,"41,000","40,600","40,900","41,400","40,600","40,931",-100,-0.24,2.21,90.58,0.37,15.21,2.58,105.79,"113,475.14"
