No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,VCB,"60,100","60,200","60,100","60,500","59,800","60,070",0,0.00,3.39,203.47,0.00,0.00,3.39,203.47,"502,176.07"
2,27/08/2026,VCB,"60,300","60,500","60,100","61,400","60,000","60,492",-200,-0.33,4.90,296.92,0.02,1.34,4.93,298.26,"502,176.07"
3,26/08/2026,VCB,"59,400","59,200","60,300","60,300","59,200","59,969",900,1.52,7.18,430.43,0.09,5.11,7.26,435.54,"503,847.21"
4,25/08/2026,VCB,"59,200","59,300","59,400","60,200","59,200","59,722",200,0.34,5.58,333.22,0.39,22.34,5.97,355.56,"496,327.10"
5,24/08/2026,VCB,"59,100","60,200","59,200","60,500","59,200","59,739",100,0.17,4.77,285.53,0.37,21.59,5.14,307.12,"494,655.97"
6,21/08/2026,VCB,"57,800","57,800","59,100","59,100","57,500","58,457","1,300",2.25,4.70,274.63,0.28,16.44,4.97,291.06,"493,820.40"
7,20/08/2026,VCB,"57,400","57,800","57,800","58,100","57,300","57,687",400,0.70,3.01,173.53,0.00,0.00,3.01,173.53,"482,958.02"
8,19/08/2026,VCB,"58,000","58,000","57,400","58,200","57,200","57,469",-600,-1.03,3.77,216.71,0.00,0.00,3.77,216.71,"479,615.75"
9,18/08/2026,VCB,"58,200","58,200","58,000","59,000","57,700","58,214",-200,-0.34,2.89,168.31,0.09,5.39,2.98,173.70,"484,629.16"
10,17/08/2026,VCB,"58,500","58,300","58,200","58,900","58,200","58,455",-300,-0.51,2.75,160.48,0.00,0.00,2.75,160.48,"486,300.29"
11,14/08/2026,VCB,"59,500","59,500","58,500","59,600","58,500","58,969","-1,000",-1.68,4.81,283.36,0.09,5.49,4.90,288.85,"488,806.99"
12,13/08/2026,VCB,"59,700","59,900","59,500","60,500","59,100","59,788",-200,-0.34,4.58,273.99,0.06,3.43,4.64,277.42,"497,162.67"
