No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,VHM,"73,800","74,000","73,000","74,000","72,900","73,340",-800,-1.08,4.57,334.62,0.79,62.57,5.36,397.18,"599,682.15"
2,27/08/2026,VHM,"73,600","74,200","73,800","75,200","73,600","74,133",200,0.27,4.60,340.78,0.24,18.57,4.83,359.35,"606,254.01"
3,26/08/2026,VHM,"73,600","73,300","73,600","73,800","72,100","72,891",0,0.00,5.34,389.70,0.00,0.00,5.34,389.70,"604,611.05"
4,25/08/2026,VHM,"73,400","73,500","73,600","75,200","72,800","74,256",200,0.27,9.25,687.07,0.00,0.00,9.25,687.07,"302,305.52"
5,24/08/2026,VHM,"71,700","72,900","73,400","73,500","72,400","72,845","1,700",2.37,6.12,446.32,0.00,0.00,6.12,446.32,"301,484.04"
6,21/08/2026,VHM,"69,500","69,500","71,700","71,900","68,900","70,704","2,200",3.17,5.10,361.03,4.30,298.85,9.40,659.88,"294,501.44"
7,20/08/2026,VHM,"69,100","69,600","69,500","70,500","69,100","69,773",400,0.58,4.63,322.88,0.00,0.00,4.63,322.88,"285,465.13"
8,19/08/2026,VHM,"69,200","69,400","69,100","69,800","68,600","69,084",-100,-0.14,2.61,180.58,2.04,150.74,4.65,331.32,"283,822.17"
9,18/08/2026,VHM,"68,200","68,500","69,200","70,600","68,300","69,249","1,000",1.47,4.82,333.41,1.07,76.76,5.89,410.18,"284,232.91"
10,17/08/2026,VHM,"68,200","68,000","68,200","69,800","66,600","68,045",0,0.00,4.96,338.07,3.55,247.34,8.51,585.42,"280,125.50"
11,14/08/2026,VHM,"71,800","71,800","68,200","71,800","68,000","69,473","-3,600",-5.01,12.13,841.81,0.00,0.00,12.13,841.81,"280,125.50"
12,13/08/2026,VHM,"73,800","74,000","71,800","74,000","71,800","72,482","-2,000",-2.71,7.79,563.86,0.25,18.34,8.04,582.20,"294,912.18"
13,12/08/2026,VHM,"72,100","72,900","73,800","75,500","72,000","73,810","1,700",2.36,6.53,481.83,0.13,9.70,6.66,491.53,"303,127.01"
14,11/08/2026,VHM,"71,600","71,600","72,100","74,000","71,200","72,280",500,0.70,8.29,598.87,0.19,13.69,8.48,612.56,"296,144.41"
15,10/08/2026,VHM,"73,000","72,800","71,600","72,800","70,800","71,724","-1,400",-1.92,8.27,592.96,0.12,8.61,8.39,601.57,"294,090.70"
16,07/08/2026,VHM,"77,100","75,300","73,000","76,800","73,000","74,253","-4,100",-5.32,9.12,676.69,0.20,14.75,9.32,691.44,"299,841.08"
17,06/08/2026,VHM,"76,500","81,700","77,100","81,700","76,800","79,086",600,0.78,16.81,"1,336.37",1.09,88.83,17.89,"1,425.20","316,681.47"
18,05/08/2026,VHM,"152,900","154,200","153,000","158,800","153,000","155,825",100,0.07,10.68,"1,662.89",0.00,0.00,10.68,"1,662.89","628,434.04"
19,04/08/2026,VHM,"148,000","148,200","152,900","153,300","146,800","151,700","4,900",3.31,6.34,961.85,2.80,417.04,9.14,"1,378.89","628,023.30"
20,03/08/2026,VHM,"148,100","148,700","148,000","149,700","145,100","147,821",-100,-0.07,5.31,785.51,0.85,129.42,6.17,914.93,"607,896.98"
