No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,VIB,"14,900","14,900","14,950","15,050","14,800","14,942",50,0.34,5.41,80.87,2.84,45.09,8.25,125.95,"50,889.89"
2,27/08/2026,VIB,"14,650","14,700","14,900","15,150","14,700","14,882",250,1.71,8.00,119.26,7.46,110.56,15.45,229.81,"50,719.69"
3,26/08/2026,VIB,"14,650","14,700","14,650","14,800","14,500","14,647",0,0.00,7.82,114.78,4.61,71.73,12.44,186.51,"49,868.68"
4,25/08/2026,VIB,"14,750","14,750","14,650","14,850","14,600","14,714",-100,-0.68,3.10,45.56,0.00,0.00,3.10,45.56,"49,868.68"
5,24/08/2026,VIB,"14,750","14,900","14,750","14,950","14,700","14,762",0,0.00,4.62,68.24,8.10,119.65,12.72,187.89,"50,209.08"
6,21/08/2026,VIB,"14,400","14,400","14,750","14,800","14,350","14,591",350,2.43,4.77,69.48,4.46,66.83,9.22,136.31,"50,209.08"
7,20/08/2026,VIB,"14,350","14,400","14,400","14,450","14,350","14,404",50,0.35,3.28,47.26,6.20,93.03,9.48,140.29,"49,017.68"
8,19/08/2026,VIB,"14,400","14,400","14,350","14,400","14,200","14,319",-50,-0.35,2.41,34.58,17.97,269.89,20.39,304.47,"48,847.48"
9,18/08/2026,VIB,"14,300","14,350","14,400","14,500","14,250","14,338",100,0.70,2.81,40.31,6.20,94.89,9.01,135.20,"49,017.68"
10,17/08/2026,VIB,"14,400","14,350","14,300","14,500","14,300","14,410",-100,-0.69,2.88,41.46,12.06,173.60,14.93,215.06,"48,677.28"
11,14/08/2026,VIB,"14,550","14,500","14,400","14,650","14,400","14,488",-150,-1.03,4.42,64.15,0.00,0.00,4.42,64.15,"49,017.68"
12,13/08/2026,VIB,"14,800","14,850","14,550","14,900","14,550","14,687",-250,-1.69,5.42,79.53,0.50,7.35,5.92,86.88,"49,528.28"
