No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,VIC,"236,000","236,000","236,000","237,100","230,100","235,150",0,0.00,8.55,"2,015.30",0.10,23.58,8.65,"2,038.88","1,831,876.00"
2,27/08/2026,VIC,"230,000","228,900","236,000","237,800","227,900","231,699","6,000",2.61,8.57,"1,987.72",0.09,20.85,8.66,"2,008.58","1,831,876.00"
3,26/08/2026,VIC,"220,500","219,100","230,000","230,000","219,100","224,091","9,500",4.31,9.98,"2,235.91",0.14,31.26,10.12,"2,267.18","1,785,302.88"
4,25/08/2026,VIC,"214,500","216,500","220,500","227,300","215,300","221,791","6,000",2.80,10.31,"2,289.81",0.06,13.27,10.37,"2,303.08","1,711,562.11"
5,24/08/2026,VIC,"205,000","208,000","214,500","214,900","208,000","212,600","9,500",4.63,3.59,763.34,0.00,0.00,3.59,763.34,"1,664,988.99"
6,21/08/2026,VIC,"202,000","201,400","205,000","205,700","199,900","203,361","3,000",1.49,3.20,650.81,0.07,14.54,3.27,665.36,"1,591,248.22"
7,20/08/2026,VIC,"200,000","201,800","202,000","204,200","201,000","202,682","2,000",1.00,5.25,"1,062.65",0.00,0.00,5.25,"1,062.65","1,567,961.66"
8,19/08/2026,VIC,"200,000","200,000","200,000","200,900","199,200","199,838",0,0.00,5.25,"1,048.78",0.00,0.00,5.25,"1,048.78","1,552,437.29"
9,18/08/2026,VIC,"198,000","198,000","200,000","203,900","197,500","200,250","2,000",1.01,4.30,860.20,0.10,19.96,4.40,880.16,"1,552,437.29"
10,17/08/2026,VIC,"200,400","200,400","198,000","200,400","194,600","197,018","-2,400",-1.20,6.48,"1,276.15",0.00,0.00,6.48,"1,276.15","1,536,912.91"
11,14/08/2026,VIC,"207,900","208,000","200,400","208,100","195,000","202,448","-7,500",-3.61,7.98,"1,613.59",0.10,20.20,8.08,"1,633.79","1,555,542.16"
12,13/08/2026,VIC,"215,500","215,000","207,900","215,600","207,500","211,440","-7,600",-3.53,5.54,"1,172.14",0.00,0.00,5.54,"1,172.14","1,613,758.56"
13,12/08/2026,VIC,"208,500","208,700","215,500","215,800","207,500","213,343","7,000",3.36,5.30,"1,132.93",0.02,4.17,5.32,"1,137.10","1,672,751.18"
14,11/08/2026,VIC,"208,500","209,200","208,500","211,500","205,500","207,732",0,0.00,4.99,"1,037.22",0.00,0.00,4.99,"1,037.22","1,618,415.87"
15,10/08/2026,VIC,"215,000","213,600","208,500","215,100","208,100","211,230","-6,500",-3.02,4.43,938.19,0.08,17.20,4.51,955.39,"1,618,415.87"
16,07/08/2026,VIC,"218,800","218,400","215,000","218,400","212,300","214,129","-3,800",-1.74,5.35,"1,147.16",0.00,0.00,5.35,"1,147.16","1,668,870.08"
17,06/08/2026,VIC,"220,000","219,000","218,800","222,000","218,600","220,130","-1,200",-0.55,4.79,"1,055.11",0.02,5.49,4.82,"1,060.60","1,698,366.39"
18,05/08/2026,VIC,"218,000","218,600","220,000","221,600","218,600","220,008","2,000",0.92,6.23,"1,370.73",0.10,21.80,6.33,"1,392.53","1,707,681.01"
19,04/08/2026,VIC,"213,000","214,000","218,000","221,500","212,400","217,978","5,000",2.35,5.19,"1,130.39",0.00,0.00,5.19,"1,130.39","1,692,156.64"
20,03/08/2026,VIC,"214,100","216,000","213,000","216,300","212,000","213,756","-1,100",-0.51,4.18,893.87,0.00,0.00,4.18,893.87,"1,653,345.71"
21,31/07/2026,VIC,"220,000","223,800","214,100","223,800","214,100","218,589","-5,900",-2.68,4.37,954.70,0.07,14.64,4.44,969.34,"1,661,884.11"
22,30/07/2026,VIC,"219,400","216,500","220,000","220,700","216,500","219,661",600,0.27,4.81,"1,056.80",0.00,0.00,4.81,"1,056.80","1,707,681.01"
23,29/07/2026,VIC,"213,800","214,100","219,400","222,500","210,400","216,353","5,600",2.62,4.95,"1,072.85",0.00,0.00,4.95,"1,072.85","1,703,023.70"
24,28/07/2026,VIC,"213,500","210,000","213,800","213,800","209,700","213,033",300,0.14,2.75,586.50,0.00,0.00,2.75,586.50,"1,653,420.57"
25,27/07/2026,VIC,"213,100","215,000","213,500","215,000","210,900","213,110",400,0.19,2.91,620.91,0.00,0.00,2.91,620.91,"1,651,100.52"
26,24/07/2026,VIC,"214,000","209,500","213,100","213,600","208,900","212,264",-900,-0.42,2.60,552.28,0.00,0.00,2.60,552.28,"1,648,007.12"
27,23/07/2026,VIC,"202,100","201,000","214,000","214,700","200,000","209,896","11,900",5.89,4.24,891.70,0.24,50.84,4.48,942.54,"1,654,967.27"
28,22/07/2026,VIC,"217,300","216,000","202,100","217,000","202,100","207,618","-15,200",-6.99,5.74,"1,188.17",0.10,21.73,5.84,"1,209.90","1,562,938.71"
29,21/07/2026,VIC,"220,000","216,300","217,300","220,000","214,400","216,515","-2,700",-1.23,2.84,615.21,2.90,610.03,5.74,"1,225.24","1,680,487.79"
30,20/07/2026,VIC,"220,000","219,900","220,000","220,200","218,900","219,720",0,0.00,2.73,600.69,0.00,0.00,2.73,600.69,"1,701,368.22"
31,17/07/2026,VIC,"223,000","223,000","220,000","224,000","220,000","221,483","-3,000",-1.35,2.85,630.12,0.07,15.84,2.92,645.96,"1,701,368.22"
32,16/07/2026,VIC,"217,000","212,000","223,000","223,000","212,000","218,299","6,000",2.76,4.07,890.32,0.00,0.00,4.07,890.32,"1,724,568.69"
33,15/07/2026,VIC,"219,000","218,400","217,000","218,400","211,500","215,292","-2,000",-0.91,3.69,796.98,0.00,0.00,3.69,796.98,"1,678,167.74"
34,14/07/2026,VIC,"221,500","219,000","219,000","219,700","212,500","217,992","-2,500",-1.13,3.45,747.31,0.00,0.00,3.45,747.31,"1,693,634.73"
35,13/07/2026,VIC,"223,000","223,600","221,500","223,600","218,100","221,174","-1,500",-0.67,3.80,840.50,0.00,0.00,3.80,840.50,"1,712,968.45"
36,10/07/2026,VIC,"221,000","221,000","223,000","224,700","220,800","222,232","2,000",0.90,4.00,888.64,5.69,"1,253.27",9.69,"2,141.91","1,724,568.69"
37,09/07/2026,VIC,"220,700","218,500","221,000","221,300","218,500","220,878",300,0.14,2.37,522.77,0.00,0.00,2.37,522.77,"1,709,101.71"
38,08/07/2026,VIC,"220,300","218,000","220,700","221,200","218,000","220,380",400,0.18,1.93,426.15,0.00,0.00,1.93,426.15,"1,706,781.66"
39,07/07/2026,VIC,"220,300","218,500","220,300","220,300","215,200","217,829",0,0.00,2.95,643.94,0.00,0.00,2.95,643.94,"1,703,688.26"
40,06/07/2026,VIC,"220,300","222,500","220,300","222,700","217,100","220,378",0,0.00,3.09,681.32,10.90,"2,401.27",13.99,"3,082.59","1,703,688.26"
41,03/07/2026,VIC,"220,300","219,900","220,300","222,900","219,300","220,363",0,0.00,2.09,459.71,0.00,0.00,2.09,459.71,"1,703,688.26"
42,02/07/2026,VIC,"217,100","217,100","220,300","221,200","216,100","218,894","3,200",1.47,2.54,557.45,6.90,"1,499.37",9.44,"2,056.82","1,703,688.26"
43,01/07/2026,VIC,"220,000","220,000","217,100","220,200","216,700","218,204","-2,900",-1.32,1.76,384.02,0.40,90.06,2.16,474.08,"1,678,941.09"
44,30/06/2026,VIC,"217,200","216,000","220,000","221,000","212,000","218,134","2,800",1.29,3.90,853.21,0.18,41.81,4.08,895.03,"1,701,368.22"
45,29/06/2026,VIC,"228,000","227,000","217,200","227,700","217,000","220,631","-10,800",-4.74,3.60,793.11,0.18,38.20,3.78,831.30,"1,679,714.44"
46,26/06/2026,VIC,"225,000","221,500","228,000","228,900","221,500","225,429","3,000",1.33,2.57,579.75,0.44,98.69,3.01,678.44,"1,763,236.15"
