No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,VJC,"126,500","126,600","125,000","126,600","125,000","125,672","-1,500",-1.19,1.16,145.96,0.00,0.00,1.16,145.96,"96,136.62"
2,27/08/2026,VJC,"127,000","127,000","126,500","128,000","125,300","126,120",-500,-0.39,1.44,182.01,0.25,31.75,1.69,213.76,"97,290.26"
3,26/08/2026,VJC,"124,700","124,700","127,000","127,500","124,600","126,330","2,300",1.84,1.51,190.64,0.96,119.71,2.47,310.35,"97,674.81"
4,25/08/2026,VJC,"124,500","124,600","124,700","125,100","123,800","124,610",200,0.16,1.51,188.47,0.00,0.00,1.51,188.47,"95,905.89"
5,24/08/2026,VJC,"124,500","125,000","124,500","125,400","124,000","124,452",0,0.00,1.40,173.76,0.00,0.00,1.40,173.76,"95,752.07"
6,21/08/2026,VJC,"123,400","123,000","124,500","125,000","122,100","123,445","1,100",0.89,1.37,168.53,0.00,0.00,1.37,168.53,"95,752.07"
7,20/08/2026,VJC,"123,100","123,300","123,400","124,000","122,300","122,909",300,0.24,1.44,176.65,6.44,825.17,7.88,"1,001.82","94,906.07"
8,19/08/2026,VJC,"123,500","122,900","123,100","123,700","122,200","122,824",-400,-0.32,1.15,141.10,0.00,0.00,1.15,141.10,"94,675.34"
9,18/08/2026,VJC,"123,500","123,500","123,500","124,800","122,100","123,036",0,0.00,1.30,160.74,6.84,877.77,8.14,"1,038.50","94,982.98"
10,17/08/2026,VJC,"123,200","121,500","123,500","124,000","121,500","122,751",300,0.24,1.26,155.12,1.06,130.65,2.32,285.78,"94,982.98"
11,14/08/2026,VJC,"124,900","124,300","123,200","125,000","121,700","123,035","-1,700",-1.36,1.32,162.15,5.89,764.08,7.21,926.24,"94,752.25"
12,13/08/2026,VJC,"127,700","127,900","124,900","127,900","124,800","126,177","-2,800",-2.19,1.56,197.82,0.00,0.00,1.56,197.82,"96,059.71"
13,12/08/2026,VJC,"127,200","127,300","127,700","128,500","126,100","127,476",500,0.39,1.51,192.73,0.00,0.00,1.51,192.73,"98,213.17"
14,11/08/2026,VJC,"125,500","125,600","127,200","128,000","125,600","127,096","1,700",1.35,1.39,176.60,0.18,22.15,1.57,198.75,"97,828.62"
15,10/08/2026,VJC,"125,500","125,700","125,500","126,500","123,600","125,409",0,0.00,1.51,189.79,0.00,0.00,1.51,189.79,"96,521.17"
16,07/08/2026,VJC,"126,000","125,700","125,500","126,100","124,800","125,227",-500,-0.40,1.36,169.92,0.00,0.00,1.36,169.92,"96,521.17"
17,06/08/2026,VJC,"126,100","126,500","126,000","127,000","125,000","125,793",-100,-0.08,1.47,184.53,1.58,202.71,3.04,387.25,"96,905.71"
18,05/08/2026,VJC,"126,500","126,800","126,100","128,000","125,300","126,143",-400,-0.32,1.60,202.43,1.56,199.99,3.16,402.42,"96,982.62"
19,04/08/2026,VJC,"126,600","126,600","126,500","126,600","124,300","125,120",-100,-0.08,1.55,193.84,0.00,0.00,1.55,193.84,"97,290.26"
20,03/08/2026,VJC,"125,000","125,100","126,600","127,000","123,700","125,371","1,600",1.28,1.08,135.55,0.00,0.00,1.08,135.55,"97,367.17"
21,31/07/2026,VJC,"124,200","124,400","125,000","126,500","123,600","124,674",800,0.64,1.45,180.55,0.00,0.00,1.45,180.55,"96,136.62"
22,30/07/2026,VJC,"125,500","125,000","124,200","126,500","123,200","124,960","-1,300",-1.04,1.07,133.29,0.00,0.00,1.07,133.29,"95,521.35"
23,29/07/2026,VJC,"123,400","122,200","125,500","125,500","118,100","121,324","2,100",1.70,1.33,162.67,0.55,69.98,1.88,232.66,"96,521.17"
24,28/07/2026,VJC,"126,000","125,500","123,400","127,000","123,300","124,606","-2,600",-2.06,0.97,121.07,0.45,56.70,1.42,177.77,"94,906.07"
25,27/07/2026,VJC,"127,400","127,000","126,000","129,500","124,200","125,917","-1,400",-1.10,1.06,133.80,0.00,0.00,1.06,133.80,"96,905.71"
26,24/07/2026,VJC,"127,600","125,800","127,400","127,400","124,500","125,358",-200,-0.16,0.83,104.05,3.48,444.65,4.31,548.70,"97,982.44"
27,23/07/2026,VJC,"126,000","127,000","127,600","130,000","126,200","127,806","1,600",1.27,1.20,154.00,0.87,110.81,2.07,264.81,"98,136.26"
28,22/07/2026,VJC,"130,800","130,800","126,000","131,600","126,000","129,901","-4,800",-3.67,1.26,163.16,0.28,37.02,1.55,200.17,"96,905.71"
29,21/07/2026,VJC,"132,000","130,600","130,800","132,000","130,200","130,778","-1,200",-0.91,0.85,110.82,4.13,530.68,4.98,641.50,"100,597.36"
30,20/07/2026,VJC,"131,300","131,000","132,000","134,600","128,200","130,750",700,0.53,1.11,145.37,0.00,0.00,1.11,145.37,"101,520.27"
31,17/07/2026,VJC,"132,500","132,000","131,300","132,000","129,700","130,793","-1,200",-0.91,0.98,128.43,0.12,15.37,1.10,143.80,"100,981.91"
32,16/07/2026,VJC,"129,700","130,000","132,500","132,800","129,800","131,498","2,800",2.16,0.93,122.42,0.00,0.00,0.93,122.42,"101,904.82"
33,15/07/2026,VJC,"133,300","133,300","129,700","133,300","129,100","130,092","-3,600",-2.70,0.92,120.04,0.02,2.67,0.94,122.70,"99,751.36"
34,14/07/2026,VJC,"134,400","133,000","133,300","133,900","130,900","132,221","-1,100",-0.82,0.93,122.25,0.08,10.08,1.00,132.33,"102,520.09"
35,13/07/2026,VJC,"138,000","136,800","134,400","137,500","128,400","134,574","-3,600",-2.61,0.97,130.49,3.68,514.43,4.65,644.92,"103,366.09"
36,10/07/2026,VJC,"139,000","138,000","138,000","138,000","137,100","137,604","-1,000",-0.72,0.75,103.39,4.70,642.99,5.46,746.38,"106,134.83"
37,09/07/2026,VJC,"138,900","137,500","139,000","139,000","137,100","137,646",100,0.07,0.88,121.86,3.60,498.52,4.48,620.39,"106,903.92"
38,08/07/2026,VJC,"139,700","139,000","138,900","139,000","137,200","137,685",-800,-0.57,0.86,118.82,2.18,304.41,3.04,423.23,"106,827.01"
39,07/07/2026,VJC,"140,600","140,000","139,700","140,000","138,600","139,325",-900,-0.64,0.82,114.03,3.62,503.62,4.44,617.66,"107,442.29"
40,06/07/2026,VJC,"141,800","141,800","140,600","142,000","137,700","139,679","-1,200",-0.85,0.97,134.95,0.00,0.00,0.97,134.95,"108,134.47"
41,03/07/2026,VJC,"139,000","139,200","141,800","142,500","138,000","140,330","2,800",2.01,1.01,140.89,0.32,44.63,1.33,185.52,"109,057.38"
42,02/07/2026,VJC,"139,300","139,300","139,000","139,400","137,600","138,165",-300,-0.22,0.76,105.24,6.59,927.78,7.36,"1,033.03","106,903.92"
43,01/07/2026,VJC,"139,500","139,100","139,300","140,000","138,800","139,298",-200,-0.14,0.89,123.76,2.92,409.27,3.81,533.03,"107,134.65"
44,30/06/2026,VJC,"138,800","138,700","139,500","140,000","137,800","139,209",700,0.50,0.74,103.55,6.10,861.20,6.84,964.76,"82,529.78"
45,29/06/2026,VJC,"139,500","139,500","138,800","139,500","136,600","137,847",-700,-0.50,1.23,170.54,3.67,503.17,4.90,673.71,"82,115.65"
46,26/06/2026,VJC,"139,400","138,500","139,500","140,000","138,000","138,940",100,0.07,0.98,136.37,0.28,39.73,1.27,176.10,"82,529.78"
47,25/06/2026,VJC,"136,400","136,500","139,400","139,900","136,300","138,662","3,000",2.20,0.97,133.65,6.28,873.33,7.24,"1,006.98","82,470.62"
48,24/06/2026,VJC,"137,500","137,500","136,400","138,200","136,100","136,946","-1,100",-0.80,0.97,132.49,4.50,628.59,5.46,761.08,"80,695.79"
