No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,VNM,"62,500","62,900","62,300","63,000","62,300","62,639",-200,-0.32,2.39,149.35,0.00,0.00,2.39,149.35,"130,204.22"
2,27/08/2026,VNM,"62,800","62,700","62,500","63,200","62,300","62,649",-300,-0.48,2.65,166.08,0.00,0.00,2.65,166.08,"130,622.22"
3,26/08/2026,VNM,"62,600","62,700","62,800","63,500","62,400","62,899",200,0.32,2.40,151.13,0.00,0.00,2.40,151.13,"131,249.20"
4,25/08/2026,VNM,"63,200","63,100","62,600","63,800","62,500","63,010",-600,-0.95,3.34,210.60,0.00,0.00,3.34,210.60,"130,831.21"
5,24/08/2026,VNM,"63,800","64,000","63,200","64,400","63,200","63,659",-600,-0.94,3.33,212.06,0.00,0.00,3.33,212.06,"132,085.18"
6,21/08/2026,VNM,"64,000","64,100","63,800","64,100","63,400","63,793",-200,-0.31,3.58,228.38,0.00,0.00,3.58,228.38,"133,339.16"
7,20/08/2026,VNM,"63,100","63,100","64,000","64,300","62,700","63,882",900,1.43,6.31,402.95,0.50,32.59,6.81,435.54,"133,757.15"
8,19/08/2026,VNM,"62,100","61,900","63,100","63,200","61,600","62,602","1,000",1.61,4.66,292.27,0.00,0.00,4.66,292.27,"131,876.19"
9,18/08/2026,VNM,"62,200","62,200","62,100","62,600","61,800","62,165",-100,-0.16,1.84,114.63,0.50,32.75,2.34,147.38,"129,786.23"
10,17/08/2026,VNM,"61,600","61,700","62,200","63,000","61,700","62,421",600,0.97,2.97,185.07,0.00,0.00,2.97,185.07,"129,995.23"
11,14/08/2026,VNM,"61,600","61,600","61,600","62,600","61,000","61,789",0,0.00,3.66,226.17,0.56,36.48,4.22,262.65,"128,741.26"
12,13/08/2026,VNM,"61,800","61,800","61,600","63,000","61,500","62,342",-200,-0.32,4.26,265.33,0.00,0.00,4.26,265.33,"128,741.26"
13,12/08/2026,VNM,"62,000","61,900","61,800","62,500","61,400","62,057",-200,-0.32,2.76,170.94,0.06,3.73,2.82,174.67,"129,159.25"
14,11/08/2026,VNM,"62,100","62,500","62,000","63,300","61,800","62,563",-100,-0.16,4.48,279.70,0.00,0.00,4.48,279.70,"129,577.24"
15,10/08/2026,VNM,"62,000","61,600","62,100","62,700","61,600","62,225",100,0.16,3.48,216.57,0.00,0.00,3.48,216.57,"129,786.23"
16,07/08/2026,VNM,"59,000","59,000","62,000","63,100","59,000","61,999","3,000",5.08,13.24,821.61,0.50,31.55,13.74,853.16,"129,577.24"
17,06/08/2026,VNM,"58,600","58,700","59,000","59,600","58,600","59,118",400,0.68,3.23,190.99,0.00,0.00,3.23,190.99,"123,307.37"
18,05/08/2026,VNM,"59,500","59,400","58,600","60,100","58,600","58,918",-900,-1.51,5.29,311.81,0.50,31.80,5.79,343.61,"122,471.39"
19,04/08/2026,VNM,"60,300","60,400","59,500","60,400","59,000","59,449",-800,-1.33,5.53,328.98,0.00,0.00,5.53,328.98,"124,352.35"
20,03/08/2026,VNM,"60,900","60,900","60,300","61,000","60,000","60,346",-600,-0.99,6.38,384.78,0.99,59.49,7.36,444.27,"126,024.31"
21,31/07/2026,VNM,"61,200","61,200","60,900","61,300","60,100","60,472",-300,-0.49,4.48,271.02,0.00,0.00,4.48,271.02,"127,278.29"
22,30/07/2026,VNM,"60,000","60,300","61,200","61,400","59,800","60,886","1,200",2.00,6.94,423.12,0.00,0.00,6.94,423.12,"127,905.27"
23,29/07/2026,VNM,"59,600","59,900","60,000","61,000","59,400","60,177",400,0.67,6.20,373.15,0.00,0.00,6.20,373.15,"125,397.33"
24,28/07/2026,VNM,"57,900","57,700","59,600","59,600","57,700","59,034","1,700",2.94,5.26,310.27,0.00,0.00,5.26,310.27,"124,561.34"
25,27/07/2026,VNM,"58,900","59,200","57,900","59,800","57,900","58,881","-1,000",-1.70,3.67,215.99,0.00,0.00,3.67,215.99,"121,008.42"
26,24/07/2026,VNM,"57,800","58,500","58,900","59,500","58,300","58,860","1,100",1.90,4.18,245.96,0.00,0.00,4.18,245.96,"123,098.38"
27,23/07/2026,VNM,"59,100","59,100","57,800","59,100","56,900","57,722","-1,300",-2.20,4.83,278.79,0.00,0.00,4.83,278.79,"120,799.42"
28,22/07/2026,VNM,"58,400","58,700","59,100","60,100","58,400","59,229",700,1.20,10.51,621.81,0.00,0.00,10.51,621.81,"123,516.37"
29,21/07/2026,VNM,"58,500","58,100","58,400","58,800","58,100","58,464",-100,-0.17,3.54,207.12,4.05,236.59,7.59,443.71,"122,053.40"
30,20/07/2026,VNM,"59,000","58,800","58,500","58,800","57,700","58,263",-500,-0.85,4.58,267.10,0.00,0.00,4.58,267.10,"122,262.39"
31,17/07/2026,VNM,"56,200","56,300","59,000","59,400","56,200","58,199","2,800",4.98,12.98,756.33,0.12,7.17,13.11,763.50,"123,307.37"
32,16/07/2026,VNM,"56,200","56,100","56,200","56,300","55,300","55,773",0,0.00,1.99,111.06,0.03,1.56,2.02,112.62,"117,455.50"
33,15/07/2026,VNM,"56,000","56,000","56,200","56,400","55,500","55,989",200,0.36,2.49,139.51,0.00,0.00,2.49,139.51,"117,455.50"
34,14/07/2026,VNM,"55,400","55,500","56,000","56,000","55,200","55,892",600,1.08,1.76,97.78,0.03,1.57,1.78,99.35,"117,037.50"
35,13/07/2026,VNM,"56,600","56,600","55,400","56,600","55,300","55,828","-1,200",-2.12,1.95,108.94,0.00,0.00,1.95,108.94,"115,783.53"
36,10/07/2026,VNM,"55,700","55,900","56,600","56,700","55,800","56,319",900,1.62,5.57,313.91,0.33,18.39,5.90,332.30,"118,291.48"
37,09/07/2026,VNM,"55,700","55,600","55,700","55,900","55,400","55,758",0,0.00,2.47,137.67,0.12,6.86,2.59,144.53,"116,410.52"
38,08/07/2026,VNM,"55,100","55,000","55,700","55,700","55,000","55,391",600,1.09,3.71,205.32,0.00,0.00,3.71,205.32,"116,410.52"
39,07/07/2026,VNM,"55,300","55,200","55,100","55,300","54,900","55,101",-200,-0.36,1.61,88.79,0.20,11.02,1.81,99.81,"115,156.55"
40,06/07/2026,VNM,"54,900","55,000","55,300","55,400","54,600","54,961",400,0.73,3.21,176.68,0.60,33.00,3.81,209.69,"115,574.54"
41,03/07/2026,VNM,"55,500","55,500","54,900","55,700","54,700","55,005",-600,-1.08,4.13,227.34,0.13,6.93,4.26,234.27,"114,738.55"
42,02/07/2026,VNM,"55,200","55,300","55,500","56,000","55,300","55,658",300,0.54,3.67,204.18,0.73,40.69,4.40,244.86,"115,992.53"
43,01/07/2026,VNM,"54,800","55,000","55,200","55,500","54,800","55,130",400,0.73,2.36,129.95,0.47,25.99,2.83,155.94,"115,365.54"
44,30/06/2026,VNM,"56,100","56,100","54,800","56,200","54,700","55,265","-1,300",-2.32,9.32,514.56,0.00,0.00,9.32,514.56,"114,529.56"
45,29/06/2026,VNM,"56,300","56,500","56,100","56,500","56,000","56,171",-200,-0.36,1.47,82.60,0.00,0.00,1.47,82.60,"117,246.50"
46,26/06/2026,VNM,"56,500","56,800","56,300","56,800","55,900","56,243",-200,-0.35,3.17,178.53,0.20,11.29,3.37,189.81,"117,664.49"
47,25/06/2026,VNM,"58,300","58,500","58,300","58,600","58,200","58,365",0,0.00,1.80,105.25,0.00,0.00,1.80,105.25,"121,844.40"
48,24/06/2026,VNM,"58,400","58,600","58,300","58,700","58,100","58,343",-100,-0.17,1.53,89.39,0.43,25.16,1.96,114.55,"121,844.40"
49,23/06/2026,VNM,"58,600","58,700","58,400","59,000","58,400","58,634",-200,-0.34,2.30,134.60,0.53,31.91,2.83,166.52,"122,053.40"
50,22/06/2026,VNM,"59,000","59,500","58,600","59,600","58,600","58,852",-400,-0.68,3.00,176.42,0.60,35.53,3.60,211.94,"122,471.39"
51,19/06/2026,VNM,"59,200","59,200","59,000","59,400","58,900","59,107",-200,-0.34,3.35,197.83,0.44,26.40,3.79,224.23,"123,307.37"
52,18/06/2026,VNM,"59,000","59,500","59,200","59,700","59,100","59,320",200,0.34,2.48,147.30,0.02,1.19,2.50,148.49,"123,725.36"
53,17/06/2026,VNM,"59,100","59,100","59,000","59,700","59,000","59,389",-100,-0.17,2.84,168.41,0.59,34.99,3.43,203.40,"123,307.37"
54,16/06/2026,VNM,"59,700","59,800","59,100","59,800","59,100","59,349",-600,-1.01,2.03,120.39,0.32,18.18,2.35,138.56,"123,516.37"
55,15/06/2026,VNM,"59,000","59,300","59,700","59,800","59,300","59,621",700,1.19,2.02,120.52,0.21,12.60,2.23,133.12,"124,770.34"
56,12/06/2026,VNM,"59,200","59,300","59,000","59,800","59,000","59,482",-200,-0.34,3.49,207.31,0.27,15.61,3.76,222.91,"123,307.37"
57,11/06/2026,VNM,"58,900","58,800","59,200","59,600","58,500","59,173",300,0.51,1.80,106.83,0.00,0.00,1.80,106.83,"123,725.36"
58,10/06/2026,VNM,"58,300","58,400","58,900","58,900","58,200","58,504",600,1.03,2.35,137.67,0.27,15.62,2.62,153.30,"123,098.38"
59,09/06/2026,VNM,"58,000","58,100","58,300","58,500","58,000","58,298",300,0.52,1.23,71.60,0.00,0.00,1.23,71.60,"121,844.40"
60,08/06/2026,VNM,"58,400","58,200","58,000","58,800","57,800","58,235",-400,-0.68,3.18,185.21,0.27,15.60,3.45,200.81,"121,217.42"
61,05/06/2026,VNM,"58,600","58,800","58,400","58,900","58,300","58,447",-200,-0.34,1.87,109.05,0.00,0.00,1.87,109.05,"122,053.40"
62,04/06/2026,VNM,"58,300","58,600","58,600","58,800","58,200","58,483",300,0.51,2.13,124.40,3.32,194.10,5.45,318.49,"122,471.39"
63,03/06/2026,VNM,"58,600","58,600","58,300","58,800","58,100","58,468",-300,-0.51,3.81,223.04,0.00,0.00,3.81,223.04,"121,844.40"
64,02/06/2026,VNM,"59,100","59,100","58,600","59,200","58,600","58,861",-500,-0.85,2.96,174.25,0.00,0.00,2.96,174.25,"122,471.39"
65,01/06/2026,VNM,"59,200","59,200","59,100","59,300","58,800","59,081",-100,-0.17,2.26,133.49,0.00,0.00,2.26,133.49,"123,516.37"
66,29/05/2026,VNM,"59,000","59,000","59,200","59,300","58,900","59,087",200,0.34,1.96,115.88,0.00,0.00,1.96,115.88,"123,725.36"
67,28/05/2026,VNM,"58,800","59,000","59,000","59,800","59,000","59,480",200,0.34,3.80,225.81,0.85,50.52,4.64,276.34,"123,307.37"
68,27/05/2026,VNM,"59,100","59,100","58,800","59,200","58,700","58,910",-300,-0.51,2.98,175.39,0.05,2.89,3.02,178.29,"122,889.38"
69,26/05/2026,VNM,"59,100","59,100","59,100","59,400","59,000","59,170",0,0.00,1.88,111.26,0.00,0.00,1.88,111.26,"123,516.37"
70,25/05/2026,VNM,"59,500","59,500","59,100","59,800","59,100","59,308",-400,-0.67,1.59,94.14,0.00,0.00,1.59,94.14,"123,516.37"
71,22/05/2026,VNM,"59,000","59,100","59,500","59,700","58,700","58,937",500,0.85,6.01,353.89,0.44,25.87,6.45,379.76,"124,352.35"
72,21/05/2026,VNM,"59,100","59,500","59,000","59,600","58,800","59,032",-100,-0.17,3.27,193.18,0.23,13.57,3.50,206.75,"123,307.37"
73,20/05/2026,VNM,"59,800","59,800","59,100","59,900","58,600","59,081",-700,-1.17,5.73,338.18,0.31,18.74,6.04,356.92,"123,516.37"
74,19/05/2026,VNM,"60,500","60,500","59,800","60,700","59,700","60,118",-700,-1.16,2.74,164.71,0.07,4.39,2.81,169.11,"124,979.34"
75,18/05/2026,VNM,"59,800","59,500","60,500","60,700","59,500","60,068",700,1.17,4.85,291.30,0.05,2.99,4.90,294.29,"126,442.30"
76,15/05/2026,VNM,"60,100","60,100","59,800","60,300","59,800","60,018",-300,-0.50,2.01,120.62,0.00,0.00,2.01,120.62,"124,979.34"
77,14/05/2026,VNM,"59,300","59,300","60,100","60,100","59,300","59,750",800,1.35,3.06,182.73,0.06,3.61,3.12,186.34,"125,606.32"
78,13/05/2026,VNM,"60,100","60,100","59,300","60,100","58,700","59,199",-800,-1.33,8.53,505.35,0.00,0.00,8.53,505.35,"123,934.36"
79,12/05/2026,VNM,"60,600","60,600","60,100","60,700","59,900","60,200",-500,-0.83,4.10,246.93,0.11,6.22,4.21,253.15,"125,606.32"
80,11/05/2026,VNM,"60,900","61,100","60,600","61,100","60,500","60,675",-300,-0.49,3.88,235.20,0.00,0.00,3.88,235.20,"126,651.30"
81,08/05/2026,VNM,"61,500","61,800","60,900","61,800","60,900","61,130",-600,-0.98,2.79,170.38,0.00,0.00,2.79,170.38,"127,278.29"
82,07/05/2026,VNM,"61,500","61,600","61,500","61,800","61,100","61,504",0,0.00,4.75,292.32,0.10,5.97,4.86,298.29,"128,532.26"
83,06/05/2026,VNM,"61,100","61,200","61,500","61,700","60,700","61,133",400,0.65,2.59,158.45,0.00,0.00,2.59,158.45,"128,532.26"
84,05/05/2026,VNM,"60,900","61,100","61,100","61,200","60,400","60,640",200,0.33,2.75,167.22,0.00,0.00,2.75,167.22,"127,696.28"
85,04/05/2026,VNM,"60,900","61,100","60,900","61,600","60,700","61,053",0,0.00,1.87,114.35,0.00,0.00,1.87,114.35,"127,278.29"
86,29/04/2026,VNM,"61,200","60,300","60,900","61,300","60,300","60,902",-300,-0.49,2.41,146.49,0.17,10.37,2.58,156.86,"127,278.29"
87,28/04/2026,VNM,"61,400","61,200","61,200","61,300","60,500","60,736",-200,-0.33,3.22,195.76,0.00,0.00,3.22,195.76,"127,905.27"
88,24/04/2026,VNM,"62,000","62,100","61,400","62,100","60,500","60,942",-600,-0.97,5.86,356.98,0.24,14.69,6.10,371.67,"128,323.26"
89,23/04/2026,VNM,"61,800","62,000","62,000","62,500","61,000","61,824",200,0.32,4.23,261.77,0.00,0.00,4.23,261.77,"129,577.24"
90,22/04/2026,VNM,"61,600","61,600","61,800","62,300","61,500","61,925",200,0.32,3.94,244.00,0.00,0.00,3.94,244.00,"129,159.25"
91,21/04/2026,VNM,"61,500","61,900","61,600","62,700","61,500","62,098",100,0.16,5.31,329.54,0.00,0.00,5.31,329.54,"128,741.26"
92,20/04/2026,VNM,"61,300","61,400","61,500","62,400","61,300","61,781",200,0.33,3.25,200.95,0.45,27.71,3.70,228.66,"128,532.26"
93,17/04/2026,VNM,"61,100","61,300","61,300","62,700","61,300","61,744",200,0.33,3.12,192.56,0.00,0.00,3.12,192.56,"128,114.27"
94,16/04/2026,VNM,"61,300","61,500","61,100","61,700","61,100","61,307",-200,-0.33,2.27,139.32,0.27,16.55,2.54,155.87,"127,696.28"
95,15/04/2026,VNM,"62,000","62,100","61,300","62,600","61,200","61,640",-700,-1.13,4.40,271.29,5.86,361.10,10.26,632.39,"128,114.27"
96,14/04/2026,VNM,"62,800","63,400","62,000","63,500","62,000","62,346",-800,-1.27,4.25,264.90,5.78,360.20,10.03,625.10,"129,577.24"
97,13/04/2026,VNM,"62,800","62,400","62,800","62,800","62,200","62,504",0,0.00,3.42,213.69,0.00,0.00,3.42,213.69,"131,249.20"
98,10/04/2026,VNM,"61,800","62,600","62,800","64,000","62,500","63,260","1,000",1.62,6.16,389.48,0.18,11.16,6.34,400.64,"131,249.20"
99,09/04/2026,VNM,"62,600","61,800","61,800","62,100","61,400","61,705",-800,-1.28,2.92,180.19,0.00,0.00,2.92,180.19,"129,159.25"
100,08/04/2026,VNM,"61,000","62,200","62,600","62,700","61,700","62,177","1,600",2.62,5.57,346.35,0.45,27.00,6.02,373.35,"130,831.21"
101,07/04/2026,VNM,"60,900","60,900","61,000","61,200","60,300","60,733",100,0.16,1.83,110.85,0.00,0.00,1.83,110.85,"127,487.28"
102,06/04/2026,VNM,"60,000","60,000","60,900","61,000","60,000","60,650",900,1.50,2.59,156.95,0.45,27.00,3.04,183.95,"127,278.29"
103,03/04/2026,VNM,"60,800","61,000","60,000","61,700","60,000","60,537",-800,-1.32,3.79,229.30,0.00,0.00,3.79,229.30,"125,397.33"
104,02/04/2026,VNM,"61,300","61,500","60,800","61,700","60,800","61,129",-500,-0.82,2.86,174.53,0.00,0.00,2.86,174.53,"127,069.29"
105,01/04/2026,VNM,"60,500","61,300","61,300","62,200","61,000","61,650",800,1.32,5.45,335.86,0.00,0.00,5.45,335.86,"128,114.27"
106,31/03/2026,VNM,"60,600","61,000","60,500","61,500","60,500","60,833",-100,-0.17,5.32,324.04,0.00,0.00,5.32,324.04,"126,442.30"
107,30/03/2026,VNM,"61,500","60,600","60,600","61,500","60,200","60,715",-900,-1.46,4.08,247.55,0.21,12.60,4.28,260.14,"126,651.30"
108,27/03/2026,VNM,"61,000","61,000","61,500","61,900","60,900","61,295",500,0.82,2.14,131.12,0.00,0.00,2.14,131.12,"128,532.26"
109,26/03/2026,VNM,"62,100","62,100","61,000","62,100","61,000","61,389","-1,100",-1.77,2.04,125.43,0.00,0.00,2.04,125.43,"127,487.28"
110,25/03/2026,VNM,"61,200","61,500","62,100","62,200","61,400","61,886",900,1.47,3.45,213.29,0.00,0.00,3.45,213.29,"129,786.23"
111,24/03/2026,VNM,"60,800","61,800","61,200","61,800","60,900","61,213",400,0.66,2.69,164.65,0.00,0.00,2.69,164.65,"127,905.27"
112,23/03/2026,VNM,"60,000","59,200","60,800","61,000","59,200","60,265",800,1.33,5.91,356.32,0.00,0.00,5.91,356.32,"127,069.29"
113,20/03/2026,VNM,"61,000","61,000","60,000","61,500","60,000","60,597","-1,000",-1.64,5.73,346.30,0.03,2.00,5.77,348.30,"125,397.33"
114,19/03/2026,VNM,"61,700","61,400","61,000","62,000","60,800","61,331",-700,-1.13,6.40,392.31,0.00,0.00,6.40,392.31,"127,487.28"
115,18/03/2026,VNM,"61,500","61,800","61,700","62,700","61,600","62,155",200,0.33,2.60,161.24,0.00,0.00,2.60,161.24,"128,950.25"
116,17/03/2026,VNM,"61,800","62,700","61,500","63,000","61,500","62,247",-300,-0.49,3.82,237.54,0.10,6.13,3.92,243.67,"128,532.26"
117,16/03/2026,VNM,"63,100","62,600","61,800","62,900","61,700","62,059","-1,300",-2.06,2.97,183.94,0.00,0.00,2.97,183.94,"129,159.25"
118,13/03/2026,VNM,"61,600","62,000","63,100","63,200","61,600","62,580","1,500",2.44,5.39,337.29,0.00,0.00,5.39,337.29,"131,876.19"
119,12/03/2026,VNM,"63,000","62,000","61,600","62,700","61,300","61,963","-1,400",-2.22,6.30,390.10,1.21,74.56,7.50,464.66,"128,741.26"
120,11/03/2026,VNM,"62,100","61,700","63,000","63,700","61,600","62,820",900,1.45,7.51,471.73,0.00,0.00,7.51,471.73,"131,667.19"
121,10/03/2026,VNM,"58,100","60,000","62,100","62,100","59,500","60,631","4,000",6.88,10.76,652.82,1.97,119.91,12.74,772.73,"129,786.23"
122,09/03/2026,VNM,"62,400","59,000","58,100","59,100","58,100","58,271","-4,300",-6.89,18.05,"1,051.21",0.00,0.00,18.05,"1,051.21","121,426.41"
123,06/03/2026,VNM,"63,200","63,000","62,400","63,000","62,200","62,569",-800,-1.27,6.47,404.72,0.22,14.10,6.70,418.82,"130,413.22"
124,05/03/2026,VNM,"64,900","65,000","63,200","65,200","63,000","63,831","-1,700",-2.62,8.17,520.52,0.98,62.31,9.15,582.83,"132,085.18"
125,04/03/2026,VNM,"63,400","63,400","64,900","64,900","62,000","63,069","1,500",2.37,13.38,844.25,0.70,43.90,14.08,888.15,"135,638.11"
126,03/03/2026,VNM,"66,600","66,600","63,400","67,300","63,400","64,857","-3,200",-4.80,17.82,"1,153.20",0.78,53.70,18.60,"1,206.90","132,503.18"
127,02/03/2026,VNM,"68,200","66,900","66,600","69,800","66,500","67,605","-1,600",-2.35,12.47,842.39,0.24,16.43,12.71,858.82,"139,191.03"
128,27/02/2026,VNM,"70,600","70,200","68,200","70,600","68,000","68,921","-2,400",-3.40,13.37,921.10,0.02,1.35,13.39,922.45,"142,534.96"
129,26/02/2026,VNM,"72,300","71,200","70,600","71,400","69,600","70,192","-1,700",-2.35,14.30,"1,004.43",73.19,"4,925.96",87.49,"5,930.39","147,550.85"
130,25/02/2026,VNM,"70,200","70,400","72,300","73,400","70,400","72,409","2,100",2.99,9.80,709.76,0.00,0.00,9.80,709.76,"151,103.78"
131,24/02/2026,VNM,"70,600","70,600","70,200","71,300","70,200","70,593",-400,-0.57,3.55,250.75,0.08,5.68,3.63,256.43,"146,714.87"
