No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,VPB,"27,400","27,100","27,800","27,900","27,100","27,642",400,1.46,28.68,793.13,1.95,56.59,30.62,849.72,"220,563.08"
2,27/08/2026,VPB,"26,750","26,700","27,400","27,450","26,700","27,189",650,2.43,29.96,814.12,0.00,0.00,29.96,814.12,"217,389.51"
3,26/08/2026,VPB,"26,400","26,250","26,750","26,800","26,100","26,474",350,1.33,16.40,434.89,8.78,223.89,25.18,658.78,"212,232.46"
4,25/08/2026,VPB,"26,350","26,300","26,400","26,650","26,150","26,418",50,0.19,16.31,430.67,7.68,202.38,23.98,633.04,"209,455.58"
5,24/08/2026,VPB,"25,700","26,100","26,350","26,500","25,900","26,227",650,2.53,19.28,505.87,0.08,2.25,19.36,508.12,"209,058.89"
6,21/08/2026,VPB,"24,900","24,900","25,700","25,700","24,750","25,363",800,3.21,13.91,352.44,0.00,0.00,13.91,352.44,"203,901.84"
7,20/08/2026,VPB,"24,850","24,900","24,900","25,050","24,800","24,939",50,0.20,10.12,252.32,5.01,127.43,15.13,379.76,"197,554.70"
8,19/08/2026,VPB,"24,900","24,800","24,850","24,950","24,600","24,776",-50,-0.20,9.83,243.78,0.00,0.00,9.83,243.78,"197,158.00"
9,18/08/2026,VPB,"24,750","24,750","24,900","24,950","24,500","24,628",150,0.61,18.84,464.80,0.00,0.00,18.84,464.80,"197,554.70"
10,17/08/2026,VPB,"25,100","24,900","24,750","25,200","24,750","24,896",-350,-1.39,12.06,300.14,4.83,115.34,16.89,415.48,"196,364.61"
11,14/08/2026,VPB,"25,350","25,100","25,100","25,350","24,850","25,084",-250,-0.99,13.93,349.35,1.03,26.80,14.96,376.16,"199,141.48"
12,13/08/2026,VPB,"25,700","25,750","25,350","25,800","25,200","25,529",-350,-1.36,13.84,353.58,1.85,46.35,15.69,399.93,"201,124.96"
13,12/08/2026,VPB,"25,500","25,550","25,700","25,800","25,350","25,576",200,0.78,7.49,191.83,3.67,94.13,11.17,285.97,"203,901.84"
14,11/08/2026,VPB,"25,850","25,900","25,500","26,000","25,500","25,702",-350,-1.35,9.99,256.78,0.69,17.62,10.67,274.40,"202,315.05"
15,10/08/2026,VPB,"25,000","25,100","25,850","25,850","25,100","25,576",850,3.40,17.88,457.64,0.41,10.52,18.29,468.16,"205,091.93"
16,07/08/2026,VPB,"25,150","24,900","25,000","25,100","24,650","24,860",-150,-0.60,24.19,601.67,0.82,21.11,25.01,622.78,"198,348.09"
17,06/08/2026,VPB,"25,500","25,500","25,150","25,500","25,000","25,253",-350,-1.37,14.05,354.82,0.56,14.20,14.61,369.02,"199,538.18"
18,05/08/2026,VPB,"25,650","25,600","25,500","26,000","25,500","25,731",-150,-0.58,13.99,359.70,5.44,145.79,19.43,505.49,"202,315.05"
19,04/08/2026,VPB,"25,500","25,600","25,650","25,650","25,350","25,477",150,0.59,11.40,290.66,0.11,2.64,11.51,293.31,"203,505.14"
20,03/08/2026,VPB,"24,800","24,900","25,500","25,600","24,900","25,325",700,2.82,13.60,344.75,0.02,0.53,13.62,345.28,"202,315.05"
21,31/07/2026,VPB,"25,000","25,200","24,800","25,500","24,800","25,016",-200,-0.80,12.10,302.68,1.09,27.09,13.19,329.77,"196,761.31"
22,30/07/2026,VPB,"24,350","24,500","25,000","25,050","24,400","24,806",650,2.67,13.16,326.69,1.17,30.37,14.33,357.06,"198,348.09"
23,29/07/2026,VPB,"24,600","24,350","24,350","24,550","24,200","24,324",-250,-1.02,10.06,244.92,0.02,0.53,10.08,245.45,"193,191.04"
24,28/07/2026,VPB,"24,550","24,100","24,600","24,700","23,950","24,310",50,0.20,12.05,293.06,3.47,86.74,15.51,379.80,"195,174.52"
25,27/07/2026,VPB,"24,950","24,900","24,550","25,000","24,350","24,594",-400,-1.60,12.70,312.15,0.67,16.62,13.37,328.78,"194,777.82"
26,24/07/2026,VPB,"25,000","24,400","24,950","24,950","24,350","24,516",-50,-0.20,12.41,305.24,0.02,0.54,12.43,305.77,"197,951.39"
27,23/07/2026,VPB,"25,000","24,850","25,000","25,150","24,000","24,631",0,0.00,19.16,472.21,0.47,10.93,19.63,483.14,"198,348.09"
28,22/07/2026,VPB,"25,350","25,350","25,000","25,550","24,450","24,762",-350,-1.38,26.40,653.84,0.32,8.04,26.72,661.88,"198,348.09"
29,21/07/2026,VPB,"25,000","24,800","25,350","25,450","24,800","25,229",350,1.40,13.68,345.28,0.00,0.00,13.68,345.28,"201,124.96"
30,20/07/2026,VPB,"25,850","25,850","25,000","26,000","24,600","25,251",-850,-3.29,22.58,569.09,0.02,0.63,22.60,569.72,"198,348.09"
31,17/07/2026,VPB,"26,000","25,950","25,850","26,550","25,700","26,099",-150,-0.58,11.44,298.85,1.32,35.64,12.76,334.49,"205,091.93"
32,16/07/2026,VPB,"25,800","25,800","26,000","26,250","25,050","25,614",200,0.78,22.41,573.34,0.68,18.42,23.09,591.76,"206,282.01"
33,15/07/2026,VPB,"26,500","26,500","25,800","26,500","25,800","26,022",-700,-2.64,12.96,336.83,0.00,0.00,12.96,336.83,"204,695.23"
34,14/07/2026,VPB,"26,400","26,250","26,500","26,500","25,900","26,210",100,0.38,14.46,377.86,0.04,1.14,14.51,379.00,"210,248.98"
35,13/07/2026,VPB,"26,700","26,450","26,400","26,450","25,800","26,161",-300,-1.12,21.92,573.61,0.00,0.00,21.92,573.61,"209,455.58"
36,10/07/2026,VPB,"27,250","27,200","26,700","27,250","26,700","26,983",-550,-2.02,14.08,379.58,1.50,41.77,15.58,421.36,"211,835.76"
37,09/07/2026,VPB,"27,750","27,650","27,250","27,700","27,250","27,417",-500,-1.80,9.82,269.18,2.45,67.71,12.27,336.89,"216,199.42"
38,08/07/2026,VPB,"27,600","27,600","27,750","28,100","27,500","27,853",150,0.54,18.00,501.86,6.35,175.90,24.35,677.76,"220,166.38"
39,07/07/2026,VPB,"27,450","27,350","27,600","27,700","27,250","27,458",150,0.55,8.05,221.12,5.60,151.69,13.65,372.81,"218,976.29"
40,06/07/2026,VPB,"27,800","27,800","27,450","27,950","26,950","27,597",-350,-1.26,14.58,401.22,0.00,0.00,14.58,401.22,"217,786.20"
41,03/07/2026,VPB,"27,700","27,700","27,800","27,850","27,450","27,686",100,0.36,11.58,320.72,9.51,263.43,21.09,584.14,"220,563.08"
42,02/07/2026,VPB,"27,700","27,850","27,700","28,000","27,450","27,723",0,0.00,12.45,345.28,0.00,0.00,12.45,345.28,"219,769.68"
43,01/07/2026,VPB,"27,000","27,050","27,700","27,900","27,050","27,681",700,2.59,25.43,703.67,10.50,266.70,35.93,970.37,"219,769.68"
44,30/06/2026,VPB,"27,050","27,100","27,000","27,150","27,000","27,057",-50,-0.18,6.68,180.71,20.20,567.52,26.88,748.23,"214,215.94"
45,29/06/2026,VPB,"26,750","26,800","27,050","27,150","26,800","27,029",300,1.12,12.69,343.20,0.00,0.00,12.69,343.20,"214,612.63"
46,26/06/2026,VPB,"26,700","26,750","26,750","26,750","26,350","26,552",50,0.19,7.82,207.78,0.20,5.42,8.02,213.20,"212,232.46"
47,25/06/2026,VPB,"26,550","26,450","26,700","26,850","26,450","26,624",150,0.56,5.89,156.83,0.00,0.00,5.89,156.83,"211,835.76"
48,24/06/2026,VPB,"26,550","26,550","26,550","26,800","26,200","26,435",0,0.00,12.67,334.74,4.13,117.36,16.80,452.10,"210,645.67"
49,23/06/2026,VPB,"26,000","26,150","26,550","27,250","26,050","26,738",550,2.12,23.14,619.09,5.77,153.29,28.91,772.38,"210,645.67"
50,22/06/2026,VPB,"25,900","25,900","26,000","26,050","25,800","25,907",100,0.39,6.21,160.89,1.43,39.21,7.64,200.10,"206,282.01"
51,19/06/2026,VPB,"26,400","26,300","25,900","26,400","25,850","26,095",-500,-1.89,14.33,373.75,0.69,19.49,15.02,393.24,"205,488.62"
52,18/06/2026,VPB,"26,500","26,500","26,400","26,550","26,250","26,381",-100,-0.38,10.10,266.65,6.04,166.50,16.14,433.16,"209,455.58"
53,17/06/2026,VPB,"26,350","26,350","26,500","26,800","26,250","26,503",150,0.57,15.64,414.24,4.30,119.78,19.94,534.02,"210,248.98"
54,16/06/2026,VPB,"26,250","26,500","26,350","26,650","26,200","26,424",100,0.38,13.09,346.01,2.48,66.83,15.57,412.84,"209,058.89"
