No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,VPL,"77,500","77,600","77,600","77,600","76,600","77,114",100,0.13,0.34,26.36,0.00,0.00,0.34,26.36,"145,690.15"
2,27/08/2026,VPL,"75,200","75,500","77,500","78,200","75,500","76,849","2,300",3.06,0.62,47.55,0.00,0.00,0.62,47.55,"145,502.40"
3,26/08/2026,VPL,"76,500","75,600","75,200","76,500","74,900","75,440","-1,300",-1.70,0.74,55.46,0.00,0.00,0.74,55.46,"141,184.27"
4,25/08/2026,VPL,"76,900","76,000","76,500","77,300","76,000","76,535",-400,-0.52,0.75,57.52,0.00,0.00,0.75,57.52,"143,624.95"
5,24/08/2026,VPL,"76,900","77,200","76,900","77,400","76,400","76,913",0,0.00,0.61,46.55,0.00,0.00,0.61,46.55,"144,375.93"
6,21/08/2026,VPL,"75,000","74,400","76,900","76,900","74,000","75,207","1,900",2.53,0.56,42.35,0.00,0.00,0.56,42.35,"144,375.93"
7,20/08/2026,VPL,"74,900","74,900","75,000","75,800","74,600","75,244",100,0.13,0.48,36.34,0.00,0.00,0.48,36.34,"140,808.78"
8,19/08/2026,VPL,"75,000","75,200","74,900","75,200","74,000","74,455",-100,-0.13,0.55,40.91,0.00,0.00,0.55,40.91,"140,621.03"
9,18/08/2026,VPL,"75,000","74,100","75,000","76,000","74,100","75,005",0,0.00,0.54,40.58,0.00,0.00,0.54,40.58,"140,808.78"
10,17/08/2026,VPL,"74,500","74,000","75,000","75,400","74,000","74,912",500,0.67,0.52,38.54,0.00,0.00,0.52,38.54,"140,808.78"
11,14/08/2026,VPL,"77,000","77,000","74,500","77,000","74,500","75,751","-2,500",-3.25,0.63,47.97,0.00,0.00,0.63,47.97,"139,870.05"
12,13/08/2026,VPL,"78,400","78,900","77,000","78,900","77,000","77,791","-1,400",-1.79,0.52,40.48,0.00,0.00,0.52,40.48,"144,563.68"
13,12/08/2026,VPL,"78,400","78,300","78,400","79,000","77,500","78,379",0,0.00,0.56,44.16,0.00,0.00,0.56,44.16,"147,192.11"
14,11/08/2026,VPL,"78,500","78,500","78,400","78,900","77,400","77,886",-100,-0.13,0.67,51.95,0.00,0.00,0.67,51.95,"147,192.11"
15,10/08/2026,VPL,"79,000","79,100","78,500","79,100","77,100","77,901",-500,-0.63,0.37,28.83,0.00,0.00,0.37,28.83,"147,379.85"
16,07/08/2026,VPL,"80,900","80,100","79,000","80,200","79,000","79,526","-1,900",-2.35,0.43,34.45,0.00,0.00,0.43,34.45,"148,318.58"
17,06/08/2026,VPL,"81,000","80,700","80,900","81,000","79,000","79,900",-100,-0.12,0.81,64.55,0.00,0.00,0.81,64.55,"151,885.74"
18,05/08/2026,VPL,"81,200","79,800","81,000","81,100","79,500","80,324",-200,-0.25,0.50,40.41,0.00,0.00,0.50,40.41,"152,073.48"
19,04/08/2026,VPL,"81,000","79,500","81,200","81,200","79,000","80,021",200,0.25,0.67,53.63,0.00,0.00,0.67,53.63,"152,448.97"
20,03/08/2026,VPL,"79,600","79,000","81,000","81,000","77,600","78,922","1,400",1.76,0.61,47.98,0.00,0.00,0.61,47.98,"152,073.48"
21,31/07/2026,VPL,"79,500","80,500","79,600","80,500","77,400","78,650",100,0.13,0.48,38.01,0.00,0.00,0.48,38.01,"149,445.05"
22,30/07/2026,VPL,"76,900","77,000","79,500","79,500","75,900","77,552","2,600",3.38,0.65,50.19,0.00,0.00,0.65,50.19,"149,257.30"
23,29/07/2026,VPL,"74,500","73,600","76,900","76,900","73,000","74,872","2,400",3.22,0.41,30.85,0.00,0.00,0.41,30.85,"144,375.93"
24,28/07/2026,VPL,"74,000","74,000","74,500","74,500","72,000","73,217",500,0.68,0.51,37.14,0.00,0.00,0.51,37.14,"139,870.05"
25,27/07/2026,VPL,"74,500","74,400","74,000","75,700","72,900","74,724",-500,-0.67,0.39,28.80,0.00,0.00,0.39,28.80,"138,931.33"
26,24/07/2026,VPL,"74,900","72,800","74,500","74,500","72,200","72,949",-400,-0.53,0.76,55.11,0.00,0.00,0.76,55.11,"139,870.05"
27,23/07/2026,VPL,"73,500","73,500","74,900","74,900","71,500","73,077","1,400",1.90,0.71,51.96,0.00,0.00,0.71,51.96,"140,621.03"
28,22/07/2026,VPL,"77,600","76,900","73,500","76,900","73,500","75,462","-4,100",-5.28,0.71,53.37,9.00,698.40,9.71,751.77,"131,807.58"
29,21/07/2026,VPL,"77,600","77,600","77,600","77,900","75,400","76,293",0,0.00,0.90,68.38,0.00,0.00,0.90,68.38,"139,160.11"
30,20/07/2026,VPL,"79,800","79,800","77,600","79,800","77,000","78,868","-2,200",-2.76,0.80,63.39,0.00,0.00,0.80,63.39,"139,160.11"
31,17/07/2026,VPL,"81,900","81,900","79,800","81,900","79,500","80,327","-2,100",-2.56,0.79,63.44,0.00,0.00,0.79,63.44,"143,105.37"
32,16/07/2026,VPL,"81,800","81,000","81,900","81,900","80,200","81,158",100,0.12,0.81,65.24,0.00,0.00,0.81,65.24,"146,871.30"
33,15/07/2026,VPL,"81,800","81,100","81,800","81,800","79,400","80,452",0,0.00,0.87,69.69,0.00,0.00,0.87,69.69,"146,691.97"
34,14/07/2026,VPL,"82,900","82,800","81,800","82,800","81,100","81,734","-1,100",-1.33,0.75,60.78,0.00,0.00,0.75,60.78,"146,691.97"
35,13/07/2026,VPL,"82,300","82,300","82,900","83,200","80,600","81,861",600,0.73,0.85,69.81,0.00,0.00,0.85,69.81,"148,664.60"
36,10/07/2026,VPL,"83,200","83,100","82,300","83,600","82,000","82,833",-900,-1.08,0.81,67.20,0.00,0.00,0.81,67.20,"147,588.62"
37,09/07/2026,VPL,"84,000","82,100","83,200","83,900","81,900","83,046",-800,-0.95,0.82,68.11,0.00,0.00,0.82,68.11,"149,202.59"
38,08/07/2026,VPL,"82,400","82,400","84,000","84,000","81,200","81,881","1,600",1.94,0.75,61.56,0.00,0.00,0.75,61.56,"150,637.23"
39,07/07/2026,VPL,"83,000","83,000","82,400","83,500","81,900","82,552",-600,-0.72,0.55,45.68,0.00,0.00,0.55,45.68,"147,767.95"
