No,Date,Ticker,Reference,Open_price,Close_price,Highest_price,Lowest_price,Average,Change,Change_percent,Matched_volume,Matched_value,Negotiated_volume,Negotiated_value,Total_volume,Total_value,Market_cap
1,28/08/2026,VRE,"26,000","26,200","26,100","26,750","25,900","26,443",100,0.38,8.35,220.80,0.00,0.00,8.35,220.80,"59,307.51"
2,27/08/2026,VRE,"25,600","25,600","26,000","26,800","25,600","26,113",400,1.56,8.21,214.50,0.00,0.00,8.21,214.50,"59,080.28"
3,26/08/2026,VRE,"25,200","25,300","25,600","25,600","25,050","25,385",400,1.59,4.29,109.10,0.00,0.00,4.29,109.10,"58,171.35"
4,25/08/2026,VRE,"25,300","25,100","25,200","25,800","25,100","25,466",-100,-0.40,6.94,176.88,0.00,0.00,6.94,176.88,"57,262.42"
5,24/08/2026,VRE,"25,300","25,600","25,300","25,750","25,300","25,455",0,0.00,4.64,118.14,0.00,0.00,4.64,118.14,"57,489.66"
6,21/08/2026,VRE,"24,150","24,000","25,300","25,300","23,900","24,778","1,150",4.76,6.04,149.79,0.00,0.00,6.04,149.79,"57,489.66"
7,20/08/2026,VRE,"24,100","24,100","24,150","24,550","24,100","24,248",50,0.21,3.19,77.41,0.00,0.00,3.19,77.41,"54,876.49"
8,19/08/2026,VRE,"24,400","24,400","24,100","24,400","23,950","24,142",-300,-1.23,1.89,45.57,0.00,0.00,1.89,45.57,"54,762.87"
9,18/08/2026,VRE,"24,400","24,400","24,400","24,950","24,250","24,538",0,0.00,2.96,72.72,0.00,0.00,2.96,72.72,"55,444.57"
10,17/08/2026,VRE,"23,950","24,000","24,400","24,450","24,000","24,202",450,1.88,2.86,69.28,0.00,0.00,2.86,69.28,"55,444.57"
11,14/08/2026,VRE,"24,600","24,500","23,950","24,600","23,650","24,078",-650,-2.64,8.62,207.61,0.00,0.00,8.62,207.61,"54,422.03"
12,13/08/2026,VRE,"25,450","25,500","24,600","25,600","24,600","24,988",-850,-3.34,6.79,169.66,0.00,0.00,6.79,169.66,"55,899.03"
13,12/08/2026,VRE,"25,450","25,400","25,450","26,000","25,350","25,643",0,0.00,4.14,106.15,0.20,5.13,4.34,111.28,"57,830.50"
14,11/08/2026,VRE,"25,550","25,550","25,450","25,850","25,200","25,472",-100,-0.39,5.18,131.94,0.00,0.00,5.18,131.94,"57,830.50"
15,10/08/2026,VRE,"24,950","25,300","25,550","25,550","24,450","25,232",600,2.40,4.84,121.97,0.20,4.94,5.03,126.91,"58,057.74"
16,07/08/2026,VRE,"25,300","25,100","24,950","25,300","24,650","24,875",-350,-1.38,6.14,152.77,0.12,3.25,6.26,156.02,"56,694.34"
17,06/08/2026,VRE,"26,450","26,050","25,300","26,200","25,150","25,503","-1,150",-4.35,8.35,212.89,0.02,0.65,8.38,213.54,"57,489.66"
18,05/08/2026,VRE,"26,400","26,800","26,450","26,800","26,150","26,463",50,0.19,7.22,191.10,0.12,3.36,7.34,194.46,"60,102.82"
19,04/08/2026,VRE,"25,200","25,200","26,400","26,800","25,050","26,183","1,200",4.76,10.11,264.73,0.00,0.00,10.11,264.73,"59,989.21"
