Ticker,Model,MAE,RMSE,MAPE,R2
ACB,ARIMA,1467.1403,1823.8136,6.3015,-0.2918
ACB,GBT,458.9342,614.0713,1.9005,0.8536
ACB,Holt-Winters,1356.9074,1714.9449,5.559,-0.1422
ACB,Linear Regression,266.9165,471.4279,1.1032,0.9137
ACB,Random Forest,418.4099,588.3251,1.7396,0.8656
BID,ARIMA,6913.4259,7436.0779,17.8571,-2.5087
BID,GBT,1106.5292,1467.2544,2.7163,0.8634
BID,Holt-Winters,8962.3454,9581.6839,23.1558,-4.8255
BID,Linear Regression,559.2749,895.7058,1.3654,0.9491
BID,Random Forest,1032.7137,1387.2544,2.5353,0.8779
BSR,ARIMA,4645.7547,5859.7504,19.0236,-0.3983
BSR,GBT,704.7436,1010.7841,3.1523,0.9584
BSR,Holt-Winters,5548.751,7258.2253,21.766,-1.1453
BSR,Linear Regression,571.5272,882.9151,2.4363,0.9683
BSR,Random Forest,702.2573,1011.1628,3.1245,0.9584
CTG,ARIMA,5599.1898,7635.175,12.6313,-0.4526
CTG,GBT,893.4196,1303.1747,2.2303,0.9577
CTG,Holt-Winters,5702.2878,7256.7086,13.3902,-0.3122
CTG,Linear Regression,524.8562,1067.7861,1.3074,0.9716
CTG,Random Forest,846.2061,1271.6533,2.0966,0.9597
FPT,ARIMA,31595.641,37428.6273,35.0829,-1.4108
FPT,GBT,3019.3548,4253.9223,2.6486,0.9689
FPT,Holt-Winters,40340.2092,48241.1961,44.9898,-3.0049
FPT,Linear Regression,1535.6028,2183.9031,1.4721,0.9918
FPT,Random Forest,2941.2957,4208.0535,2.5785,0.9695
GAS,ARIMA,9413.4259,14520.7578,11.4574,-0.0809
GAS,GBT,2369.4897,3137.1491,3.1837,0.9495
GAS,Holt-Winters,10692.291,16880.7331,12.5927,-0.4607
GAS,Linear Regression,1360.0339,2198.4661,1.7016,0.9752
GAS,Random Forest,2346.5656,3099.7988,3.15,0.9507
GVR,ARIMA,3107.7912,3885.4236,10.1085,-0.0035
GVR,GBT,801.8056,1070.8854,2.5403,0.9238
GVR,Holt-Winters,3902.8781,4628.1485,13.4107,-0.4239
GVR,Linear Regression,662.544,912.2306,2.1026,0.9447
GVR,Random Forest,768.2069,1060.2468,2.4357,0.9253
HDB,ARIMA,3508.8096,4084.0055,12.9557,-0.391
HDB,GBT,573.6086,799.3494,2.1716,0.9467
HDB,Holt-Winters,4132.4512,4724.9067,15.1263,-0.8619
HDB,Linear Regression,413.0509,691.3831,1.5508,0.9601
HDB,Random Forest,539.2836,776.6286,2.0459,0.9497
HPG,ARIMA,1461.1111,2114.1471,6.0154,-0.1486
HPG,GBT,518.4794,695.6155,1.9924,0.8757
HPG,Holt-Winters,2011.5648,2549.0661,7.4828,-0.6698
HPG,Linear Regression,346.1561,531.2508,1.3341,0.9275
HPG,Random Forest,454.4759,640.4049,1.7481,0.8946
LPB,ARIMA,8729.007,11005.8207,18.6161,-1.0968
